# r_mid  u_mean  u_std  counts
    1.0882  5.698412e-01  1.117390e-01      22
    3.2647  9.901292e-01  1.788411e-01      60
    5.4411  1.612662e+00  2.232980e-01      92
    7.6176  2.285252e+00  2.177710e-01     127
    9.7940  2.947886e+00  2.230918e-01     164
   11.9705  3.602624e+00  2.089378e-01     195
   14.1469  4.249639e+00  2.234833e-01     231
   16.3234  4.913924e+00  2.117911e-01     264
   18.4998  5.555860e+00  2.173364e-01     293
   20.6763  6.216893e+00  2.172789e-01     334
   22.8527  6.862722e+00  2.125724e-01     368
   25.0292  7.517878e+00  2.187530e-01     396
   27.2057  8.169143e+00  2.142415e-01     435
   29.3821  8.821459e+00  2.151606e-01     468
   31.5586  9.468819e+00  2.163096e-01     503
   33.7350  1.012867e+01  2.177231e-01     538
   35.9115  1.076396e+01  2.060672e-01     566
   38.0879  1.142669e+01  2.277657e-01     600
   40.2644  1.209305e+01  2.108261e-01     642
   42.4408  1.273945e+01  2.164234e-01     672
   44.6173  1.338371e+01  2.129573e-01     704
   46.7937  1.404234e+01  2.203713e-01     736
   48.9702  1.469149e+01  2.097883e-01     776
   51.1466  1.534610e+01  2.217411e-01     807
   53.3231  1.599881e+01  2.090983e-01     846
   55.4995  1.665141e+01  2.208534e-01     870
   57.6760  1.730366e+01  2.103372e-01     908
   59.8524  1.795682e+01  2.196895e-01     949
   62.0289  1.860774e+01  2.105574e-01     977
   64.2053  1.926200e+01  2.208263e-01    1003
   66.3818  1.991243e+01  2.082718e-01    1042
   68.5582  2.056463e+01  2.222991e-01    1080
   70.7347  2.121863e+01  2.093348e-01    1112
   72.9112  2.186821e+01  2.200940e-01    1150
   75.0876  2.252038e+01  2.117582e-01    1175
   77.2641  2.318079e+01  2.237877e-01    1221
   79.4405  2.383653e+01  2.082104e-01    1251
   81.6170  2.448128e+01  2.206754e-01    1281
   83.7934  2.514463e+01  2.157344e-01    1319
   85.9699  2.578128e+01  2.126661e-01    1324
   88.1463  2.643780e+01  2.157246e-01    1208
   90.3228  2.709100e+01  2.109594e-01    1150
   92.4992  2.774572e+01  2.138314e-01    1107
   94.6757  2.839932e+01  2.112692e-01    1076
   96.8521  2.905420e+01  2.105342e-01    1062
   99.0286  2.968964e+01  2.070511e-01     951
  101.2050  3.034872e+01  2.146954e-01     797
  103.3815  3.100436e+01  2.114181e-01     699
  105.5579  3.165996e+01  2.132102e-01     618
  107.7344  3.231077e+01  2.136895e-01     550
  109.9108  3.297844e+01  2.176218e-01     485
  112.0873  3.362463e+01  2.079172e-01     426
  114.2637  3.427188e+01  2.152339e-01     374
  116.4402  3.492533e+01  2.133462e-01     318
  118.6166  3.557585e+01  2.126981e-01     264
  120.7931  3.621968e+01  2.066571e-01     217
  122.9696  3.686852e+01  2.161976e-01     167
  125.1460  3.751611e+01  2.060237e-01     121
  127.3225  3.815229e+01  2.135402e-01      76
  129.4989  3.874402e+01  1.756752e-01      29
