# theta_deg  n_hits  per_node  ratio_over_6
0.50  1762  0.620423  0.10340376
0.75  1174  0.413380  0.06889671
1.00  874  0.307746  0.05129108
1.25  722  0.254225  0.04237089
1.50  622  0.219014  0.03650235
1.75  712  0.250704  0.04178404
2.00  672  0.236620  0.03943662
2.25  922  0.324648  0.05410798
2.50  890  0.313380  0.05223005
2.75  814  0.286620  0.04776995
3.00  752  0.264789  0.04413146
3.25  754  0.265493  0.04424883
3.50  738  0.259859  0.04330986
3.75  786  0.276761  0.04612676
4.00  832  0.292958  0.04882629
4.25  826  0.290845  0.04847418
4.50  830  0.292254  0.04870892
4.75  756  0.266197  0.04436620
5.00  768  0.270423  0.04507042
5.50  830  0.292254  0.04870892
6.00  706  0.248592  0.04143192
6.50  780  0.274648  0.04577465
7.00  788  0.277465  0.04624413
7.50  852  0.300000  0.05000000
8.00  824  0.290141  0.04835681
8.50  782  0.275352  0.04589202
9.00  792  0.278873  0.04647887
9.50  728  0.256338  0.04272300
10.00  814  0.286620  0.04776995
10.50  780  0.274648  0.04577465
11.00  1078  0.379577  0.06326291
11.50  790  0.278169  0.04636150
12.00  794  0.279577  0.04659624
12.50  786  0.276761  0.04612676
13.00  676  0.238028  0.03967136
13.50  822  0.289437  0.04823944
14.00  798  0.280986  0.04683099
14.50  800  0.281690  0.04694836
15.00  812  0.285915  0.04765258
15.50  834  0.293662  0.04894366
16.00  786  0.276761  0.04612676
16.50  1122  0.395070  0.06584507
17.00  816  0.287324  0.04788732
17.50  728  0.256338  0.04272300
18.00  824  0.290141  0.04835681
18.50  800  0.281690  0.04694836
19.00  788  0.277465  0.04624413
19.50  820  0.288732  0.04812207
20.00  816  0.287324  0.04788732
20.50  812  0.285915  0.04765258
21.00  812  0.285915  0.04765258
21.50  652  0.229577  0.03826291
22.00  680  0.239437  0.03990610
22.50  828  0.291549  0.04859155
23.00  838  0.295070  0.04917840
23.50  876  0.308451  0.05140845
24.00  828  0.291549  0.04859155
24.50  718  0.252817  0.04213615
25.00  802  0.282394  0.04706573
25.50  862  0.303521  0.05058685
26.00  908  0.319718  0.05328638
26.50  822  0.289437  0.04823944
27.00  802  0.282394  0.04706573
27.50  818  0.288028  0.04800469
28.00  740  0.260563  0.04342723
28.50  772  0.271831  0.04530516
29.00  804  0.283099  0.04718310
29.50  814  0.286620  0.04776995
30.00  792  0.278873  0.04647887
