fermion,sheet,target_MeV,best_mass_MeV,log_err,plane,n_a,n_b,L_a_fm,L_b_fm
nu1,v,3e-08,0.123984,+6.6162,S_ev–U_v,1,1,10000,3.3e+09
nu2,v,3.3e-08,0.123984,+6.5749,S_ev–U_v,1,1,10000,3.3e+09
nu3,v,6e-08,0.123984,+6.3152,S_ev–U_v,1,1,10000,3.3e+09
e,e,0.511,12.399,+1.3850,U_e–S_ev,1,1,100,10000
mu,e,105.66,61.9952,-0.2316,U_e–S_ev,5,5,100,10000
tau,e,1776.86,2479.68,+0.1447,S_ep–S_ev,2,1,1,10000
u,p,2.16,12460.3,+3.7611,S_pv–S_ep,1,1,0.1,1
d,p,4.67,12460.3,+3.4262,S_pv–S_ep,1,1,0.1,1
s,p,93,12460.3,+2.1270,S_pv–S_ep,1,1,0.1,1
c,p,1270,12460.3,+0.9917,S_pv–S_ep,1,1,0.1,1
b,p,4180,12460.3,+0.4744,S_pv–S_ep,1,1,0.1,1
t,p,173000,247971,+0.1564,U_p–S_ep,1,1,0.005,1
