fermion,sheet,target_MeV,best_mass_MeV,log_err,plane,n_a,n_b,L_a_fm,L_b_fm
nu1,v,3e-08,0.0247968,+5.9173,S_ev–U_v,1,1,50000,4.1e+10
nu2,v,3.3e-08,0.0247968,+5.8759,S_ev–U_v,1,1,50000,4.1e+10
nu3,v,6e-08,0.0247968,+5.6162,S_ev–U_v,1,1,50000,4.1e+10
e,e,0.511,2.47981,+0.6860,U_e–S_ev,1,1,500,50000
mu,e,105.66,12.399,-0.9305,U_e–S_ev,5,5,500,50000
tau,e,1776.86,1878.55,+0.0242,S_ep–S_ev,2,1,1.32,50000
u,p,2.16,20685.4,+3.9812,S_pv–S_ep,1,1,0.06,1.32
d,p,4.67,20685.4,+3.6463,S_pv–S_ep,1,1,0.06,1.32
s,p,93,20685.4,+2.3472,S_pv–S_ep,1,1,0.06,1.32
c,p,1270,20685.4,+1.2119,S_pv–S_ep,1,1,0.06,1.32
b,p,4180,20685.4,+0.6945,S_pv–S_ep,1,1,0.06,1.32
t,p,173000,103427,-0.2234,S_pv–S_ep,5,5,0.06,1.32
