mass_MeV,substrate,kind,closure,n1,n2,n3,n4,n5,tube_dim,sigma_eff
3.002039e-08,"Ma(d1,d5)",2D,closed,-2,0,0,0,-1,d5,2.0000
3.002039e-08,"Ma(d2,d5)",2D,closed,0,-2,0,0,-1,d5,2.0000
3.002039e-08,"Ma(d3,d5)",2D,closed,0,0,-2,0,-1,d5,2.0000
3.002039e-08,"Ma(d4,d5)",2D,closed,0,0,0,-2,-1,d5,2.0000
3.002039e-08,Ma(d5),1D,closed,0,0,0,0,-1,,
3.002039e-08,Ma(d5),1D,closed,0,0,0,0,1,,
3.002039e-08,"Ma(d4,d5)",2D,closed,0,0,0,2,1,d5,2.0000
3.002039e-08,"Ma(d3,d5)",2D,closed,0,0,2,0,1,d5,2.0000
3.002039e-08,"Ma(d2,d5)",2D,closed,0,2,0,0,1,d5,2.0000
3.002039e-08,"Ma(d1,d5)",2D,closed,2,0,0,0,1,d5,2.0000
6.004077e-08,Ma(d5),1D,closed,0,0,0,0,-2,,
6.004077e-08,Ma(d5),1D,closed,0,0,0,0,2,,
9.006116e-08,Ma(d5),1D,closed,0,0,0,0,-3,,
9.006116e-08,Ma(d5),1D,closed,0,0,0,0,3,,
5.166008e-01,"Ma(d4,d5)",2D,closed,0,0,0,-1,-2,d4,2.0000
5.166008e-01,Ma(d4),1D,closed,0,0,0,-1,0,,
5.166008e-01,Ma(d4),1D,closed,0,0,0,1,0,,
5.166008e-01,"Ma(d4,d5)",2D,closed,0,0,0,1,2,d4,2.0000
5.166008e-01,"Ma(d4,d5)",2D,closed,0,0,0,-3,-1,d5,2.0000
5.166008e-01,"Ma(d4,d5)",2D,closed,0,0,0,-1,-3,d4,2.0000
5.166008e-01,"Ma(d4,d5)",2D,closed,0,0,0,-1,-1,d4,2.0000
5.166008e-01,"Ma(d4,d5)",2D,closed,0,0,0,-1,-1,d5,2.0000
5.166008e-01,"Ma(d4,d5)",2D,closed,0,0,0,1,1,d4,2.0000
5.166008e-01,"Ma(d4,d5)",2D,closed,0,0,0,1,1,d5,2.0000
5.166008e-01,"Ma(d4,d5)",2D,closed,0,0,0,1,3,d4,2.0000
5.166008e-01,"Ma(d4,d5)",2D,closed,0,0,0,3,1,d5,2.0000
5.166008e-01,"Ma(d4,d5)",2D,closed,0,0,0,-1,1,d4,2.0000
5.166008e-01,"Ma(d4,d5)",2D,closed,0,0,0,1,-1,d4,2.0000
5.166008e-01,"Ma(d4,d5)",2D,closed,0,0,0,-1,2,d4,2.0000
5.166008e-01,"Ma(d4,d5)",2D,closed,0,0,0,1,-2,d4,2.0000
5.166008e-01,"Ma(d4,d5)",2D,closed,0,0,0,-1,3,d4,2.0000
5.166008e-01,"Ma(d4,d5)",2D,closed,0,0,0,1,-3,d4,2.0000
6.513728e-01,"Ma(d2,d4)",2D,closed,0,-2,0,-1,0,d4,1.9997
6.513728e-01,"Ma(d2,d4)",2D,closed,0,2,0,1,0,d4,1.9997
