mass_MeV,substrate,kind,closure,n1,n2,n3,n4,n5,tube_dim,sigma_eff
7.797748e-09,"Ma(d1,d5)",2D,closed,-2,0,0,0,-1,d5,2.0000
7.797748e-09,"Ma(d2,d5)",2D,closed,0,-2,0,0,-1,d5,2.0000
7.797748e-09,"Ma(d3,d5)",2D,closed,0,0,-2,0,-1,d5,2.0000
7.797748e-09,Ma(d5),1D,closed,0,0,0,0,-1,,
7.797748e-09,Ma(d5),1D,closed,0,0,0,0,1,,
7.797748e-09,"Ma(d3,d5)",2D,closed,0,0,2,0,1,d5,2.0000
7.797748e-09,"Ma(d2,d5)",2D,closed,0,2,0,0,1,d5,2.0000
7.797748e-09,"Ma(d1,d5)",2D,closed,2,0,0,0,1,d5,2.0000
1.559550e-08,"Ma(d1,d5)",2D,closed,-4,0,0,0,-2,d5,2.0000
1.559550e-08,"Ma(d2,d5)",2D,closed,0,-4,0,0,-2,d5,2.0000
1.559550e-08,"Ma(d3,d5)",2D,closed,0,0,-4,0,-2,d5,2.0000
1.559550e-08,Ma(d5),1D,closed,0,0,0,0,-2,,
1.559550e-08,Ma(d5),1D,closed,0,0,0,0,2,,
1.559550e-08,"Ma(d3,d5)",2D,closed,0,0,4,0,2,d5,2.0000
1.559550e-08,"Ma(d2,d5)",2D,closed,0,4,0,0,2,d5,2.0000
1.559550e-08,"Ma(d1,d5)",2D,closed,4,0,0,0,2,d5,2.0000
2.339324e-08,"Ma(d1,d5)",2D,closed,-6,0,0,0,-3,d5,2.0000
2.339324e-08,"Ma(d2,d5)",2D,closed,0,-6,0,0,-3,d5,2.0000
2.339324e-08,"Ma(d3,d5)",2D,closed,0,0,-6,0,-3,d5,2.0000
2.339324e-08,Ma(d5),1D,closed,0,0,0,0,-3,,
2.339324e-08,Ma(d5),1D,closed,0,0,0,0,3,,
2.339324e-08,"Ma(d3,d5)",2D,closed,0,0,6,0,3,d5,2.0000
2.339324e-08,"Ma(d2,d5)",2D,closed,0,6,0,0,3,d5,2.0000
2.339324e-08,"Ma(d1,d5)",2D,closed,6,0,0,0,3,d5,2.0000
3.002012e-08,"Ma(d4,d5)",2D,closed,0,0,0,-1,-1,d5,0.0507
3.002012e-08,"Ma(d4,d5)",2D,closed,0,0,0,1,1,d5,0.0507
3.053798e-08,"Ma(d2,d4)",2D,closed,0,-2,0,-1,0,d4,2.0000
3.053798e-08,Ma(d4),1D,closed,0,0,0,-1,0,,
3.053798e-08,Ma(d4),1D,closed,0,0,0,1,0,,
3.053798e-08,"Ma(d2,d4)",2D,closed,0,2,0,1,0,d4,2.0000
3.119099e-08,"Ma(d1,d5)",2D,closed,-8,0,0,0,-4,d5,2.0000
3.119099e-08,"Ma(d2,d5)",2D,closed,0,-8,0,0,-4,d5,2.0000
3.119099e-08,"Ma(d3,d5)",2D,closed,0,0,-8,0,-4,d5,2.0000
3.119099e-08,Ma(d5),1D,closed,0,0,0,0,-4,,
3.119099e-08,Ma(d5),1D,closed,0,0,0,0,4,,
3.119099e-08,"Ma(d3,d5)",2D,closed,0,0,8,0,4,d5,2.0000
3.119099e-08,"Ma(d2,d5)",2D,closed,0,8,0,0,4,d5,2.0000
3.119099e-08,"Ma(d1,d5)",2D,closed,8,0,0,0,4,d5,2.0000
3.142235e-08,"Ma(d4,d5)",2D,closed,0,0,0,-1,-1,d4,0.0507
3.142235e-08,"Ma(d4,d5)",2D,closed,0,0,0,1,1,d4,0.0507
3.161795e-08,"Ma(d4,d5)",2D,closed,0,0,0,-1,1,d4,0.0507
3.161795e-08,"Ma(d4,d5)",2D,closed,0,0,0,1,-1,d4,0.0507
3.302019e-08,"Ma(d4,d5)",2D,closed,0,0,0,-1,1,d5,0.0507
3.302019e-08,"Ma(d4,d5)",2D,closed,0,0,0,1,-1,d5,0.0507
3.411177e-08,"Ma(d4,d5)",2D,closed,0,0,0,-1,-2,d4,0.0507
3.411177e-08,"Ma(d4,d5)",2D,closed,0,0,0,1,2,d4,0.0507
3.447137e-08,"Ma(d4,d5)",2D,closed,0,0,0,-1,2,d4,0.0507
3.447137e-08,"Ma(d4,d5)",2D,closed,0,0,0,1,-2,d4,0.0507
3.822920e-08,"Ma(d4,d5)",2D,closed,0,0,0,-1,-3,d4,0.0507
3.822920e-08,"Ma(d4,d5)",2D,closed,0,0,0,1,3,d4,0.0507
3.871002e-08,"Ma(d4,d5)",2D,closed,0,0,0,-1,3,d4,0.0507
3.871002e-08,"Ma(d4,d5)",2D,closed,0,0,0,1,-3,d4,0.0507
3.898874e-08,"Ma(d1,d5)",2D,closed,-10,0,0,0,-5,d5,2.0000
3.898874e-08,"Ma(d2,d5)",2D,closed,0,-10,0,0,-5,d5,2.0000
3.898874e-08,"Ma(d3,d5)",2D,closed,0,0,-10,0,-5,d5,2.0000
3.898874e-08,"Ma(d3,d5)",2D,closed,0,0,10,0,5,d5,2.0000
3.898874e-08,"Ma(d2,d5)",2D,closed,0,10,0,0,5,d5,2.0000
3.898874e-08,"Ma(d1,d5)",2D,closed,10,0,0,0,5,d5,2.0000
3.898874e-08,Ma(d5),1D,closed,0,0,0,0,-5,,
3.898874e-08,Ma(d5),1D,closed,0,0,0,0,5,,
4.336981e-08,"Ma(d4,d5)",2D,closed,0,0,0,-1,-4,d4,0.0507
4.336981e-08,"Ma(d4,d5)",2D,closed,0,0,0,1,4,d4,0.0507
4.393478e-08,"Ma(d4,d5)",2D,closed,0,0,0,-1,4,d4,0.0507
4.393478e-08,"Ma(d4,d5)",2D,closed,0,0,0,1,-4,d4,0.0507
4.678649e-08,"Ma(d1,d5)",2D,closed,-12,0,0,0,-6,d5,2.0000
4.678649e-08,"Ma(d2,d5)",2D,closed,0,-12,0,0,-6,d5,2.0000
4.678649e-08,"Ma(d3,d5)",2D,closed,0,0,-12,0,-6,d5,2.0000
4.678649e-08,Ma(d5),1D,closed,0,0,0,0,-6,,
4.678649e-08,Ma(d5),1D,closed,0,0,0,0,6,,
4.678649e-08,"Ma(d3,d5)",2D,closed,0,0,12,0,6,d5,2.0000
4.678649e-08,"Ma(d2,d5)",2D,closed,0,12,0,0,6,d5,2.0000
4.678649e-08,"Ma(d1,d5)",2D,closed,12,0,0,0,6,d5,2.0000
4.921401e-08,"Ma(d4,d5)",2D,closed,0,0,0,-1,-5,d4,0.0507
4.921401e-08,"Ma(d4,d5)",2D,closed,0,0,0,1,5,d4,0.0507
4.983648e-08,"Ma(d4,d5)",2D,closed,0,0,0,-1,5,d4,0.0507
4.983648e-08,"Ma(d4,d5)",2D,closed,0,0,0,1,-5,d4,0.0507
