fermion,sheet,target_MeV,best_mass_MeV,log_err,plane,n_a,n_b,L_a_fm,L_b_fm
nu1,v,3e-08,0.123984,+6.6162,S_ev–U_v,1,1,10000,6.7e+09
nu2,v,3.3e-08,0.123984,+6.5749,S_ev–U_v,1,1,10000,6.7e+09
nu3,v,6e-08,0.123984,+6.3152,S_ev–U_v,1,1,10000,6.7e+09
e,e,0.511,6.20045,+1.0840,U_e–S_ev,1,1,200,10000
mu,e,105.66,31.0022,-0.5325,U_e–S_ev,5,5,200,10000
tau,e,1776.86,1771.47,-0.0013,S_ep–U_e,1,5,0.7,200
u,p,2.16,17800.4,+3.9160,S_pv–S_ep,1,1,0.07,0.7
d,p,4.67,17800.4,+3.5811,S_pv–S_ep,1,1,0.07,0.7
s,p,93,17800.4,+2.2819,S_pv–S_ep,1,1,0.07,0.7
c,p,1270,17800.4,+1.1466,S_pv–S_ep,1,1,0.07,0.7
b,p,4180,17800.4,+0.6293,S_pv–S_ep,1,1,0.07,0.7
t,p,173000,89001.8,-0.2886,S_pv–S_ep,5,5,0.07,0.7
