fermion,sheet,target_MeV,best_mass_MeV,log_err,plane,n_a,n_b,L_a_fm,L_b_fm
nu1,v,3e-08,0.0123984,+5.6162,S_ev–U_v,1,1,100000,1e+10
nu2,v,3.3e-08,0.0123984,+5.5749,S_ev–U_v,1,1,100000,1e+10
nu3,v,6e-08,0.0123984,+5.3152,S_ev–U_v,1,1,100000,1e+10
e,e,0.511,0.316099,-0.2086,U_e–S_ev,5,5,20000,100000
mu,e,105.66,99.1878,-0.0275,S_ep–U_e,4,5,50,20000
tau,e,1776.86,123.985,-1.1563,S_ep–U_e,5,5,50,20000
u,p,2.16,6199.26,+3.4579,S_pv–S_ep,1,1,0.2,50
d,p,4.67,6199.26,+3.1230,S_pv–S_ep,1,1,0.2,50
s,p,93,6199.26,+1.8239,S_pv–S_ep,1,1,0.2,50
c,p,1270,6199.26,+0.6885,S_pv–S_ep,1,1,0.2,50
b,p,4180,6199.26,+0.1712,S_pv–S_ep,1,1,0.2,50
t,p,173000,127800,-0.1315,U_p–S_pv,1,5,0.01,0.2
