rank,omega,omega2,class,plane,n1,n2,n3,Q1sq,Q2sq,Q3sq,Phi12sq,Phi13sq,Phi23sq,C12sq,C13sq,C23sq,Q_I_total,Phi_II_total,C_III_total
0,8.05537e-05,6.48889e-09,1D-line,,0,0,-1,0,0,1.644e-10,5.529e-05,0,0,0,0,0,1.644e-10,5.529e-05,0
1,8.05537e-05,6.48889e-09,1D-line,,0,0,1,0,0,1.644e-10,5.529e-05,0,0,0,0,0,1.644e-10,5.529e-05,0
2,0.000161107,2.59556e-08,1D-line,,0,0,-2,0,0,6.575e-10,0.0002212,0,0,0,0,0,6.575e-10,0.0002212,0
3,0.000161107,2.59556e-08,1D-line,,0,0,2,0,0,6.575e-10,0.0002212,0,0,0,0,0,6.575e-10,0.0002212,0
4,0.000241661,5.84e-08,1D-line,,0,0,-3,0,0,1.479e-09,0.0004976,0,0,0,0,0,1.479e-09,0.0004976,0
5,0.000241661,5.84e-08,1D-line,,0,0,3,0,0,1.479e-09,0.0004976,0,0,0,0,0,1.479e-09,0.0004976,0
6,0.0108331,0.000117356,1D-line,,0,-1,0,0,2.973e-06,0,0,1.809e+04,0,0,0,0,2.973e-06,1.809e+04,0
7,0.0108331,0.000117356,1D-line,,0,1,0,0,2.973e-06,0,0,1.809e+04,0,0,0,0,2.973e-06,1.809e+04,0
8,0.0108334,0.000117362,2D-planar,(23),0,-1,-1,0,2.973e-06,1.644e-10,0,0,0,0,0,4.886e-16,2.973e-06,0,4.886e-16
9,0.0108334,0.000117362,2D-planar,(23),0,-1,1,0,2.973e-06,1.644e-10,0,0,0,0,0,4.886e-16,2.973e-06,0,4.886e-16
