n,m,k_theta,mu_squared,predicted_mass_MeV,charge_guess,multinucleon_N
-1,0,-1.000000,1.07877986,242.7250,-1.000000,0
1,0,1.000000,1.07877986,242.7250,1.000000,0
-1,-1,-0.666667,4.11986688,474.3398,-0.666667,0
1,1,0.666667,4.11986688,474.3398,0.666667,0
-2,0,-2.000000,4.31478919,485.4313,-2.000000,0
2,0,2.000000,4.31478919,485.4313,2.000000,0
0,1,-0.333333,4.47946022,494.6077,-0.333333,0
0,-1,0.333333,4.47946022,494.6077,0.333333,0
-2,-1,-1.666667,5.91772432,568.4933,-1.666667,0
2,1,1.666667,5.91772432,568.4933,1.666667,0
1,-1,1.333333,6.99630755,618.1338,1.333333,0
-1,1,-1.333333,6.99630755,618.1338,-1.333333,0
-3,0,-3.000000,9.70703504,728.1005,-3.000000,0
3,0,3.000000,9.70703504,728.1005,3.000000,0
3,1,2.666667,9.87204773,734.2630,2.666667,0
-3,-1,-2.666667,9.87204773,734.2630,-2.666667,0
-2,1,-2.333333,11.66902906,798.2986,-2.333333,0
2,-1,2.333333,11.66902906,798.2986,2.333333,0
1,2,0.333333,16.11986790,938.2720,0.333333,0
-1,-2,-0.333333,16.11986790,938.2720,-0.333333,0
2,2,1.333333,16.47947662,948.6800,1.333333,0
-2,-2,-1.333333,16.47947662,948.6800,-1.333333,0
0,-2,0.666667,17.91798681,989.2194,0.666667,0
0,2,-0.666667,17.91798681,989.2194,-0.666667,0
3,-1,3.333333,18.49505376,1005.0226,3.333333,0
-3,1,-3.333333,18.49505376,1005.0226,-3.333333,0
-3,-2,-2.333333,18.99694862,1018.5678,-2.333333,0
3,2,2.333333,18.99694862,1018.5678,2.333333,0
-1,2,-1.666667,21.87451254,1092.9926,-1.666667,0
1,-2,1.666667,21.87451254,1092.9926,1.666667,0
-2,2,-2.666667,27.99094662,1236.3938,-2.666667,0
2,-2,2.666667,27.99094662,1236.3938,2.666667,0
-2,-3,-1.000000,35.99999993,1402.1655,-1.000000,0
2,3,1.000000,35.99999993,1402.1655,1.000000,0
3,-2,3.666667,36.26962451,1407.4065,3.666667,0
-3,2,-3.666667,36.26962451,1407.4065,-3.666667,0
-3,-3,-2.000000,37.07294519,1422.9071,-2.000000,0
-1,-3,0.000000,37.07294519,1422.9071,0.000000,0
1,3,0.000000,37.07294519,1422.9071,0.000000,0
3,3,2.000000,37.07294519,1422.9071,2.000000,0
0,-3,1.000000,40.29204911,1483.3980,1.000000,0
0,3,-1.000000,40.29204911,1483.3980,-1.000000,0
1,-3,2.000000,45.65812013,1579.0905,2.000000,0
-1,3,-2.000000,45.65812013,1579.0905,-2.000000,0
2,-3,3.000000,53.17251364,1704.0864,3.000000,0
-2,3,-3.000000,53.17251364,1704.0864,-3.000000,0
3,-3,4.000000,62.83714334,1852.4915,4.000000,2
-3,3,-4.000000,62.83714334,1852.4915,-4.000000,2
