epsilon,chi,R_fm,mu_p,n_matches_tol10,mean_delta_tol10,total_delta_tol10,n_matches_tol30,mean_delta_tol30,total_delta_tol30,n_matches_tol80,mean_delta_tol80,total_delta_tol80
0.1000,0.5000,4.2068,20.0028,7,2.6127,18.2890,8,4.7893,38.3147,12,18.5502,222.6021
0.1500,0.5000,2.8050,13.3375,10,3.2586,32.5858,11,4.0712,44.7831,13,9.5588,124.2647
0.2000,0.5000,2.1043,10.0056,9,3.1555,28.3994,10,4.4164,44.1641,13,13.5883,176.6474
0.2500,0.5000,1.6840,8.0071,8,1.8087,14.4697,12,6.2865,75.4379,14,12.0943,169.3201
0.3000,0.5000,1.4039,6.6752,9,4.2092,37.8830,13,8.5288,110.8740,18,24.6703,444.0659
0.4000,0.5000,1.0540,5.0116,5,3.9557,19.7783,15,12.6502,189.7527,25,31.1592,778.9803
0.5000,0.5000,0.8444,4.0150,12,3.5662,42.7944,17,8.3468,141.8962,22,18.0316,396.6948
0.7000,0.5000,0.6056,2.8798,4,1.0273,4.1091,16,13.5488,216.7805,23,23.7905,547.1811
1.0000,0.5000,0.4290,2.0398,8,3.4421,27.5370,16,9.5309,152.4946,21,19.0963,401.0226
0.1000,1.0000,4.2068,20.0028,7,2.6029,18.2206,8,4.7816,38.2529,12,18.5469,222.5625
0.1500,1.0000,2.8050,13.3375,10,3.2511,32.5113,11,4.0684,44.7522,13,9.5590,124.2667
0.2000,1.0000,2.1043,10.0056,9,3.1431,28.2882,10,4.4128,44.1278,13,13.5946,176.7304
0.2500,1.0000,1.6840,8.0071,8,1.8494,14.7949,12,6.3348,76.0178,14,12.1533,170.1458
0.3000,1.0000,1.4039,6.6752,9,4.0894,36.8045,13,8.4687,110.0927,18,24.7420,445.3561
0.4000,1.0000,1.0540,5.0116,5,3.9731,19.8654,15,12.1605,182.4071,25,30.7330,768.3241
0.5000,1.0000,0.8444,4.0148,12,2.8467,34.1598,17,7.5888,129.0091,21,14.2033,298.2703
0.7000,1.0000,0.6055,2.8793,8,2.8922,23.1378,14,9.9768,139.6748,23,21.3819,491.7827
1.0000,1.0000,0.4285,2.0375,8,2.7596,22.0770,14,10.3125,144.3746,23,27.7374,637.9613
0.1000,1.5000,4.2068,20.0028,7,2.5963,18.1743,8,4.7764,38.2111,12,18.5446,222.5356
0.1500,1.5000,2.8050,13.3375,10,3.2465,32.4647,11,4.0668,44.7350,13,9.5594,124.2719
0.2000,1.5000,2.1043,10.0056,9,3.1353,28.2180,10,4.4108,44.1081,13,13.5993,176.7911
0.2500,1.5000,1.6840,8.0070,8,1.8767,15.0134,12,6.3667,76.4002,14,12.1924,170.6933
0.3000,1.5000,1.4038,6.6752,9,4.0094,36.0846,13,8.4286,109.5718,18,24.7902,446.2230
0.4000,1.5000,1.0540,5.0115,5,3.9846,19.9232,15,11.8348,177.5218,25,30.4492,761.2295
0.5000,1.5000,0.8443,4.0147,12,2.3697,28.4366,17,7.0872,120.4818,22,16.5887,364.9506
0.7000,1.5000,0.6055,2.8790,8,1.1477,9.1813,15,9.9853,149.7798,23,19.5550,449.7646
1.0000,1.5000,0.4282,2.0361,6,2.5758,15.4546,13,13.0874,170.1365,23,27.4127,630.4920
0.1000,2.0000,4.2068,20.0028,7,2.5916,18.1415,8,4.7727,38.1814,12,18.5430,222.5166
0.1500,2.0000,2.8050,13.3375,10,3.2435,32.4349,11,4.0660,44.7261,13,9.5599,124.2786
0.2000,2.0000,2.1043,10.0056,9,3.1306,28.1758,10,4.4101,44.1015,13,13.6032,176.8412
0.2500,2.0000,1.6840,8.0070,8,1.8959,15.1670,12,6.3873,76.6476,14,12.2184,171.0570
0.3000,2.0000,1.4038,6.6752,9,3.9559,35.6032,13,8.4023,109.2299,18,24.8253,446.8547
0.4000,2.0000,1.0540,5.0115,5,3.9927,19.9636,15,11.6006,174.0089,25,30.2472,756.1790
0.5000,2.0000,0.8443,4.0147,12,2.4457,29.3481,17,7.0300,119.5098,22,16.3226,359.0969
0.7000,2.0000,0.6054,2.8788,9,1.9604,17.6440,16,10.5939,169.5030,23,18.6951,429.9882
1.0000,2.0000,0.4280,2.0352,7,2.0933,14.6529,10,7.8403,78.4033,23,26.1420,601.2654
