rank,omega,omega2,class,plane,n1,n2,n3,Q1sq,Q2sq,Q3sq,Phi12sq,Phi13sq,Phi23sq,C12sq,C13sq,C23sq,Q_I_total,Phi_II_total,C_III_total
0,8.05537e-05,6.48889e-09,1D-line,,0,0,-1,0,0,1.644e-10,5.529e-05,0,0,0,0,0,1.644e-10,5.529e-05,0
1,8.05537e-05,6.48889e-09,1D-line,,0,0,1,0,0,1.644e-10,5.529e-05,0,0,0,0,0,1.644e-10,5.529e-05,0
2,0.000161107,2.59556e-08,1D-line,,0,0,-2,0,0,6.575e-10,0.0002212,0,0,0,0,0,6.575e-10,0.0002212,0
3,0.000161107,2.59556e-08,1D-line,,0,0,2,0,0,6.575e-10,0.0002212,0,0,0,0,0,6.575e-10,0.0002212,0
4,0.000241661,5.84e-08,1D-line,,0,0,-3,0,0,1.479e-09,0.0004976,0,0,0,0,0,1.479e-09,0.0004976,0
5,0.000241661,5.84e-08,1D-line,,0,0,3,0,0,1.479e-09,0.0004976,0,0,0,0,0,1.479e-09,0.0004976,0
6,0.000322215,1.03822e-07,1D-line,,0,0,-4,0,0,2.63e-09,0.0008847,0,0,0,0,0,2.63e-09,0.0008847,0
7,0.000322215,1.03822e-07,1D-line,,0,0,4,0,0,2.63e-09,0.0008847,0,0,0,0,0,2.63e-09,0.0008847,0
8,0.0108331,0.000117356,1D-line,,0,-1,0,0,2.973e-06,0,0,1.809e+04,0,0,0,0,2.973e-06,1.809e+04,0
9,0.0108331,0.000117356,1D-line,,0,1,0,0,2.973e-06,0,0,1.809e+04,0,0,0,0,2.973e-06,1.809e+04,0
10,0.0108334,0.000117362,2D-planar,(23),0,-1,-1,0,2.973e-06,1.644e-10,0,0,0,0,0,4.886e-16,2.973e-06,0,4.886e-16
11,0.0108334,0.000117362,2D-planar,(23),0,-1,1,0,2.973e-06,1.644e-10,0,0,0,0,0,4.886e-16,2.973e-06,0,4.886e-16
12,0.0108334,0.000117362,2D-planar,(23),0,1,-1,0,2.973e-06,1.644e-10,0,0,0,0,0,4.886e-16,2.973e-06,0,4.886e-16
13,0.0108334,0.000117362,2D-planar,(23),0,1,1,0,2.973e-06,1.644e-10,0,0,0,0,0,4.886e-16,2.973e-06,0,4.886e-16
14,0.0108343,0.000117382,2D-planar,(23),0,-1,-2,0,2.973e-06,6.575e-10,0,0,0,0,0,1.954e-15,2.973e-06,0,1.954e-15
15,0.0108343,0.000117382,2D-planar,(23),0,-1,2,0,2.973e-06,6.575e-10,0,0,0,0,0,1.954e-15,2.973e-06,0,1.954e-15
16,0.0108343,0.000117382,2D-planar,(23),0,1,-2,0,2.973e-06,6.575e-10,0,0,0,0,0,1.954e-15,2.973e-06,0,1.954e-15
17,0.0108343,0.000117382,2D-planar,(23),0,1,2,0,2.973e-06,6.575e-10,0,0,0,0,0,1.954e-15,2.973e-06,0,1.954e-15
18,0.0108358,0.000117414,2D-planar,(23),0,-1,-3,0,2.973e-06,1.479e-09,0,0,0,0,0,4.397e-15,2.974e-06,0,4.397e-15
19,0.0108358,0.000117414,2D-planar,(23),0,-1,3,0,2.973e-06,1.479e-09,0,0,0,0,0,4.397e-15,2.974e-06,0,4.397e-15
20,0.0108358,0.000117414,2D-planar,(23),0,1,-3,0,2.973e-06,1.479e-09,0,0,0,0,0,4.397e-15,2.974e-06,0,4.397e-15
21,0.0108358,0.000117414,2D-planar,(23),0,1,3,0,2.973e-06,1.479e-09,0,0,0,0,0,4.397e-15,2.974e-06,0,4.397e-15
22,0.0108379,0.000117459,2D-planar,(23),0,-1,-4,0,2.973e-06,2.63e-09,0,0,0,0,0,7.818e-15,2.975e-06,0,7.818e-15
23,0.0108379,0.000117459,2D-planar,(23),0,-1,4,0,2.973e-06,2.63e-09,0,0,0,0,0,7.818e-15,2.975e-06,0,7.818e-15
24,0.0108379,0.000117459,2D-planar,(23),0,1,-4,0,2.973e-06,2.63e-09,0,0,0,0,0,7.818e-15,2.975e-06,0,7.818e-15
25,0.0108379,0.000117459,2D-planar,(23),0,1,4,0,2.973e-06,2.63e-09,0,0,0,0,0,7.818e-15,2.975e-06,0,7.818e-15
26,0.0216662,0.000469422,1D-line,,0,-2,0,0,1.189e-05,0,0,7.234e+04,0,0,0,0,1.189e-05,7.234e+04,0
27,0.0216662,0.000469422,1D-line,,0,2,0,0,1.189e-05,0,0,7.234e+04,0,0,0,0,1.189e-05,7.234e+04,0
28,0.0216663,0.000469429,2D-planar,(23),0,-2,-1,0,1.189e-05,1.644e-10,0,0,0,0,0,1.954e-15,1.189e-05,0,1.954e-15
29,0.0216663,0.000469429,2D-planar,(23),0,-2,1,0,1.189e-05,1.644e-10,0,0,0,0,0,1.954e-15,1.189e-05,0,1.954e-15
