index,eigenvalue,sqrt_eigenvalue,enrichment
0,1.72655300e-15,4.15518110e-08,1.000000
1,7.54922628e-04,2.74758554e-02,0.998837
2,7.54922628e-04,2.74758554e-02,0.998837
3,3.08364577e-03,5.55305841e-02,1.003278
4,3.08364577e-03,5.55305841e-02,1.003278
5,6.86353880e-03,8.28464773e-02,0.977048
6,6.91143980e-03,8.31350696e-02,1.027024
7,1.22168324e-02,1.10529781e-01,1.001917
8,1.22168324e-02,1.10529781e-01,1.001917
9,1.90537387e-02,1.38035281e-01,1.001774
10,1.90537387e-02,1.38035281e-01,1.001774
11,2.73848502e-02,1.65483686e-01,1.006068
12,2.73848914e-02,1.65483810e-01,0.997341
13,3.71946683e-02,1.92859193e-01,1.001670
14,3.71946683e-02,1.92859193e-01,1.001670
15,4.84650160e-02,2.20147714e-01,1.001651
16,4.84650160e-02,2.20147714e-01,1.001651
17,6.11751433e-02,2.47336094e-01,1.001744
18,6.11752090e-02,2.47336227e-01,1.001538
19,7.53018032e-02,2.74411740e-01,1.001637
20,7.53018032e-02,2.74411740e-01,1.001637
21,9.08189819e-02,3.01361879e-01,1.001636
22,9.08189819e-02,3.01361879e-01,1.001636
23,1.07697387e-01,3.28172801e-01,1.001661
24,1.07699169e-01,3.28175516e-01,1.001617
25,1.25908797e-01,3.54836296e-01,1.001645
26,1.25908797e-01,3.54836296e-01,1.001645
27,1.45417245e-01,3.81336131e-01,1.001653
28,1.45417245e-01,3.81336131e-01,1.001653
29,1.66185894e-01,4.07659042e-01,1.001667
30,1.66190108e-01,4.07664209e-01,1.001660
31,1.88183190e-01,4.33800864e-01,1.001676
32,1.88183190e-01,4.33800864e-01,1.001676
33,2.11362760e-01,4.59742059e-01,1.001692
34,2.11362760e-01,4.59742059e-01,1.001692
35,2.25406034e-01,4.74769454e-01,1.002582
36,2.25406044e-01,4.74769464e-01,1.002582
37,2.25406044e-01,4.74769464e-01,1.002582
38,2.31843600e-01,4.81501402e-01,1.000000
39,2.31843617e-01,4.81501419e-01,1.000000
40,2.31843617e-01,4.81501419e-01,1.000000
41,2.35681910e-01,4.85470812e-01,1.001707
42,2.35687223e-01,4.85476284e-01,1.001713
43,2.50024907e-01,5.00024907e-01,0.988978
44,2.50024907e-01,5.00024907e-01,0.988978
45,2.50025262e-01,5.00025261e-01,0.988978
46,2.56791721e-01,5.06746210e-01,0.987164
47,2.56791721e-01,5.06746210e-01,0.987164
48,2.56792362e-01,5.06746842e-01,0.987164
49,2.61104457e-01,5.10983813e-01,1.001730
50,2.61104457e-01,5.10983813e-01,1.001730
51,2.74058236e-01,5.23505718e-01,0.980089
52,2.74064792e-01,5.23511979e-01,0.980077
53,2.74064792e-01,5.23511979e-01,0.980077
54,2.80999319e-01,5.30093689e-01,0.978949
55,2.81011193e-01,5.30104889e-01,0.978921
56,2.81011193e-01,5.30104889e-01,0.978921
57,2.87576364e-01,5.36261470e-01,1.001754
58,2.87576364e-01,5.36261470e-01,1.001754
59,2.97131386e-01,5.45097593e-01,0.976575
60,2.97131386e-01,5.45097593e-01,0.976575
61,2.97207696e-01,5.45167585e-01,0.976312
62,3.04019493e-01,5.51379627e-01,0.976634
63,3.04019493e-01,5.51379627e-01,0.976634
64,3.04154449e-01,5.51501994e-01,0.976094
65,3.15051993e-01,5.61294925e-01,1.001777
66,3.15052787e-01,5.61295632e-01,1.001782
67,3.18369070e-01,5.64242031e-01,0.983292
68,3.18934396e-01,5.64742769e-01,0.980780
69,3.18934396e-01,5.64742769e-01,0.980780
70,3.24620908e-01,5.69755130e-01,0.987451
71,3.25598590e-01,5.70612469e-01,0.982586
