particle,tuple,s_p,predicted_MeV,observed_MeV,relative_error_pct
proton,"(0, 0, 0, 0, 3, 6)",0.998,938.272,938.272,0.0
neutron,"(1, 2, -1, -1, 3, 6)",0.998,938.2721391493637,939.565,-0.13760206591734644
Lambda,"(-3, 2, 1, -6, -3, -3)",0.998,1172.3034685657783,1115.683,5.074960232053219
eta_prime,"(0, -6, -1, -6, 0, -6)",0.998,1099.5638552677872,957.78,14.803384416858487
Sigma_-,"(4, 0, -2, -6, 3, 5)",0.998,1210.9333823037673,1197.449,1.1260924100957312
Sigma_+,"(2, -3, -2, -6, 3, 6)",0.998,1189.5989959565811,1189.37,0.019253550752182217
Xi_-,"(-2, 4, 0, -6, -3, 6)",0.998,1791.5155909371379,1321.71,35.54528534528284
phi,"(-3, -6, 1, -6, -3, 6)",0.998,1584.6882170372717,1019.461,55.44373124987337
K0,"(0, -1, -1, -6, 0, -4)",0.998,611.5815850374701,497.611,22.903550170207264
K_pm,"(1, 3, -2, -6, 0, -4)",0.998,611.5070215681308,493.677,23.86783698007619
eta,"(0, -4, -1, -6, 0, -3)",0.998,615.203930473549,547.862,12.291768816517488
pi0,"(0, 0, -1, -6, 0, -1)",0.998,150.65359206937242,134.977,11.61426914909386
pi_pm,"(1, 2, -2, -6, 0, -1)",0.998,150.6544586905008,139.57,7.941863359246836
