particle,tuple,observed_MeV,flat_MeV,curved_MeV,flat_err,curved_err
electron,"(1, 2, 0, 0, 0, 0)",0.5109989461,0.5109989460999999,0.5109989460999999,-2.172652278636777e-16,-2.172652278636777e-16
muon,"(1, 1, -2, -6, 0, 0)",105.658,104.78395999224,104.78395999224,-0.008272350487043115,-0.008272350487043115
proton,"(0, 0, 0, 0, 3, 6)",938.272,938.272,938.272,0.0,0.0
neutron,"(1, 2, -1, -1, 3, 6)",939.565,938.2721391493639,938.2721391493639,-0.0013760206591733434,-0.0013760206591733434
Lambda,"(-3, 2, 1, -6, -3, -3)",1115.683,1107.6675069970643,1083.2373839682866,-0.007184382125510317,-0.029081393219860276
Sigma_+,"(2, -3, -2, -6, 3, 6)",1189.37,1189.5989959468673,1189.5989959468673,0.00019253549935459234,0.00019253549935459234
Sigma_-,"(4, 0, -2, -6, 3, 5)",1197.449,1197.2303233311013,1196.6782150740116,-0.00018261877449373778,-0.0006436891475030978
Xi_-,"(-2, 4, 0, -6, -3, 6)",1321.71,1322.6438872888223,1315.0036226624434,0.0007065750344797528,-0.005074015735340324
phi,"(-3, -6, 1, -6, -3, 6)",1019.461,1025.2294793160165,1015.3537119110034,0.005658361934410939,-0.004028882016081633
eta_prime,"(0, -6, -1, -6, 0, -6)",957.78,958.5498110377116,782.3007548845328,0.0008037451582948419,-0.18321456400787986
K0,"(0, -1, -1, -6, 0, -4)",497.611,495.0192577839006,344.654411484686,-0.005208370024174229,-0.30738184749797326
K_pm,"(1, 3, -2, -6, 0, -4)",493.677,494.9271338764021,344.52208292944215,0.002532291106132269,-0.30213057742320965
eta,"(0, -4, -1, -6, 0, -3)",547.862,553.1004819868429,490.38344070144433,0.009561681567334265,-0.10491430195661616
pi0,"(0, 0, -1, -6, 0, -1)",134.977,120.97419850812409,105.67103385010728,-0.10374213008050197,-0.21711822125171493
pi_pm,"(1, 2, -2, -6, 0, -1)",139.57,120.97527774138784,105.67226937505143,-0.13322864697723116,-0.24287261320447492
