particle,n_pt,n_pr,mu2_flat,mu2_curved,ratio,sqrt_ratio_minus_1
electron,0,0,0.0,0.0,1.0,0.0
muon,0,0,0.0,0.0,1.0,0.0
proton,3,6,60.155038020023476,23.072490844969998,0.38355043242246784,-0.38068551411866053
neutron,3,6,60.155038020023476,23.072490844969998,0.38355043242246784,-0.38068551411866053
Lambda,-3,-3,36.071704020023475,12.432548710716556,0.34466208482458227,-0.4129207167472333
Sigma_+,3,6,60.155038020023476,23.072490844969998,0.38355043242246784,-0.38068551411866053
Sigma_-,3,5,50.12726002002347,19.191692984050533,0.38285940576812616,-0.3812436620380151
Xi_-,-3,6,71.82170202002348,27.019088976881147,0.3761967235105119,-0.38665122197031154
phi,-3,6,71.82170202002348,27.019088976881147,0.3761967235105119,-0.38665122197031154
eta_prime,0,-6,36.0,5.766534121023257,0.16018150336175715,-0.5997731851040499
K0,0,-4,16.0,2.827829380176125,0.17673933626100782,-0.5795962223516447
K_pm,0,-4,16.0,2.827829380176125,0.17673933626100782,-0.5795962223516447
eta,0,-3,9.0,1.7367794600740802,0.19297549556378668,-0.5607102373560401
pi0,0,-1,1.0,0.29265023869859974,0.29265023869859974,-0.4590284307853141
pi_pm,0,-1,1.0,0.29265023869859974,0.29265023869859974,-0.4590284307853141
