eps_p,s_p,L_ring_p,mu_36,signature_ok,n_ghosts,lightest_ghost_E,n_matched,n_baseline_preserved,matched,lost_vs_baseline,gained_vs_baseline
0.2,0.0,98.5084,16.1555,TRUE,1,58.08,5,3,n|p|Δ⁺|π⁰|τ,Ξ⁰|Ξ⁻|Ω⁻|η′,n|τ
0.2,0.05,98.1724,16.1004,TRUE,1,58.28,5,3,n|p|Δ⁺|π⁰|τ,Ξ⁰|Ξ⁻|Ω⁻|η′,n|τ
0.2,0.1,97.8438,16.0465,TRUE,1,58.47,6,3,n|p|Δ⁺|π⁰|ρ|τ,Ξ⁰|Ξ⁻|Ω⁻|η′,n|ρ|τ
0.2,0.14,97.5863,16.0043,TRUE,1,58.63,6,3,n|p|Δ⁺|π⁰|ρ|τ,Ξ⁰|Ξ⁻|Ω⁻|η′,n|ρ|τ
0.2,0.162,97.4467,15.9814,TRUE,1,58.71,6,3,n|p|Δ⁺|π⁰|ρ|τ,Ξ⁰|Ξ⁻|Ω⁻|η′,n|ρ|τ
0.2,0.18,97.3336,15.9628,TRUE,1,58.78,7,3,n|p|Δ⁺|π⁰|ρ|τ|φ,Ξ⁰|Ξ⁻|Ω⁻|η′,n|ρ|τ|φ
0.2,0.2,97.2091,15.9424,TRUE,1,58.85,7,3,n|p|Δ⁺|π⁰|ρ|τ|φ,Ξ⁰|Ξ⁻|Ω⁻|η′,n|ρ|τ|φ
0.2,0.25,96.9031,15.8922,TRUE,1,59.04,7,3,n|p|Δ⁺|π⁰|ρ|τ|φ,Ξ⁰|Ξ⁻|Ω⁻|η′,n|ρ|τ|φ
0.2,0.3,96.6048,15.8433,TRUE,1,59.22,9,4,n|p|Δ⁺|Ξ⁻|Σ±|π⁰|ρ|τ|φ,Ξ⁰|Ω⁻|η′,n|Σ±|ρ|τ|φ
0.2,0.35,96.3143,15.7956,TRUE,1,59.40,9,5,p|Δ⁺|Ξ⁻|Σ±|η′|π⁰|ρ|τ|φ,Ξ⁰|Ω⁻,Σ±|ρ|τ|φ
0.2,0.4,96.0316,15.7493,TRUE,1,59.58,9,4,p|Ξ⁻|Σ±|Σ⁻|η′|π⁰|ρ|τ|φ,Δ⁺|Ξ⁰|Ω⁻,Σ±|Σ⁻|ρ|τ|φ
0.2,0.45,95.7568,15.7042,TRUE,1,59.75,9,4,p|Ξ⁻|Σ⁻|η|η′|π⁰|ρ|τ|φ,Δ⁺|Ξ⁰|Ω⁻,Σ⁻|η|ρ|τ|φ
0.2,0.5,95.4899,15.6605,TRUE,1,59.91,9,4,p|Ξ⁻|Σ⁻|η|η′|π⁰|ρ|τ|φ,Δ⁺|Ξ⁰|Ω⁻,Σ⁻|η|ρ|τ|φ
0.25,0.0,81.8068,13.4164,TRUE,1,69.93,8,4,K⁰|p|Λ|Ξ⁻|Σ±|Ω⁻|π⁰|ρ,Δ⁺|Ξ⁰|η′,K⁰|Λ|Σ±|ρ
0.25,0.05,81.4019,13.3500,TRUE,1,70.28,10,4,K⁰|p|Λ|Ξ⁻|Σ±|Σ⁻|Ω⁻|π⁰|ρ|τ,Δ⁺|Ξ⁰|η′,K⁰|Λ|Σ±|Σ⁻|ρ|τ
0.25,0.1,81.0052,13.2850,TRUE,1,70.63,10,4,K⁰|p|Λ|Ξ⁻|Σ±|Σ⁻|Ω⁻|π⁰|ρ|τ,Δ⁺|Ξ⁰|η′,K⁰|Λ|Σ±|Σ⁻|ρ|τ
0.25,0.14,80.6940,13.2339,TRUE,1,70.90,11,5,K⁰|n|p|Δ⁺|Λ|Ξ⁻|Σ±|Ω⁻|π⁰|ρ|τ,Ξ⁰|η′,K⁰|n|Λ|Σ±|ρ|τ
0.25,0.162,80.5252,13.2062,TRUE,1,71.05,10,4,K⁰|n|p|Δ⁺|Λ|Ξ⁻|Σ±|π⁰|ρ|τ,Ξ⁰|Ω⁻|η′,K⁰|n|Λ|Σ±|ρ|τ
0.25,0.18,80.3882,13.1838,TRUE,1,71.17,9,4,K⁰|n|p|Δ⁺|Ξ⁻|Σ±|π⁰|ρ|τ,Ξ⁰|Ω⁻|η′,K⁰|n|Σ±|ρ|τ
0.25,0.2,80.2374,13.1590,TRUE,1,71.30,9,4,K⁰|n|p|Δ⁺|Ξ⁻|Σ±|π⁰|ρ|τ,Ξ⁰|Ω⁻|η′,K⁰|n|Σ±|ρ|τ
0.25,0.25,79.8664,13.0982,TRUE,1,71.63,11,5,K⁰|n|p|Δ⁺|Ξ⁰|Ξ⁻|Σ±|π⁰|ρ|τ|φ,Ω⁻|η′,K⁰|n|Σ±|ρ|τ|φ
0.25,0.3,79.5042,13.0388,TRUE,1,71.96,9,4,K⁰|n|p|Ξ⁰|Ξ⁻|Σ±|π⁰|τ|φ,Δ⁺|Ω⁻|η′,K⁰|n|Σ±|τ|φ
0.25,0.35,79.1510,12.9809,TRUE,1,72.28,9,4,K⁰|n|p|Ξ⁰|Ξ⁻|Σ±|π⁰|τ|φ,Δ⁺|Ω⁻|η′,K⁰|n|Σ±|τ|φ
0.25,0.4,78.8067,12.9244,TRUE,1,72.60,9,5,n|p|Ξ⁰|Ξ⁻|Σ±|Ω⁻|π⁰|τ|φ,Δ⁺|η′,n|Σ±|τ|φ
0.25,0.45,78.4716,12.8694,TRUE,1,72.91,10,5,n|p|Λ|Ξ⁰|Ξ⁻|Σ±|Ω⁻|π⁰|τ|φ,Δ⁺|η′,n|Λ|Σ±|τ|φ
0.25,0.5,78.1458,12.8160,TRUE,1,73.21,10,6,p|Λ|Ξ⁰|Ξ⁻|Σ±|Ω⁻|η′|π⁰|τ|φ,Δ⁺,Λ|Σ±|τ|φ
0.3,0.0,71.1087,11.6619,TRUE,1,80.46,4,3,p|Λ|Ω⁻|η′,Δ⁺|Ξ⁰|Ξ⁻|π⁰,Λ
0.3,0.05,70.6425,11.5854,TRUE,1,80.99,6,5,p|Δ⁺|Λ|Ξ⁰|Ω⁻|η′,Ξ⁻|π⁰,Λ
0.3,0.1,70.1851,11.5104,TRUE,1,81.51,5,4,K⁰|p|Δ⁺|Ξ⁰|Ω⁻,Ξ⁻|η′|π⁰,K⁰
