eps_p,s_p,fitness_width,ghost_count,mu36
0.400,0.000,1.6280,1,9.6047
0.410,0.000,2.1423,1,9.4625
0.420,0.000,3.3541,1,9.3285
0.430,0.000,2.8609,1,9.2019
0.440,0.000,1.8304,1,9.0823
0.450,0.000,1.8924,1,8.9691
0.460,0.000,2.5088,1,8.8619
0.470,0.000,2.4632,1,8.7603
0.480,0.000,2.3425,1,8.6639
0.490,0.000,3.0712,1,8.5723
0.500,0.000,3.1909,1,8.4853
0.510,0.000,2.6077,1,8.4025
0.520,0.000,2.0880,1,8.3237
0.530,0.000,1.9033,1,8.2486
0.540,0.000,1.9213,1,8.1771
0.550,0.000,1.9390,1,8.1088
0.560,0.000,1.9562,0,8.0436
0.570,0.000,2.2476,0,7.9813
0.580,0.000,2.9989,0,7.9217
0.590,0.000,3.7215,0,7.8648
0.600,0.000,3.5564,0,7.8102
0.610,0.000,2.8653,0,7.7580
0.620,0.000,2.1942,0,7.7080
0.630,0.000,1.9350,0,7.6600
0.640,0.000,1.9209,0,7.6140
0.650,0.000,1.9073,0,7.5698
0.660,0.000,2.0779,0,7.5274
0.670,0.000,2.5507,0,7.4866
0.680,0.000,2.8645,0,7.4474
0.690,0.000,2.6262,0,7.4097
0.700,0.000,2.4777,0,7.3734
0.710,0.000,2.7036,0,7.3385
0.720,0.000,2.7165,0,7.3049
0.730,0.000,2.5377,0,7.2725
0.740,0.000,2.5804,0,7.2412
0.750,0.000,2.6936,0,7.2111
0.760,0.000,2.8020,0,7.1820
0.770,0.000,3.1115,0,7.1540
0.780,0.000,3.3105,0,7.1269
0.790,0.000,3.2735,0,7.1008
0.800,0.000,3.3605,0,7.0755
0.810,0.000,3.4962,0,7.0511
0.820,0.000,3.5466,0,7.0274
0.830,0.000,3.5279,0,7.0046
0.840,0.000,3.7129,0,6.9825
0.850,0.000,4.0035,0,6.9611
0.860,0.000,4.1286,0,6.9404
0.870,0.000,4.1142,0,6.9203
0.880,0.000,4.1003,0,6.9009
0.890,0.000,4.0735,0,6.8820
0.900,0.000,4.0233,0,6.8638
0.910,0.000,3.8080,0,6.8460
0.920,0.000,3.5879,0,6.8289
0.930,0.000,3.4042,0,6.8122
0.940,0.000,3.4455,0,6.7960
0.950,0.000,3.2487,0,6.7803
0.960,0.000,3.1738,0,6.7650
0.970,0.000,3.0186,0,6.7502
0.980,0.000,2.8478,0,6.7358
0.990,0.000,3.1126,0,6.7218
1.000,0.000,3.5095,0,6.7082
1.010,0.000,3.4616,0,6.6950
1.020,0.000,3.0622,0,6.6821
1.030,0.000,2.6457,0,6.6696
1.040,0.000,2.5583,0,6.6574
1.050,0.000,2.4725,0,6.6455
1.060,0.000,2.3883,0,6.6340
1.070,0.000,2.3056,0,6.6228
1.080,0.000,2.2244,0,6.6118
1.090,0.000,2.1446,0,6.6011
1.100,0.000,2.0663,0,6.5908
1.110,0.000,1.9893,0,6.5806
1.120,0.000,1.9185,0,6.5707
1.130,0.000,1.8685,0,6.5611
1.140,0.000,1.8318,0,6.5517
1.150,0.000,1.8524,0,6.5426
1.160,0.000,1.8724,0,6.5336
1.170,0.000,1.9940,0,6.5249
1.180,0.000,2.1286,0,6.5164
1.190,0.000,2.2605,0,6.5081
1.200,0.000,2.3973,0,6.5000
0.400,0.010,1.7978,1,9.5860
0.410,0.010,2.4403,1,9.4435
0.420,0.010,3.4992,1,9.3092
0.430,0.010,2.7505,1,9.1824
0.440,0.010,1.8253,1,9.0625
0.450,0.010,2.0246,1,8.9490
0.460,0.010,2.6455,1,8.8416
0.470,0.010,2.3681,1,8.7398
0.480,0.010,2.3667,1,8.6431
0.490,0.010,2.9554,1,8.5513
0.500,0.010,2.9629,1,8.4641
0.510,0.010,2.7160,1,8.3811
0.520,0.010,2.2423,1,8.3021
0.530,0.010,1.9294,1,8.2268
0.540,0.010,1.9479,1,8.1551
0.550,0.010,1.9660,1,8.0866
0.560,0.010,1.9836,0,8.0212
0.570,0.010,2.5483,0,7.9588
0.580,0.010,3.2853,0,7.8990
0.590,0.010,3.9134,0,7.8419
0.600,0.010,3.2573,0,7.7872
0.610,0.010,2.5601,0,7.7349
0.620,0.010,1.9554,0,7.6847
0.630,0.010,1.9325,0,7.6365
0.640,0.010,1.9184,0,7.5904
0.650,0.010,1.9046,0,7.5460
0.660,0.010,1.9121,0,7.5035
0.670,0.010,2.3847,0,7.4626
0.680,0.010,2.9912,0,7.4232
0.690,0.010,2.7835,0,7.3854
0.700,0.010,2.5491,0,7.3490
0.710,0.010,2.7003,0,7.3140
0.720,0.010,2.7733,0,7.2802
0.730,0.010,3.2261,0,7.2477
0.740,0.010,3.3721,0,7.2164
0.750,0.010,3.4927,0,7.1862
0.760,0.010,3.6084,0,7.1570
0.770,0.010,3.6205,0,7.1289
0.780,0.010,3.4789,0,7.1017
0.790,0.010,3.6259,0,7.0754
0.800,0.010,3.6506,0,7.0501
