eps_e,s_e,fitness,n_ghosts,n_sub_electron
250.0000,1.9500,1.0000,14,0
256.0438,1.9500,1.0000,14,0
262.2338,1.9500,1.0000,14,0
268.5734,1.9500,1.0000,14,1
275.0663,1.9500,1.0000,14,1
281.7161,1.9500,1.0000,14,0
288.5267,1.9500,1.0000,14,1
295.5019,1.9500,1.0000,14,0
302.6458,1.9500,1.0000,14,1
309.9624,1.9500,1.0000,14,0
317.4559,1.9500,1.0000,14,0
325.1305,1.9500,1.0000,14,0
332.9906,1.9500,1.0000,14,1
341.0408,1.9500,1.0000,14,1
349.2856,1.9500,1.0000,14,0
357.7297,1.9500,1.0000,14,1
366.3780,1.9500,1.0000,14,0
375.2353,1.9500,1.0000,14,0
384.3068,1.9500,1.0000,14,1
393.5975,1.9500,1.0000,14,0
403.1129,1.9500,1.0000,14,0
412.8583,1.9500,1.0000,14,0
422.8393,1.9500,1.0000,14,1
433.0616,1.9500,1.0000,14,0
443.5310,1.9500,1.0000,14,1
454.2536,1.9500,1.0000,14,1
465.2353,1.9500,1.0000,14,1
476.4826,1.9500,1.0000,14,1
488.0017,1.9500,1.0000,14,0
499.7993,1.9500,1.0000,14,1
511.8822,1.9500,1.0000,14,1
524.2571,1.9500,1.0000,14,0
536.9313,1.9500,1.0000,14,1
549.9118,1.9500,1.0000,14,1
563.2061,1.9500,1.0000,14,1
576.8218,1.9500,1.0000,14,1
590.7667,1.9500,1.0000,14,0
605.0487,1.9500,1.0000,14,1
619.6760,1.9500,1.0000,14,0
634.6569,1.9500,1.0000,14,1
650.0000,1.9500,1.0000,14,0
250.0000,1.9520,1.9634,13,1
256.0438,1.9520,1.9715,13,0
262.2338,1.9520,1.9791,13,0
268.5734,1.9520,1.9865,13,1
275.0663,1.9520,1.9934,13,1
281.7161,1.9520,1.9999,13,0
288.5267,1.9520,1.9936,13,1
295.5019,1.9520,1.9875,13,1
302.6458,1.9520,1.9817,13,0
309.9624,1.9520,1.9762,13,1
317.4559,1.9520,1.9710,13,1
325.1305,1.9520,1.9660,13,1
332.9906,1.9520,1.9612,13,0
341.0408,1.9520,1.9567,13,0
349.2856,1.9520,1.9523,13,1
357.7297,1.9520,1.9482,13,0
366.3780,1.9520,1.9442,13,0
375.2353,1.9520,1.9405,13,1
384.3068,1.9520,1.9369,13,1
393.5975,1.9520,1.9335,13,1
403.1129,1.9520,1.9302,13,0
412.8583,1.9520,1.9271,13,1
422.8393,1.9520,1.9241,13,0
433.0616,1.9520,1.9213,13,1
443.5310,1.9520,1.9186,13,0
454.2536,1.9520,1.9160,13,0
465.2353,1.9520,1.9136,13,1
476.4826,1.9520,1.9112,13,0
488.0017,1.9520,1.9090,13,1
499.7993,1.9520,1.9069,13,1
511.8822,1.9520,1.9048,13,1
524.2571,1.9520,1.9029,13,0
536.9313,1.9520,1.9011,13,0
549.9118,1.9520,1.8993,13,1
563.2061,1.9520,1.8976,13,1
576.8218,1.9520,1.8960,13,1
590.7667,1.9520,1.8945,13,1
605.0487,1.9520,1.8931,13,0
619.6760,1.9520,1.8917,13,0
634.6569,1.9520,1.8904,13,1
650.0000,1.9520,1.8891,13,1
250.0000,1.9540,1.0000,13,0
256.0438,1.9540,1.0000,13,0
262.2338,1.9540,1.0000,13,0
268.5734,1.9540,1.0000,13,0
275.0663,1.9540,1.0000,13,0
281.7161,1.9540,1.0000,13,0
288.5267,1.9540,1.0000,13,1
295.5019,1.9540,1.0000,13,1
302.6458,1.9540,1.0000,13,0
309.9624,1.9540,1.0000,13,0
317.4559,1.9540,1.0000,13,1
325.1305,1.9540,1.0000,13,0
332.9906,1.9540,1.0000,13,0
341.0408,1.9540,1.0000,13,1
349.2856,1.9540,1.0000,13,0
357.7297,1.9540,1.0000,13,0
366.3780,1.9540,1.0000,13,1
375.2353,1.9540,1.0000,13,1
384.3068,1.9540,1.0000,13,1
393.5975,1.9540,1.0000,13,1
403.1129,1.9540,1.0000,13,1
412.8583,1.9540,1.0000,13,0
422.8393,1.9540,1.0000,13,1
433.0616,1.9540,1.0000,13,1
443.5310,1.9540,1.0000,13,0
454.2536,1.9540,1.0000,13,1
465.2353,1.9540,1.0000,13,0
476.4826,1.9540,1.0000,13,0
488.0017,1.9540,1.0000,13,1
499.7993,1.9540,1.0000,13,1
511.8822,1.9540,1.0000,13,1
