rank,eps_e,s_e,fitness,mode_tup,mass_MeV,dark_type,Q132_Q
1,357.7297,2.0040,2.671,"(+0,-1)",104.713,ring-only,0
1,357.7297,2.0040,2.671,"(+0,-2)",209.426,ring-only,0
1,357.7297,2.0040,2.671,"(-1,+0)",209.845,tube-only,0
1,357.7297,2.0040,2.671,"(+0,-3)",314.139,ring-only,0
1,357.7297,2.0040,2.671,"(+0,-4)",418.852,ring-only,0
1,357.7297,2.0040,2.671,"(+0,-5)",523.566,ring-only,0
1,357.7297,2.0040,2.671,"(+0,-6)",628.279,ring-only,0
1,357.7297,2.0040,2.671,"(+0,-7)",732.992,ring-only,0
1,357.7297,2.0040,2.671,"(+0,-8)",837.705,ring-only,0
1,357.7297,2.0040,2.671,"(+0,-10)",1047.131,ring-only,0
1,357.7297,2.0040,2.671,"(+0,-11)",1151.844,ring-only,0
1,357.7297,2.0040,2.671,"(+0,-12)",1256.557,ring-only,0
1,357.7297,2.0040,2.671,"(+0,-13)",1361.271,ring-only,0
1,357.7297,2.0040,2.671,"(+0,-14)",1465.984,ring-only,0
1,357.7297,2.0040,2.671,"(+0,-15)",1570.697,ring-only,0
1,357.7297,2.0040,2.671,"(+0,-16)",1675.410,ring-only,0
1,357.7297,2.0040,2.671,"(+0,-17)",1780.123,ring-only,0
1,357.7297,2.0040,2.671,"(+0,-18)",1884.836,ring-only,0
1,357.7297,2.0040,2.671,"(+0,-19)",1989.549,ring-only,0
1,357.7297,2.0040,2.671,"(+0,-20)",2094.262,ring-only,0
1,357.7297,2.0040,2.671,"(+0,-21)",2198.976,ring-only,0
1,357.7297,2.0040,2.671,"(+0,-22)",2303.689,ring-only,0
1,357.7297,2.0040,2.671,"(+0,-23)",2408.402,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-1)",104.713,ring-only,0
2,357.7297,1.9960,2.671,"(-1,+0)",209.008,tube-only,0
2,357.7297,1.9960,2.671,"(+0,-2)",209.426,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-3)",314.139,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-4)",418.852,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-5)",523.566,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-6)",628.279,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-7)",732.992,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-8)",837.705,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-10)",1047.131,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-11)",1151.844,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-12)",1256.557,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-13)",1361.271,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-14)",1465.984,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-15)",1570.697,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-16)",1675.410,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-17)",1780.123,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-18)",1884.836,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-19)",1989.549,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-20)",2094.262,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-21)",2198.976,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-22)",2303.689,ring-only,0
2,357.7297,1.9960,2.671,"(+0,-23)",2408.402,ring-only,0
3,366.3780,2.0040,2.396,"(+0,-1)",105.524,ring-only,0
3,366.3780,2.0040,2.396,"(+0,-2)",211.048,ring-only,0
3,366.3780,2.0040,2.396,"(-1,+0)",211.470,tube-only,0
3,366.3780,2.0040,2.396,"(+0,-3)",316.572,ring-only,0
3,366.3780,2.0040,2.396,"(+0,-4)",422.096,ring-only,0
3,366.3780,2.0040,2.396,"(+0,-5)",527.620,ring-only,0
3,366.3780,2.0040,2.396,"(+0,-6)",633.144,ring-only,0
3,366.3780,2.0040,2.396,"(+0,-7)",738.668,ring-only,0
3,366.3780,2.0040,2.396,"(+0,-8)",844.191,ring-only,0
3,366.3780,2.0040,2.396,"(+0,-10)",1055.239,ring-only,0
3,366.3780,2.0040,2.396,"(+0,-11)",1160.763,ring-only,0
3,366.3780,2.0040,2.396,"(+0,-12)",1266.287,ring-only,0
