rank,eps_e,s_e,fitness,mode,primitive,k,mass_MeV,category
1,357.7297,2.0040,2.671,"(-4,-9)","(-4,-9)",1,103.044,dark-massive
1,357.7297,2.0040,2.671,"(-3,-7)","(-3,-7)",1,103.460,dark-massive
1,357.7297,2.0040,2.671,"(-2,-5)","(-2,-5)",1,103.877,dark-massive
1,357.7297,2.0040,2.671,"(+0,-1)","(+0,-1)",1,104.713,ring-only
1,357.7297,2.0040,2.671,"(-2,-3)","(-2,-3)",1,105.552,dark-massive
1,357.7297,2.0040,2.671,"(-3,-5)","(-3,-5)",1,105.973,dark-massive
1,357.7297,2.0040,2.671,"(-4,-7)","(-4,-7)",1,106.395,dark-massive
1,357.7297,2.0040,2.671,"(-4,-10)","(-2,-5)",2,207.754,dark-massive
1,357.7297,2.0040,2.671,"(-3,-8)","(-3,-8)",1,208.172,dark-massive
1,357.7297,2.0040,2.671,"(+0,-2)","(+0,-1)",2,209.426,ring-only
1,357.7297,2.0040,2.671,"(-1,+0)","(-1,+0)",1,209.845,tube-only
1,357.7297,2.0040,2.671,"(-3,-4)","(-3,-4)",1,210.685,dark-massive
1,357.7297,2.0040,2.671,"(-4,-6)","(-2,-3)",2,211.105,dark-massive
1,357.7297,2.0040,2.671,"(-4,-11)","(-4,-11)",1,312.466,dark-massive
1,357.7297,2.0040,2.671,"(-2,-7)","(-2,-7)",1,313.302,dark-massive
1,357.7297,2.0040,2.671,"(+0,-3)","(+0,-1)",3,314.139,ring-only
1,357.7297,2.0040,2.671,"(-2,-1)","(-2,-1)",1,314.978,dark-massive
1,357.7297,2.0040,2.671,"(-4,-5)","(-4,-5)",1,315.817,dark-massive
1,357.7297,2.0040,2.671,"(-3,-10)","(-3,-10)",1,417.597,dark-massive
1,357.7297,2.0040,2.671,"(+0,-4)","(+0,-1)",4,418.852,ring-only
1,357.7297,2.0040,2.671,"(-2,+0)","(-1,+0)",2,419.691,tube-only
1,357.7297,2.0040,2.671,"(-3,-2)","(-3,-2)",1,420.110,dark-massive
1,357.7297,2.0040,2.671,"(-4,-13)","(-4,-13)",1,521.892,dark-massive
1,357.7297,2.0040,2.671,"(-3,-11)","(-3,-11)",1,522.310,dark-massive
1,357.7297,2.0040,2.671,"(-2,-9)","(-2,-9)",1,522.728,dark-massive
1,357.7297,2.0040,2.671,"(+0,-5)","(+0,-1)",5,523.566,ring-only
1,357.7297,2.0040,2.671,"(-2,+1)","(-2,+1)",1,524.404,dark-massive
1,357.7297,2.0040,2.671,"(-3,-1)","(-3,-1)",1,524.823,dark-massive
1,357.7297,2.0040,2.671,"(-4,-3)","(-4,-3)",1,525.242,dark-massive
1,357.7297,2.0040,2.671,"(-4,-14)","(-2,-7)",2,626.604,dark-massive
