eps_e,s_e,fitness_q132,n_ghosts,n_dark,n_gap
250.0000,1.9500,1.0000,0,27,51
256.0438,1.9500,1.0000,0,27,51
262.2338,1.9500,1.0000,0,27,51
268.5734,1.9500,1.0000,0,27,51
275.0663,1.9500,1.0000,0,27,51
281.7161,1.9500,1.0000,0,27,51
288.5267,1.9500,1.0000,0,27,51
295.5019,1.9500,1.0000,0,27,51
302.6458,1.9500,1.0000,0,27,51
309.9624,1.9500,1.0000,0,27,51
317.4559,1.9500,1.0000,0,27,51
325.1305,1.9500,1.0000,0,27,51
332.9906,1.9500,1.0000,0,27,51
341.0408,1.9500,1.0000,0,27,51
349.2856,1.9500,1.0000,0,27,51
357.7297,1.9500,1.0000,0,27,51
366.3780,1.9500,1.0000,0,27,51
375.2353,1.9500,1.0000,0,27,51
384.3068,1.9500,1.0000,0,27,51
393.5975,1.9500,1.0000,0,27,51
403.1129,1.9500,1.0000,0,27,51
412.8583,1.9500,1.0000,0,27,51
422.8393,1.9500,1.0000,0,27,51
433.0616,1.9500,1.0000,0,27,51
443.5310,1.9500,1.0000,0,27,51
454.2536,1.9500,1.0000,0,27,51
465.2353,1.9500,1.0000,0,27,51
476.4826,1.9500,1.0000,0,27,51
488.0017,1.9500,1.0000,0,27,51
499.7993,1.9500,1.0000,0,27,51
511.8822,1.9500,1.0000,0,27,51
524.2571,1.9500,1.0000,0,27,51
536.9313,1.9500,1.0000,0,27,51
549.9118,1.9500,1.0000,0,27,51
563.2061,1.9500,1.0000,0,27,51
576.8218,1.9500,1.0000,0,27,51
590.7667,1.9500,1.0000,0,27,51
605.0487,1.9500,1.0000,0,27,51
619.6760,1.9500,1.0000,0,27,51
634.6569,1.9500,1.0000,0,27,51
650.0000,1.9500,1.0000,0,27,51
250.0000,1.9520,1.9634,0,27,50
256.0438,1.9520,1.9715,0,27,50
262.2338,1.9520,1.9791,0,27,50
268.5734,1.9520,1.9865,0,27,50
275.0663,1.9520,1.9934,0,27,50
281.7161,1.9520,1.9999,0,27,50
288.5267,1.9520,1.9936,0,27,50
295.5019,1.9520,1.9875,0,27,50
302.6458,1.9520,1.9817,0,27,50
309.9624,1.9520,1.9762,0,27,50
317.4559,1.9520,1.9710,0,27,50
325.1305,1.9520,1.9660,0,27,50
332.9906,1.9520,1.9612,0,27,50
341.0408,1.9520,1.9567,0,27,50
349.2856,1.9520,1.9523,0,27,50
357.7297,1.9520,1.9482,0,27,50
366.3780,1.9520,1.9442,0,27,50
375.2353,1.9520,1.9405,0,27,50
384.3068,1.9520,1.9369,0,27,50
393.5975,1.9520,1.9335,0,27,50
403.1129,1.9520,1.9302,0,27,50
412.8583,1.9520,1.9271,0,27,50
422.8393,1.9520,1.9241,0,27,50
433.0616,1.9520,1.9213,0,27,50
443.5310,1.9520,1.9186,0,27,50
454.2536,1.9520,1.9160,0,27,50
465.2353,1.9520,1.9136,0,27,50
476.4826,1.9520,1.9112,0,27,50
488.0017,1.9520,1.9090,0,27,50
499.7993,1.9520,1.9069,0,27,50
511.8822,1.9520,1.9048,0,27,50
524.2571,1.9520,1.9029,0,27,50
536.9313,1.9520,1.9011,0,27,50
549.9118,1.9520,1.8993,0,27,50
563.2061,1.9520,1.8976,0,27,50
576.8218,1.9520,1.8960,0,27,50
590.7667,1.9520,1.8945,0,27,50
605.0487,1.9520,1.8931,0,27,50
619.6760,1.9520,1.8917,0,27,50
634.6569,1.9520,1.8904,0,27,50
650.0000,1.9520,1.8891,0,27,50
250.0000,1.9540,1.0000,0,28,51
