particle,n_et,n_er,n_nut,n_nur,n_pt,n_pr,e_sheet_status,e_sheet_detail,nu_sheet_status,nu_sheet_detail,p_sheet_status,p_sheet_detail,verdict
electron,1,2,0,0,0,0,charged,"Q=-1, n_r=2",null,no activity,null,no activity,compatible
proton,0,0,0,0,3,6,null,no activity,null,no activity,z3-baryon,1-baryon (|n_pt|=3); Z3 binds 3 events per baryon,baryon (Z3-composite)
nu_1,0,0,1,1,0,0,null,no activity,charged,"Q=-1, n_r=1",null,no activity,compatible
muon,1,1,-2,-6,0,0,charged,"Q=-1, n_r=1",nu-paired?,|n_nut|=2 even; pending R60 T18 pairing interpretation,null,no activity,conditional (nu pairing)
tau,-5,-1,-2,-6,-6,5,forbidden,"|n_et|=5, no known binding mechanism on e-sheet",nu-paired?,|n_nut|=2 even; pending R60 T18 pairing interpretation,z3-baryon,2-baryon (|n_pt|=6); Z3 binds 3 events per baryon,incompatible
neutron,-3,-6,1,-6,-3,-6,forbidden,"|n_et|=3, no known binding mechanism on e-sheet",charged,"Q=-1, n_r=-6",z3-baryon,1-baryon (|n_pt|=3); Z3 binds 3 events per baryon,incompatible
Lambda,-3,2,1,-6,-3,-3,forbidden,"|n_et|=3, no known binding mechanism on e-sheet",charged,"Q=-1, n_r=-6",z3-baryon,1-baryon (|n_pt|=3); Z3 binds 3 events per baryon,incompatible
eta_prime,0,-6,-1,-6,0,-6,ring-only,"neutral, n_r=-6",charged,"Q=1, n_r=-6",ring-only,"neutral, n_r=-6",compatible
Sigma_-,4,0,-2,-6,3,5,forbidden,"|n_et|=4, no known binding mechanism on e-sheet",nu-paired?,|n_nut|=2 even; pending R60 T18 pairing interpretation,z3-baryon,1-baryon (|n_pt|=3); Z3 binds 3 events per baryon,incompatible
Sigma_+,2,-3,-2,-6,3,6,forbidden,"|n_et|=2, no known binding mechanism on e-sheet",nu-paired?,|n_nut|=2 even; pending R60 T18 pairing interpretation,z3-baryon,1-baryon (|n_pt|=3); Z3 binds 3 events per baryon,incompatible
Xi_-,-2,4,0,-6,-3,6,forbidden,"|n_et|=2, no known binding mechanism on e-sheet",ring-only,"neutral, n_r=-6",z3-baryon,1-baryon (|n_pt|=3); Z3 binds 3 events per baryon,incompatible
phi,-3,-6,1,-6,-3,6,forbidden,"|n_et|=3, no known binding mechanism on e-sheet",charged,"Q=-1, n_r=-6",z3-baryon,1-baryon (|n_pt|=3); Z3 binds 3 events per baryon,incompatible
Xi_0,-3,2,1,-6,-3,6,forbidden,"|n_et|=3, no known binding mechanism on e-sheet",charged,"Q=-1, n_r=-6",z3-baryon,1-baryon (|n_pt|=3); Z3 binds 3 events per baryon,incompatible
rho,-3,-6,1,-6,-3,3,forbidden,"|n_et|=3, no known binding mechanism on e-sheet",charged,"Q=-1, n_r=-6",z3-baryon,1-baryon (|n_pt|=3); Z3 binds 3 events per baryon,incompatible
K0,0,-1,-1,-6,0,-4,ring-only,"neutral, n_r=-1",charged,"Q=1, n_r=-6",ring-only,"neutral, n_r=-4",compatible
K_pm,1,3,-2,-6,0,-4,charged,"Q=-1, n_r=3",nu-paired?,|n_nut|=2 even; pending R60 T18 pairing interpretation,ring-only,"neutral, n_r=-4",conditional (nu pairing)
eta,0,-4,-1,-6,0,-3,ring-only,"neutral, n_r=-4",charged,"Q=1, n_r=-6",ring-only,"neutral, n_r=-3",compatible
pi0,0,0,-1,-6,0,-1,null,no activity,charged,"Q=1, n_r=-6",ring-only,"neutral, n_r=-1",compatible
pi_pm,1,2,-2,-6,0,-1,charged,"Q=-1, n_r=2",nu-paired?,|n_nut|=2 even; pending R60 T18 pairing interpretation,ring-only,"neutral, n_r=-1",conditional (nu pairing)
