particle,n_et,n_er,n_nut,n_nur,n_pt,n_pr,e_category,e_k,e_p_t,e_p_r,nu_category,nu_k,nu_p_t,nu_p_r,p_category,p_k,p_p_t,p_p_r,Q_e,Q_nu,Q_p,Q_predicted,absQ_observed,verdict
electron,1,2,0,0,0,0,bright,1,1,2,null,0,0,0,null,0,0,0,-1,0,0,-1,1,pass
proton,0,0,0,0,3,6,null,0,0,0,null,0,0,0,bright,3,1,2,0,0,1,1,1,pass
nu_1,0,0,1,1,0,0,null,0,0,0,bright,1,1,1,null,0,0,0,0,0,0,0,0,pass
muon,1,1,-2,-6,0,0,bright,1,1,1,bright,2,-1,-3,null,0,0,0,-1,0,0,-1,1,pass
tau,-5,-1,-2,-6,-6,5,dark-massive,1,-5,-1,bright,2,-1,-3,dark-massive,1,-6,5,0,0,0,0,1,re-derive
neutron,-3,-6,1,-6,-3,-6,bright,3,-1,-2,bright,1,1,-6,bright,3,-1,-2,1,0,-1,0,0,pass
Lambda,-3,2,1,-6,-3,-3,dark-massive,1,-3,2,bright,1,1,-6,bright,3,-1,-1,0,0,-1,-1,0,re-derive
eta_prime,0,-6,-1,-6,0,-6,ring-only,6,0,-1,bright,1,-1,-6,ring-only,6,0,-1,0,0,0,0,0,pass
Sigma_-,4,0,-2,-6,3,5,tube-only,4,1,0,bright,2,-1,-3,dark-massive,1,3,5,0,0,0,0,1,re-derive
Sigma_+,2,-3,-2,-6,3,6,dark-massive,1,2,-3,bright,2,-1,-3,bright,3,1,2,0,0,1,1,1,pass
Xi_-,-2,4,0,-6,-3,6,bright,2,-1,2,ring-only,6,0,-1,bright,3,-1,2,1,0,-1,0,1,re-derive
phi,-3,-6,1,-6,-3,6,bright,3,-1,-2,bright,1,1,-6,bright,3,-1,2,1,0,-1,0,0,pass
Xi_0,-3,2,1,-6,-3,6,dark-massive,1,-3,2,bright,1,1,-6,bright,3,-1,2,0,0,-1,-1,0,re-derive
rho,-3,-6,1,-6,-3,3,bright,3,-1,-2,bright,1,1,-6,bright,3,-1,1,1,0,-1,0,0,pass
K0,0,-1,-1,-6,0,-4,ring-only,1,0,-1,bright,1,-1,-6,ring-only,4,0,-1,0,0,0,0,0,pass
K_pm,1,3,-2,-6,0,-4,bright,1,1,3,bright,2,-1,-3,ring-only,4,0,-1,-1,0,0,-1,1,pass
eta,0,-4,-1,-6,0,-3,ring-only,4,0,-1,bright,1,-1,-6,ring-only,3,0,-1,0,0,0,0,0,pass
pi0,0,0,-1,-6,0,-1,null,0,0,0,bright,1,-1,-6,ring-only,1,0,-1,0,0,0,0,0,pass
pi_pm,1,2,-2,-6,0,-1,bright,1,1,2,bright,2,-1,-3,ring-only,1,0,-1,-1,0,0,-1,1,pass
