particle,rank,target_mass,absQ,envelope,tuple,E_pred,rel_error,Q_pred,e_cat,e_k,e_pt,e_pr,nu_cat,nu_k,p_cat,p_k,p_pt,p_pr
pi0,1,134.977,0,8,"(0,0,-8,-8,0,-1)",120.97420,1.037421e-01,0,null,0,0,0,bright,8,ring-only,1,0,-1
pi0,2,134.977,0,8,"(0,0,-8,-8,0,1)",120.97420,1.037421e-01,0,null,0,0,0,bright,8,ring-only,1,0,1
pi0,3,134.977,0,8,"(-3,-7,-8,-8,0,-1)",158.90439,1.772701e-01,0,dark-massive,1,-3,-7,bright,8,ring-only,1,0,-1
pi0,4,134.977,0,8,"(-3,-7,-8,-8,0,1)",158.90439,1.772701e-01,0,dark-massive,1,-3,-7,bright,8,ring-only,1,0,1
pi0,5,134.977,0,8,"(3,7,-8,-8,0,-1)",158.90439,1.772701e-01,0,dark-massive,1,3,7,bright,8,ring-only,1,0,-1
pi0,6,134.977,0,8,"(3,7,-8,-8,0,1)",158.90439,1.772701e-01,0,dark-massive,1,3,7,bright,8,ring-only,1,0,1
pi0,7,134.977,0,8,"(-2,-5,-8,-8,0,-1)",159.18781,1.793699e-01,0,dark-massive,1,-2,-5,bright,8,ring-only,1,0,-1
pi0,8,134.977,0,8,"(-2,-5,-8,-8,0,1)",159.18781,1.793699e-01,0,dark-massive,1,-2,-5,bright,8,ring-only,1,0,1
pi0,9,134.977,0,8,"(2,5,-8,-8,0,-1)",159.18781,1.793699e-01,0,dark-massive,1,2,5,bright,8,ring-only,1,0,-1
pi0,10,134.977,0,8,"(2,5,-8,-8,0,1)",159.18781,1.793699e-01,0,dark-massive,1,2,5,bright,8,ring-only,1,0,1
pi_pm,1,139.57,1,8,"(-4,-8,-8,-8,0,-1)",120.99146,1.331127e-01,1,bright,4,-1,-2,bright,8,ring-only,1,0,-1
pi_pm,2,139.57,1,8,"(-4,-8,-8,-8,0,1)",120.99146,1.331127e-01,1,bright,4,-1,-2,bright,8,ring-only,1,0,1
pi_pm,3,139.57,1,8,"(4,8,-8,-8,0,-1)",120.99146,1.331127e-01,-1,bright,4,1,2,bright,8,ring-only,1,0,-1
pi_pm,4,139.57,1,8,"(4,8,-8,-8,0,1)",120.99146,1.331127e-01,-1,bright,4,1,2,bright,8,ring-only,1,0,1
pi_pm,5,139.57,1,8,"(-3,-6,-8,-8,0,-1)",120.98391,1.331668e-01,1,bright,3,-1,-2,bright,8,ring-only,1,0,-1
pi_pm,6,139.57,1,8,"(-3,-6,-8,-8,0,1)",120.98391,1.331668e-01,1,bright,3,-1,-2,bright,8,ring-only,1,0,1
pi_pm,7,139.57,1,8,"(3,6,-8,-8,0,-1)",120.98391,1.331668e-01,-1,bright,3,1,2,bright,8,ring-only,1,0,-1
pi_pm,8,139.57,1,8,"(3,6,-8,-8,0,1)",120.98391,1.331668e-01,-1,bright,3,1,2,bright,8,ring-only,1,0,1
pi_pm,9,139.57,1,8,"(-2,-4,-8,-8,0,-1)",120.97852,1.332054e-01,1,bright,2,-1,-2,bright,8,ring-only,1,0,-1
pi_pm,10,139.57,1,8,"(-2,-4,-8,-8,0,1)",120.97852,1.332054e-01,1,bright,2,-1,-2,bright,8,ring-only,1,0,1
