particle,rank,target_mass,absQ_observed,tuple,E_pred,rel_error,Q_predicted,e_category,e_k,nu_category,nu_k,p_category,p_k
tau,1,1776.86,1,"(-6,-4,-6,-6,-6,6)",1776.0358,0.000464,-1,dark-massive,2,bright,6,bright,6
tau,2,1776.86,1,"(-6,-4,-6,-6,6,-6)",1776.0358,0.000464,1,dark-massive,2,bright,6,bright,6
tau,3,1776.86,1,"(6,4,-6,-6,-6,6)",1776.0358,0.000464,-1,dark-massive,2,bright,6,bright,6
tau,4,1776.86,1,"(6,4,-6,-6,6,-6)",1776.0358,0.000464,1,dark-massive,2,bright,6,bright,6
tau,5,1776.86,1,"(-5,-2,-6,-6,-6,6)",1775.8290,0.000580,-1,dark-massive,1,bright,6,bright,6
Lambda,1,1115.68,0,"(-2,5,-6,-6,0,-5)",1117.7808,0.001883,0,dark-massive,1,bright,6,ring-only,5
Lambda,2,1115.68,0,"(-2,5,-6,-6,0,5)",1117.7808,0.001883,0,dark-massive,1,bright,6,ring-only,5
Lambda,3,1115.68,0,"(2,-5,-6,-6,0,-5)",1117.7808,0.001883,0,dark-massive,1,bright,6,ring-only,5
Lambda,4,1115.68,0,"(2,-5,-6,-6,0,5)",1117.7808,0.001883,0,dark-massive,1,bright,6,ring-only,5
Lambda,5,1115.68,0,"(-4,1,-6,-6,0,-5)",1118.5184,0.002544,0,dark-massive,1,bright,6,ring-only,5
Sigma_-,1,1197.45,1,"(-2,4,-6,-6,-3,-5)",1196.6154,0.000697,1,bright,2,bright,6,dark-massive,1
Sigma_-,2,1197.45,1,"(-2,4,-6,-6,3,5)",1196.6154,0.000697,1,bright,2,bright,6,dark-massive,1
Sigma_-,3,1197.45,1,"(2,-4,-6,-6,-3,-5)",1196.6154,0.000697,-1,bright,2,bright,6,dark-massive,1
Sigma_-,4,1197.45,1,"(2,-4,-6,-6,3,5)",1196.6154,0.000697,-1,bright,2,bright,6,dark-massive,1
Sigma_-,5,1197.45,1,"(-1,6,-6,-6,-3,-5)",1196.3094,0.000953,1,bright,1,bright,6,dark-massive,1
Xi_-,1,1321.71,1,"(-3,2,-6,-6,-3,6)",1322.9189,0.000915,-1,dark-massive,1,bright,6,bright,3
Xi_-,2,1321.71,1,"(-3,2,-6,-6,3,-6)",1322.9189,0.000915,1,dark-massive,1,bright,6,bright,3
Xi_-,3,1321.71,1,"(3,-2,-6,-6,-3,6)",1322.9189,0.000915,-1,dark-massive,1,bright,6,bright,3
Xi_-,4,1321.71,1,"(3,-2,-6,-6,3,-6)",1322.9189,0.000915,1,dark-massive,1,bright,6,bright,3
Xi_-,5,1321.71,1,"(-4,0,-6,-6,-3,6)",1323.1961,0.001124,-1,tube-only,4,bright,6,bright,3
Xi_0,1,1314.86,0,"(0,0,-6,-6,-6,-1)",1319.7228,0.003698,0,null,0,bright,6,dark-massive,1
Xi_0,2,1314.86,0,"(0,0,-6,-6,6,1)",1319.7228,0.003698,0,null,0,bright,6,dark-massive,1
Xi_0,3,1314.86,0,"(-6,-2,-6,-6,-3,-4)",1307.8226,0.005352,0,dark-massive,2,bright,6,dark-massive,1
Xi_0,4,1314.86,0,"(-6,-2,-6,-6,3,4)",1307.8226,0.005352,0,dark-massive,2,bright,6,dark-massive,1
Xi_0,5,1314.86,0,"(6,2,-6,-6,-3,-4)",1307.8226,0.005352,0,dark-massive,2,bright,6,dark-massive,1
