sheet,eps,s,fitness
p,0.400000,0.000000,7.4980
p,0.420000,0.000000,7.6984
p,0.440000,0.000000,7.3183
p,0.460000,0.000000,7.0842
p,0.480000,0.000000,7.1519
p,0.500000,0.000000,7.5836
p,0.520000,0.000000,8.0679
p,0.540000,0.000000,8.0649
p,0.550000,0.000000,8.2902
p,0.560000,0.000000,8.5319
p,0.580000,0.000000,9.4467
p,0.600000,0.000000,10.7219
p,0.620000,0.000000,10.4348
p,0.640000,0.000000,8.3595
p,0.660000,0.000000,7.2653
p,0.680000,0.000000,6.9287
p,0.700000,0.000000,6.6868
p,0.720000,0.000000,6.4756
p,0.730000,0.000000,6.4368
p,0.740000,0.000000,6.3989
p,0.760000,0.000000,6.3255
p,0.780000,0.000000,6.2553
p,0.800000,0.000000,6.3108
p,0.800000,0.000000,6.3108
p,0.820000,0.000000,6.5824
p,0.840000,0.000000,6.8392
p,0.860000,0.000000,6.9242
p,0.880000,0.000000,6.6132
p,0.890000,0.000000,6.4679
p,0.900000,0.000000,6.3262
p,0.920000,0.000000,6.2755
p,0.940000,0.000000,6.3967
p,0.960000,0.000000,6.6100
p,0.980000,0.000000,6.8129
p,1.000000,0.000000,6.7909
p,1.020000,0.000000,6.5835
p,1.040000,0.000000,6.3856
p,1.060000,0.000000,6.1967
p,1.080000,0.000000,6.0162
p,1.100000,0.000000,5.8441
p,1.120000,0.000000,5.8344
p,1.140000,0.000000,5.8251
p,1.160000,0.000000,5.8161
p,1.180000,0.000000,5.8073
p,1.200000,0.000000,5.7990
p,0.400000,0.010000,7.3552
p,0.420000,0.010000,7.8248
p,0.440000,0.010000,7.4711
p,0.460000,0.010000,7.0926
p,0.480000,0.010000,7.1612
p,0.500000,0.010000,7.4873
p,0.520000,0.010000,8.2708
p,0.540000,0.010000,8.1673
p,0.550000,0.010000,8.3953
p,0.560000,0.010000,8.7157
p,0.580000,0.010000,9.6538
p,0.600000,0.010000,11.0067
p,0.620000,0.010000,9.9553
p,0.640000,0.010000,8.0118
p,0.660000,0.010000,7.1448
p,0.680000,0.010000,6.8889
p,0.700000,0.010000,6.6448
p,0.720000,0.010000,6.4865
p,0.730000,0.010000,6.4477
p,0.740000,0.010000,6.4096
p,0.760000,0.010000,6.3360
p,0.780000,0.010000,6.2656
p,0.800000,0.010000,6.4981
p,0.800000,0.010000,6.4981
p,0.820000,0.010000,6.7731
p,0.840000,0.010000,7.0333
p,0.860000,0.010000,6.7460
p,0.880000,0.010000,6.4392
p,0.890000,0.010000,6.3206
p,0.900000,0.010000,6.3089
p,0.920000,0.010000,6.3803
p,0.940000,0.010000,6.6076
p,0.960000,0.010000,6.8237
p,0.980000,0.010000,6.8276
p,1.000000,0.010000,6.6078
p,1.020000,0.010000,6.3982
p,1.040000,0.010000,6.1981
p,1.060000,0.010000,6.0071
p,1.080000,0.010000,5.8728
p,1.100000,0.010000,5.8628
p,1.120000,0.010000,5.8533
p,1.140000,0.010000,5.8440
