name,Z,A,atomic_u,m_obs,B,B_rel,m_pred,miss,miss_rel,B_per_A
1H,1,1,1.00782503,938.2720722929731,-7.229297307276283e-05,-7.70490513440216e-08,938.272,-7.229297307276283e-05,-7.70490513440216e-08,-7.229297307276283e-05
2H,1,2,2.01410178,1875.6129298977014,2.224070102298583,0.0011857830935404605,1876.544,0.9310701022986905,0.0004964084473172577,1.1120350511492916
3He,2,3,3.01602932,2808.3915250390705,7.717474960929849,0.002748005358983015,2822.574026506936,14.182501467865677,0.005050044248252875,2.572491653643283
4He,2,4,4.00260325,3727.3793220210314,28.294677978968593,0.007591037974537796,3758.9100224665635,31.530700445532148,0.008459214295484102,7.073669494742148
6Li,3,6,6.01512289,5601.518497840194,31.992502159806463,0.005711398109662938,5645.148053013872,43.629555173678455,0.0077888799600502835,5.332083693301077
7Li,3,7,7.01600344,6533.832826971711,39.243173028289675,0.006006148927822818,6581.208326609811,47.37549963809943,0.0072507976394089865,5.606167575469954
9Be,4,9,9.01218307,8392.751379849253,58.161620150747694,0.006929982495417655,8467.722079520809,74.97069967155585,0.008932791676822248,6.462402238971966
10B,5,10,10.01293695,9324.436717622868,64.74828237713336,0.006943934989098195,9419.936036857644,95.49931923477561,0.010241832523168412,6.474828237713337
11B,5,11,11.00930516,10252.547828658166,76.2021713418344,0.007432510690545844,10354.836367811578,102.28853915341278,0.009976889731496148,6.927470121984945
12C,6,12,12.0,11174.863229999999,92.15877000000182,0.008246970732723843,11307.714240866077,132.85101086607756,0.011888379135542903,7.679897500000152
13C,6,13,13.00335484,12109.482345673154,97.10465432684578,0.008018893917587014,12242.27348177966,132.7911361065071,0.010965880482410116,7.469588794372752
14N,7,14,14.003074,13040.203847869547,104.65515213045364,0.008025576390629181,13195.602016507804,155.39816863825763,0.01191685118201936,7.475368009318117
16O,8,16,15.99491462,14895.08063852357,127.61536147642983,0.008567618032652645,15083.558221236373,188.47758271280327,0.012653679915323074,7.975960092276864
19F,9,19,18.99840316,17692.30149995816,147.79650004184077,0.008353718143577323,17905.500838026874,213.19933806871268,0.012050401586770204,7.778763160096883
20Ne,10,20,19.99244018,18617.730122257817,160.6398777421855,0.00862832776537768,18859.593715541752,241.8635932839352,0.012991035518061522,8.031993887109275
24Mg,12,24,23.9850417,22335.792891774054,198.25110822594797,0.008875937791264216,22635.724880345868,299.93198857181414,0.013428311680051203,8.260462842747833
28Si,14,28,27.97692653,26053.188068782325,236.52993121767577,0.009078732729108599,26411.910681426452,358.72261264412737,0.013768856682609184,8.44749754348842
32S,16,32,31.97207117,29773.619739579237,271.7722604207629,0.009127954974835841,30188.130615692673,414.5108761134361,0.013922085380918955,8.49288313814884
40Ca,20,40,39.96259086,37214.69770672911,342.04229327089706,0.00919105392085583,37740.6319004818,525.9341937526915,0.014132432242156647,8.551057331772427
48Ti,22,48,47.94794198,44651.983179408206,418.69082059179345,0.009376757554295545,45250.67466370911,598.6914843009072,0.013407948352381377,8.722725428995696
52Cr,24,52,51.94050623,48370.01123213925,456.3367678607465,0.00943429112866394,49026.66598683759,656.6547546983347,0.013575658511776884,8.775707074245124
56Fe,26,56,55.93493633,52089.77731314053,492.2446868594707,0.009449928800814697,52802.70463991935,712.927326778823,0.013686511318584099,8.790083693919119
