name,Z,A,category,atomic_u,m_obs,B,B_rel,m_pred,miss,miss_rel,B_per_A
59Co,27,59,stable,58.933194,54882.12565002179,517.2983499782058,0.00942562526234806,55624.44024652361,742.3145965018193,0.013525616723293306,8.767768643698403
58Ni,28,58,stable,57.935343,53952.122329846985,506.44367015302123,0.00938690913875042,54711.9260343254,759.8037044784141,0.014082925224576036,8.7317874164314
63Cu,29,63,stable,62.929598,58603.73040723099,551.3675927690128,0.009408404361593008,59400.46006450514,796.729657274147,0.013595203782041838,8.751866551889092
64Zn,30,64,stable,63.929142,59534.28874892048,559.0812510795222,0.00939091173890374,60354.88840207068,820.5996531502024,0.013783647548238864,8.735644548117534
75As,33,75,stable,74.921595,69772.1608879327,652.5451120673097,0.00935251400792102,70687.89046170295,915.7295737702516,0.013124569486117633,8.700601494230796
80Se,34,80,stable,79.916522,74424.39492935325,696.8430706467625,0.009363100248355866,75378.34737140984,953.9524420565867,0.012817738632099304,8.71053838308453
85Rb,37,85,stable,84.91179,79075.92461226258,739.2593877374311,0.009348728976136329,80107.68213649443,1031.7575242318562,0.013047682076320078,8.69716926749919
89Y,39,89,stable,88.905842,82795.3384953439,775.519504656113,0.009366704922641573,83883.49149404977,1088.1529987058748,0.013142684340460405,8.713702299506888
93Nb,41,93,stable,92.906373,86520.78752871206,805.7444712879515,0.009312726967730892,87659.34503762017,1138.5575089081103,0.013159352121364803,8.663919046107004
98Mo,42,98,stable,97.905405,91176.84535342132,846.2186465786799,0.009281069588430616,92349.56258456758,1172.7172311462637,0.012862007087441512,8.63488414876204
107Ag,47,107,stable,106.905092,99557.44571876738,915.238281232625,0.009193067124462146,100854.94639405457,1297.500675287185,0.013032683451445717,8.553628796566588
113Cd,48,113,stable,112.904408,105145.26218980162,963.5188101983949,0.009163692116332464,106479.36563401976,1334.1034442181408,0.012688193613611435,8.52671513449907
120Sn,50,120,stable,119.902203,111662.64496130671,1020.5050386932999,0.009139180242837028,113057.99559608442,1395.3506347777147,0.012496127377792555,8.504208655777498
127I,53,127,stable,126.904472,118183.68423842415,1072.5417615758488,0.009075210072247363,119655.73427066093,1472.050032236788,0.012455611294593502,8.445210721069676
133Cs,55,133,stable,132.905452,123772.5397166441,1118.4902833559026,0.009036659390818783,125300.11711124712,1527.577394603024,0.012341811827568128,8.409701378615809
138Ba,56,138,stable,137.905247,128429.30827135319,1158.2537286468141,0.00901860910283489,129991.40973240278,1562.1014610495913,0.01216312290454052,8.393142961208799
140Ce,58,140,stable,139.905444,130291.45798169127,1172.648018308726,0.009000191082929689,131897.84026035367,1606.3822786623932,0.012329145007250776,8.376057273633757
159Tb,65,159,stable,158.925354,148004.81497426212,1301.975025737891,0.008796842359245563,149784.43466490222,1779.619690640102,0.012024066182911521,8.188522174452144
175Lu,71,175,stable,174.940777,162920.02104579724,1412.0509542027721,0.008667141982542715,164848.88064500876,1928.8595992115152,0.011839303646230856,8.068862595444411
181Ta,73,181,stable,180.947996,168514.68811571956,1452.187884280429,0.0086175745302582,170493.43412275662,1978.746007037058,0.011742276172853531,8.023137482212315
