name,Z,A,category,atomic_u,m_obs,B,B_rel,m_pred,miss,miss_rel,B_per_A
1H,1,1,stable,1.00782503,938.2720722929731,-7.229297307276283e-05,-7.70490513440216e-08,938.272,-7.229297307276283e-05,-7.70490513440216e-08,-7.229297307276283e-05
2H,1,2,stable,2.01410178,1875.6129298977014,2.224070102298583,0.0011857830935404605,1876.544,0.9310701022986905,0.0004964084473172577,1.1120350511492916
3He,2,3,stable,3.01602932,2808.3915250390705,7.717474960929849,0.002748005358983015,2822.574026506936,14.182501467865677,0.005050044248252875,2.572491653643283
4He,2,4,stable,4.00260325,3727.3793220210314,28.294677978968593,0.007591037974537796,3758.9100224665635,31.530700445532148,0.008459214295484102,7.073669494742148
6Li,3,6,stable,6.01512289,5601.518497840194,31.992502159806463,0.005711398109662938,5645.148053013872,43.629555173678455,0.0077888799600502835,5.332083693301077
7Li,3,7,stable,7.01600344,6533.832826971711,39.243173028289675,0.006006148927822818,6581.208326609811,47.37549963809943,0.0072507976394089865,5.606167575469954
9Be,4,9,stable,9.01218307,8392.751379849253,58.161620150747694,0.006929982495417655,8467.722079520809,74.97069967155585,0.008932791676822248,6.462402238971966
10B,5,10,stable,10.01293695,9324.436717622868,64.74828237713336,0.006943934989098195,9419.936036857644,95.49931923477561,0.010241832523168412,6.474828237713337
11B,5,11,stable,11.00930516,10252.547828658166,76.2021713418344,0.007432510690545844,10354.836367811578,102.28853915341278,0.009976889731496148,6.927470121984945
12C,6,12,stable,12.0,11174.863229999999,92.15877000000182,0.008246970732723843,11307.714240866077,132.85101086607756,0.011888379135542903,7.679897500000152
13C,6,13,stable,13.00335484,12109.482345673154,97.10465432684578,0.008018893917587014,12242.27348177966,132.7911361065071,0.010965880482410116,7.469588794372752
14N,7,14,stable,14.003074,13040.203847869547,104.65515213045364,0.008025576390629181,13195.602016507804,155.39816863825763,0.01191685118201936,7.475368009318117
16O,8,16,stable,15.99491462,14895.08063852357,127.61536147642983,0.008567618032652645,15083.558221236373,188.47758271280327,0.012653679915323074,7.975960092276864
19F,9,19,stable,18.99840316,17692.30149995816,147.79650004184077,0.008353718143577323,17905.500838026874,213.19933806871268,0.012050401586770204,7.778763160096883
