name,Z,A,m_obs,B,m_Ascale,miss_Ascale,tup_additive,m_additive,miss_additive,Q_ingredient_sum,Q_v2_on_composite,Z_observed
1H,1,1,938.2720722929731,-7.229297307276283e-05,938.272,-7.70490513440216e-06,"(0,0,0,0,3,6)",938.272,-7.70490513440216e-06,1,1,1
2H,1,2,1875.6129298977014,2.224070102298583,1876.544,0.049640844731725774,"(1,2,1,1,6,12)",1876.5440695747004,0.049644554169809195,1,0,1
3He,2,3,2808.3915250390705,7.717474960929849,2822.574026506936,0.5050044248252875,"(1,2,1,1,9,18)",2814.816046383134,0.2287615984731402,2,0,2
4He,2,4,3727.3793220210314,28.294677978968593,3758.9100224665635,0.8459214295484102,"(2,4,2,2,12,24)",3753.088139149401,0.6897290269461979,2,0,2
6Li,3,6,5601.518497840194,31.992502159806463,5645.148053013872,0.7788879960050283,"(3,6,3,3,18,36)",5629.632208724101,0.501894457632275,3,0,3
7Li,3,7,6533.832826971711,39.243173028289675,6581.208326609811,0.7250797639408987,"(4,8,4,4,21,42)",6567.904318055771,0.5214625471195463,3,0,3
9Be,4,9,8392.751379849253,58.161620150747694,8467.722079520809,0.8932791676822248,"(5,10,5,5,27,54)",8444.448386526112,0.6159720970763175,4,0,4
10B,5,10,9324.436717622868,64.74828237713336,9419.936036857644,1.0241832523168413,"(5,10,5,5,30,60)",9382.720347873503,0.6250632828091452,5,0,5
11B,5,11,10252.547828658166,76.2021713418344,10354.836367811578,0.9976889731496148,"(6,12,6,6,33,66)",10320.992455398038,0.6675865149202669,5,0,5
12C,6,12,11174.863229999999,92.15877000000182,11307.714240866077,1.1888379135542904,"(6,12,6,6,36,72)",11259.264417448201,0.7552771404093696,6,0,6
13C,6,13,12109.482345673154,97.10465432684578,12242.27348177966,1.0965880482410115,"(7,14,7,7,39,78)",12197.536524486202,0.7271506435988262,6,0,6
14N,7,14,13040.203847869547,104.65515213045364,13195.602016507804,1.1916851182019361,"(7,14,7,7,42,84)",13135.808487022901,0.7331529496678386,7,0,7
16O,8,16,14895.08063852357,127.61536147642983,15083.558221236373,1.2653679915323073,"(8,16,8,8,48,96)",15012.352556597603,0.7873197931586187,8,0,8
19F,9,19,17692.30149995816,147.79650004184077,17905.500838026874,1.2050401586770203,"(10,20,10,10,57,114)",17827.168732365266,0.7622933195402748,9,0,9
20Ne,10,20,18617.730122257817,160.6398777421855,18859.593715541752,1.2991035518061522,"(10,20,10,10,60,120)",18765.440695747006,0.793386586437827,10,0,10
24Mg,12,24,22335.792891774054,198.25110822594797,22635.724880345868,1.3428311680051204,"(12,24,12,12,72,144)",22518.528834896402,0.8181305405533533,12,0,12
28Si,14,28,26053.188068782325,236.52993121767577,26411.910681426452,1.3768856682609183,"(14,28,14,14,84,168)",26271.616974045803,0.8383960714781212,14,0,14
32S,16,32,29773.619739579237,271.7722604207629,30188.130615692673,1.3922085380918956,"(16,32,16,16,96,192)",30024.705113195207,0.8433149069953094,16,0,16
40Ca,20,40,37214.69770672911,342.04229327089706,37740.6319004818,1.4132432242156647,"(20,40,20,20,120,240)",37530.88139149401,0.8496204571016331,20,0,20
48Ti,22,48,44651.983179408206,418.69082059179345,45250.67466370911,1.3407948352381376,"(26,52,26,26,144,288)",45037.05795968738,0.8623912150373552,22,0,22
52Cr,24,52,48370.01123213925,456.3367678607465,49026.66598683759,1.3575658511776885,"(28,56,28,28,156,312)",48790.14609794481,0.8685854212214877,24,0,24
56Fe,26,56,52089.77731314053,492.2446868594707,52802.70463991935,1.3686511318584098,"(30,60,30,30,168,336)",52543.23423632965,0.8705295867616039,26,0,26
