parent,daughters,branch_pct,category,parent_tuple,daughter_sum,delta,delta_zero,Q_parent,Q_daughters_sum,charge_ok,m_parent_pred,m_daughters_sum_pred,mass_resid_pred,Q_observed
neutron,proton + electron + anti_nu_1,100,beta,"(1,2,-1,-1,3,6)","(1,2,-1,-1,3,6)","(0,0,0,0,0,0)",True,0,0,True,938.2721391493931,938.782999032113,-0.5108598827199557,0.7820009678999895
Lambda,proton + anti_pi_plus,64,weak-hadronic,"(-3,2,1,-6,-3,-3)","(-1,-2,2,6,3,7)","(-2,4,-1,-12,-6,-10)",False,0,0,True,1107.667573576801,1059.2472777416156,48.42029583518547,37.840999999999894
Lambda,neutron + pi0,36,weak-hadronic,"(-3,2,1,-6,-3,-3)","(1,2,-2,-7,3,5)","(-4,0,3,1,-6,-8)",False,0,0,True,1107.667573576801,1059.2463376575172,48.421235919283845,41.14099999999985
Sigma_-,neutron + anti_pi_plus,99,weak-hadronic,"(4,0,-2,-6,3,5)","(0,0,1,5,3,7)","(4,0,-3,-11,0,-2)",False,-1,-1,True,1197.2303849947552,1059.2474168910087,137.98296810374654,118.31400000000008
Sigma_+,proton + pi0,52,weak-hadronic,"(2,-3,-2,-6,3,6)","(0,0,-1,-6,3,5)","(2,-3,-1,0,0,1)",False,1,1,True,1189.5990433756062,1059.246198508124,130.3528448674822,116.12099999999987
Sigma_+,neutron + pi_plus,48,weak-hadronic,"(2,-3,-2,-6,3,6)","(2,4,-3,-7,3,5)","(0,-7,1,1,0,1)",False,1,1,True,1189.5990433756062,1059.2474168910087,130.35162648459755,110.2349999999999
Xi_-,Lambda + anti_pi_plus,99,weak-hadronic,"(-2,4,0,-6,-3,6)","(-4,0,3,0,-3,-2)","(2,4,-3,-6,0,8)",False,-1,-1,True,1322.643942988533,1228.6428513184167,94.00109167011624,66.45700000000011
Xi_0,Lambda + pi0,99,weak-hadronic,"(-3,2,1,-6,-3,6)","(-3,2,0,-12,-3,-4)","(0,0,1,6,0,10)",False,0,0,True,1322.9210016007842,1228.6417720849252,94.27922951585902,64.19999999999982
rho0,pi_plus + anti_pi_plus,100,strong,"(-3,-6,1,-6,-3,3)","(0,0,0,0,0,0)","(-3,-6,1,-6,-3,3)",False,0,0,True,783.117077411688,241.95055548323114,541.1665219284569,496.12
K0,pi_plus + anti_pi_plus,69,weak,"(0,-1,-1,-6,0,-4)","(0,0,0,0,0,0)","(0,-1,-1,-6,0,-4)",False,0,0,True,495.01926010440343,241.95055548323114,253.0687046211723,218.471
K_plus,anti_muon + nu_2,64,weak-leptonic,"(1,3,-2,-6,0,-4)","(-1,-1,1,7,0,0)","(2,4,-3,-13,0,-4)",False,1,1,True,494.9271361778966,104.78397108033172,390.14316509756486,388.01859996670004
K_plus,pi_plus + pi0,21,weak-hadronic,"(1,3,-2,-6,0,-4)","(1,2,-3,-12,0,-2)","(0,1,1,6,0,-2)",False,1,1,True,494.9271361778966,241.94947624973966,252.97765992815695,219.13
pi_plus,anti_muon + nu_2,100,weak-leptonic,"(1,2,-2,-6,0,-1)","(-1,-1,1,7,0,0)","(2,3,-3,-13,0,-1)",False,1,1,True,120.97527774161557,104.78397108033172,16.191306661283846,33.911599966699995
pi0,photon + photon,99,EM-anomaly,"(0,0,-1,-6,0,-1)","(0,0,0,0,0,0)","(0,0,-1,-6,0,-1)",False,0,0,True,120.97419850812409,0.0,120.97419850812409,134.977
eta,photon + photon,39,EM-anomaly,"(0,-4,-1,-6,0,-3)","(0,0,0,0,0,0)","(0,-4,-1,-6,0,-3)",False,0,0,True,553.1005152160611,0.0,553.1005152160611,547.862
eta,pi0 + pi0 + pi0,33,strong,"(0,-4,-1,-6,0,-3)","(0,0,-3,-18,0,-3)","(0,-4,2,12,0,0)",False,0,0,True,553.1005152160611,362.92259552437224,190.17791969168888,142.93099999999993
eta_prime,rho0 + photon,29,EM,"(0,-6,-1,-6,0,-6)","(-3,-6,1,-6,-3,3)","(3,0,-2,0,3,-9)",False,0,0,True,958.5498541788893,783.117077411688,175.4327767672013,182.51999999999998
eta_prime,eta + pi0 + pi0,43,strong,"(0,-6,-1,-6,0,-6)","(0,-4,-3,-18,0,-5)","(0,-2,2,12,0,-1)",False,0,0,True,958.5498541788893,795.0489122323092,163.50094194658004,139.96399999999994
phi,K_plus + anti_K_plus,49,strong,"(-3,-6,1,-6,-3,6)","(0,0,0,0,0,0)","(-3,-6,1,-6,-3,6)",False,0,0,True,1025.2294793162582,989.8542723557932,35.37520696046499,32.10699999999997
