placement,sigma,e_proton,e_neutron,e_he4,b_he4,e_fe56,b_fe56
e_tube <-> p_tube,0.0,938.272,938.2721391493637,3753.0881391493717,0.00013914935561842867,52543.234236329175,0.0019381517413421534
e_tube <-> p_tube,-1e-06,938.3271748966697,938.3320708489697,3753.3183523335474,0.00013915773160988465,52546.466734514455,0.0019382680475246161
e_tube <-> p_tube,1e-06,938.3271748966697,938.3225572619648,3753.2993251574208,0.00013915984800405568,52546.18132687413,0.0019382982209208421
e_tube <-> p_tube,-1e-05,943.9353649714625,943.9841855981538,3775.838961054129,0.00014008510333951563,52861.84310602087,0.0019511817663442343
e_tube <-> p_tube,1e-05,943.9353649714625,943.8868245366683,3775.644238909483,0.00014010677841724828,52858.92227386721,0.0019514908635756
e_tube <-> p_ring,0.0,938.272,938.2721391493637,3753.0881391493717,0.00013914935561842867,52543.234236329175,0.0019381517413421534
e_tube <-> p_ring,-1e-06,938.3400988109884,938.345522518536,3753.371103506409,0.00013915263980379677,52547.206306444685,0.0019381970923859626
e_tube <-> p_ring,1e-06,938.3400988109884,938.3349534110872,3753.34996528916,0.00013915499084760086,52546.8892331877,0.0019382306127226911
e_tube <-> p_ring,-1e-05,945.2554505721082,945.3095843926345,3781.1299303543465,0.00013957513874629512,52935.92730257552,0.0019440783289610408
e_tube <-> p_ring,1e-05,945.2554505721082,945.2015959257958,3780.9139533967486,0.00013959905936644645,52932.68764822926,0.0019444194331299514
e_ring <-> p_tube,0.0,938.272,938.2721391493637,3753.0881391493717,0.00013914935561842867,52543.234236329175,0.0019381517413421534
e_ring <-> p_tube,-1e-06,938.2720000870969,938.2721332650835,3753.088127555003,0.00013914935743741808,52543.23406206527,0.0019381517558940686
e_ring <-> p_tube,1e-06,938.2720000870969,938.272145207838,3753.088151440515,0.00013914935470893397,52543.23442034794,0.0019381517195142806
e_ring <-> p_tube,-1e-05,938.2720087096942,938.2720881452842,3753.088054560586,0.00013914937062509125,52543.232932658626,0.0019381519450689666
e_ring <-> p_tube,1e-05,938.2720087096942,938.2722075728344,3753.0882934157135,0.00013914934379499755,52543.236515485514,0.0019381515667191707
e_ring <-> p_ring,0.0,938.272,938.2721391493637,3753.0881391493717,0.00013914935561842867,52543.234236329175,0.0019381517413421534
e_ring <-> p_ring,-1e-06,938.2720001074993,938.2721326228624,3753.0881263113656,0.00013914935743741808,52543.23404332909,0.0019381517631700262
e_ring <-> p_ring,1e-06,938.2720001074993,938.2721458908635,3753.088152847371,0.00013914935425418662,52543.23444136917,0.001938151712238323
e_ring <-> p_ring,-1e-05,938.2720107499115,938.272083559268,3753.0880494689873,0.00013914937153458595,52543.23284812378,0.0019381519596208818
e_ring <-> p_ring,1e-05,938.2720107499115,938.2722162392835,3753.0883148290477,0.0001391493424307555,52543.23682852467,0.0019381515303393826
nu_tube <-> p_tube,0.0,938.272,938.2721391493637,3753.0881391493717,0.00013914935561842867,52543.234236329175,0.0019381517413421534
nu_tube <-> p_tube,-1e-06,938.2720000872655,938.2721392366291,3753.088139498433,0.00013914935607317602,52543.23424121604,0.0019381517267902382
nu_tube <-> p_tube,1e-06,938.2720000872655,938.2721392366294,3753.088139498434,0.00013914935561842867,52543.23424121604,0.0019381517413421534
nu_tube <-> p_tube,-1e-05,938.2720087265562,938.2721478759169,3753.088174055592,0.00013914935425418662,52543.23472501625,0.001938151712238323
nu_tube <-> p_tube,1e-05,938.2720087265562,938.2721478759205,3753.0881740555988,0.00013914935470893397,52543.23472501636,0.0019381517195142806
nu_tube <-> p_ring,0.0,938.272,938.2721391493637,3753.0881391493717,0.00013914935561842867,52543.234236329175,0.0019381517413421534
nu_tube <-> p_ring,-1e-06,938.2720001077073,938.2721392570709,3753.0881395802003,0.00013914935607317602,52543.23424236078,0.0019381517340661958
nu_tube <-> p_ring,1e-06,938.2720001077073,938.2721392570712,3753.088139580201,0.00013914935561842867,52543.23424236079,0.0019381517340661958
nu_tube <-> p_ring,-1e-05,938.2720107707233,938.2721499200834,3753.088182232259,0.00013914935425418662,52543.234839489596,0.001938151712238323
nu_tube <-> p_ring,1e-05,938.2720107707233,938.2721499200875,3753.088182232267,0.00013914935425418662,52543.23483948971,0.0019381517195142806
nu_ring <-> p_tube,0.0,938.272,938.2721391493637,3753.0881391493717,0.00013914935561842867,52543.234236329175,0.0019381517413421534
nu_ring <-> p_tube,-1e-06,938.2720000870969,938.2721392364602,3753.0881394977587,0.00013914935561842867,52543.23424120659,0.0019381517340661958
nu_ring <-> p_tube,1e-06,938.2720000870969,938.2721392364612,3753.08813949776,0.00013914935607317602,52543.23424120662,0.0019381517340661958
nu_ring <-> p_tube,-1e-05,938.2720087096942,938.2721478590528,3753.088173988139,0.00013914935516368132,52543.23472407192,0.001938151712238323
nu_ring <-> p_tube,1e-05,938.2720087096942,938.2721478590605,3753.088173988155,0.00013914935425418662,52543.23472407214,0.0019381517195142806
nu_ring <-> p_ring,0.0,938.272,938.2721391493637,3753.0881391493717,0.00013914935561842867,52543.234236329175,0.0019381517413421534
nu_ring <-> p_ring,-1e-06,938.2720001074993,938.2721392568625,3753.088139579367,0.00013914935652792337,52543.23424234911,0.0019381517413421534
nu_ring <-> p_ring,1e-06,938.2720001074993,938.2721392568633,3753.088139579369,0.00013914935607317602,52543.23424234914,0.0019381517340661958
nu_ring <-> p_ring,-1e-05,938.2720107499115,938.2721498992692,3753.088182149007,0.00013914935425418662,52543.23483832406,0.001938151712238323
nu_ring <-> p_ring,1e-05,938.2720107499115,938.2721498992778,3753.088182149024,0.00013914935470893397,52543.234838324315,0.001938151712238323
e_tube <-> nu_tube,0.0,938.272,938.2721391493637,3753.0881391493717,0.00013914935561842867,52543.234236329175,0.0019381517413421534
e_tube <-> nu_tube,-1e-06,938.272,938.2721391788616,3753.08813917887,0.00013917885371483862,52543.23423680325,0.0019385626001167111
e_tube <-> nu_tube,1e-06,938.272,938.2721391788618,3753.08813917887,0.00013917885371483862,52543.234236803255,0.0019385626001167111
e_tube <-> nu_tube,-1e-05,938.272,938.2721421856652,3753.088142185673,0.00014218565775081515,52543.234285126884,0.001980443070351612
e_tube <-> nu_tube,1e-05,938.272,938.2721421856673,3753.088142185675,0.00014218565956980456,52543.23428512692,0.0019804430994554423
e_ring <-> nu_ring,0.0,938.272,938.2721391493637,3753.0881391493717,0.00013914935561842867,52543.234236329175,0.0019381517413421534
e_ring <-> nu_ring,-1e-06,938.272,938.2721391493637,3753.0881391493717,0.00013914935561842867,52543.234236329175,0.0019381517413421534
e_ring <-> nu_ring,1e-06,938.272,938.2721391493637,3753.0881391493717,0.00013914935561842867,52543.234236329175,0.0019381517413421534
e_ring <-> nu_ring,-1e-05,938.272,938.2721391493683,3753.088139149376,0.00013914936062064953,52543.234236329256,0.0019381517922738567
e_ring <-> nu_ring,1e-05,938.272,938.2721391493683,3753.088139149376,0.00013914936062064953,52543.234236329256,0.0019381517922738567
