rank,tuple,E_pred,rel_error,Q_v2,below_additive_MeV
1,"(0,0,-4,-4,3,15)",1875.705006,0.00005065,1,0.8390
2,"(0,0,-4,-3,3,15)",1875.705006,0.00005065,1,0.8390
3,"(0,0,-4,-2,3,15)",1875.705006,0.00005065,1,0.8390
4,"(0,0,-4,-1,3,15)",1875.705006,0.00005065,1,0.8390
5,"(0,0,-4,0,3,15)",1875.705006,0.00005065,1,0.8390
6,"(0,0,-4,1,3,15)",1875.705006,0.00005065,1,0.8390
7,"(0,0,-4,2,3,15)",1875.705006,0.00005065,1,0.8390
8,"(0,0,-3,-4,3,15)",1875.705006,0.00005065,1,0.8390
9,"(0,0,-3,-3,3,15)",1875.705006,0.00005065,1,0.8390
10,"(0,0,-3,-2,3,15)",1875.705006,0.00005065,1,0.8390
11,"(0,0,-3,-1,3,15)",1875.705006,0.00005065,1,0.8390
12,"(0,0,-3,0,3,15)",1875.705006,0.00005065,1,0.8390
13,"(0,0,-3,1,3,15)",1875.705006,0.00005065,1,0.8390
14,"(0,0,-3,2,3,15)",1875.705006,0.00005065,1,0.8390
15,"(0,0,-2,-4,3,15)",1875.705006,0.00005065,1,0.8390
16,"(0,0,-2,-3,3,15)",1875.705006,0.00005065,1,0.8390
17,"(0,0,-2,-2,3,15)",1875.705006,0.00005065,1,0.8390
18,"(0,0,-2,-1,3,15)",1875.705006,0.00005065,1,0.8390
19,"(0,0,-2,0,3,15)",1875.705006,0.00005065,1,0.8390
20,"(0,0,-2,1,3,15)",1875.705006,0.00005065,1,0.8390
21,"(0,0,-2,2,3,15)",1875.705006,0.00005065,1,0.8390
22,"(0,0,-1,-4,3,15)",1875.705006,0.00005065,1,0.8390
23,"(0,0,-1,-3,3,15)",1875.705006,0.00005065,1,0.8390
24,"(0,0,-1,-2,3,15)",1875.705006,0.00005065,1,0.8390
25,"(0,0,-1,-1,3,15)",1875.705006,0.00005065,1,0.8390
26,"(0,0,-1,0,3,15)",1875.705006,0.00005065,1,0.8390
27,"(0,0,-1,1,3,15)",1875.705006,0.00005065,1,0.8390
28,"(0,0,-1,2,3,15)",1875.705006,0.00005065,1,0.8390
29,"(0,0,0,-4,3,15)",1875.705006,0.00005065,1,0.8390
30,"(0,0,0,-3,3,15)",1875.705006,0.00005065,1,0.8390
31,"(0,0,0,-2,3,15)",1875.705006,0.00005065,1,0.8390
32,"(0,0,0,-1,3,15)",1875.705006,0.00005065,1,0.8390
33,"(0,0,0,0,3,15)",1875.705006,0.00005065,1,0.8390
34,"(0,0,0,1,3,15)",1875.705006,0.00005065,1,0.8390
35,"(0,0,0,2,3,15)",1875.705006,0.00005065,1,0.8390
36,"(0,0,1,-4,3,15)",1875.705006,0.00005065,1,0.8390
37,"(0,0,1,-3,3,15)",1875.705006,0.00005065,1,0.8390
38,"(0,0,1,-2,3,15)",1875.705006,0.00005065,1,0.8390
39,"(0,0,1,-1,3,15)",1875.705006,0.00005065,1,0.8390
40,"(0,0,1,0,3,15)",1875.705006,0.00005065,1,0.8390
41,"(0,0,1,1,3,15)",1875.705006,0.00005065,1,0.8390
42,"(0,0,1,2,3,15)",1875.705006,0.00005065,1,0.8390
43,"(0,0,2,-4,3,15)",1875.705006,0.00005065,1,0.8390
44,"(0,0,2,-3,3,15)",1875.705006,0.00005065,1,0.8390
45,"(0,0,2,-2,3,15)",1875.705006,0.00005065,1,0.8390
46,"(0,0,2,-1,3,15)",1875.705006,0.00005065,1,0.8390
47,"(0,0,2,0,3,15)",1875.705006,0.00005065,1,0.8390
48,"(0,0,2,1,3,15)",1875.705006,0.00005065,1,0.8390
49,"(0,0,2,2,3,15)",1875.705006,0.00005065,1,0.8390
50,"(1,2,-4,-4,3,15)",1875.705076,0.00005069,0,0.8389
51,"(1,2,-4,-3,3,15)",1875.705076,0.00005069,0,0.8389
52,"(1,2,-4,-2,3,15)",1875.705076,0.00005069,0,0.8389
53,"(1,2,-4,-1,3,15)",1875.705076,0.00005069,0,0.8389
54,"(1,2,-4,0,3,15)",1875.705076,0.00005069,0,0.8389
55,"(1,2,-4,1,3,15)",1875.705076,0.00005069,0,0.8389
