k,mu_kk,mu_linear,difference,rel_error
1,7.755967897046988,7.755967897046988,0.0,0.0
2,15.511935794093976,15.511935794093976,0.0,0.0
3,23.267903691140965,23.267903691140965,0.0,0.0
5,38.77983948523494,38.77983948523494,0.0,0.0
10,77.55967897046988,77.55967897046988,0.0,0.0
20,155.11935794093975,155.11935794093975,0.0,0.0
50,387.79839485234936,387.7983948523494,-5.684341886080802e-14,-1.4657981986349017e-16
100,775.5967897046987,775.5967897046988,-1.1368683772161603e-13,-1.4657981986349017e-16
168,1303.002606703894,1303.002606703894,0.0,0.0
200,1551.1935794093974,1551.1935794093977,-2.2737367544323206e-13,-1.4657981986349017e-16
