sigma_pS_tube,signature_ok,sigma_eff_tube,sigma_eff_ring,A1_spread,R0_spread
0.0,True,0.0,-0.0,4.838433353970828e-08,34.99999825816403
0.01,True,0.01006455604886192,-5.163116906358756e-05,4.838433309561907e-08,34.99999836664639
0.025,True,0.02604031639199179,-0.00013358681412045702,4.8384331985396045e-08,34.99999895986328
0.04,True,0.04455491129002449,-0.0002285666795693912,4.8384330209039206e-08,35.00000017913309
0.05,True,0.05950409762291495,-0.0003052560003073698,4.8384328432682366e-08,35.00000146503635
0.06,True,0.07792083195468881,-0.0003997338410851079,9.159604030806179e-08,35.000003297457454
0.064,True,0.08668225308831387,-0.00044467992848243917,1.1771675190175301e-07,35.000004237803054
0.066,True,0.0914481514932563,-0.0004691289856580203,1.3232524898043607e-07,35.00000476370895
0.068,True,0.0965085071375444,-0.0004950886083700086,1.4810402504394915e-07,35.00000533174488
0.069,True,0.09915933123907142,-0.0005086873350976767,1.5646992146400862e-07,35.000005632917166
0.07,True,0.10189662660571085,-0.000522729659385584,1.6517579171093644e-07,35.00000594632849
0.0703,True,0.1027354070164579,-0.00052703260260377,1.6785654088913304e-07,35.000006042835466
0.0704,True,0.1030168523235883,-0.0005284764169323959,1.6875737363086785e-07,35.00000607526544
