eps_p,s_p,sigma_pS_tube,band_edge,sigma_eff_tube,sigma_eff_ring,r_min_pn,V_min_pn,r_min_pp,V_min_pp
0.18,0.02,-0.1250508996727151,-0.12511,-115.99999999998866,0.4175999719574141,1.133422281521014,214.39958805083734,1.1364909939959973,230.33193424239403
0.18,0.025,-0.12505044362476636,-0.12511,-115.99999999997362,0.5219999649469556,1.133422281521014,214.40742511880853,1.1364909939959973,230.1435266091587
0.18,0.03,-0.12504988623960117,-0.12511,-115.99999999999065,0.6263999579368134,1.133422281521014,214.41700371755633,1.1395597064709806,229.9568133481023
0.18,0.04,-0.12504846747461212,-0.12511,-116.00000000000138,0.8351999439171003,1.133422281521014,214.44138540741915,1.1395597064709806,229.58837913204593
0.18,0.05,-0.12504664341911442,-0.12511,-116.00000000002886,1.0439999298986666,1.133422281521014,214.4727328768954,1.1395597064709806,229.22680198629155
0.19,0.02,-0.1250508070864455,-0.12511,-115.99999999995704,0.4407999703994164,1.133422281521014,101.14983277810529,1.1364909939959973,117.92168574831726
0.19,0.025,-0.12505029896039238,-0.12511,-115.99999999997392,0.5509999629996513,1.133422281521014,101.15811832929307,1.1364909939959973,117.72467810235116
0.19,0.03,-0.12504967792584565,-0.12511,-116.00000000000699,0.6611999556002106,1.133422281521014,101.16824506696298,1.1395597064709806,117.52942605735393
0.19,0.04,-0.12504809715236415,-0.12511,-116.00000000001799,0.8815999408018604,1.133422281521014,101.19402198360672,1.1395597064709806,117.1442453418183
0.19,0.05,-0.12504606481735375,-0.12511,-115.99999999997426,1.1019999260043145,1.133422281521014,101.22716324027738,1.142628418945964,116.76627405628437
0.2052,0.02,-0.1250506567708225,-0.12511,-115.99999999998921,0.4760639680315785,1.133422281521014,-50.15986517582974,1.1364909939959973,-32.104470197930596
0.2052,0.025,-0.12505006409533098,-0.12511,-115.99999999999825,0.5950799600398982,1.133422281521014,-50.15089368383019,1.1364909939959973,-32.314184173393414
0.2052,0.03,-0.12504933972561239,-0.12511,-116.00000000002355,0.7140959520485886,1.133422281521014,-50.13992858675442,1.1395597064709806,-32.522056142177235
0.2052,0.04,-0.12504749593218956,-0.12511,-115.99999999995558,0.9521279360661117,1.133422281521014,-50.11201772732534,1.1395597064709806,-32.93196220777645
0.2052,0.05,-0.1250451254604168,-0.12511,-116.00000000005568,1.1901599200866946,1.133422281521014,-50.07613296301042,1.142628418945964,-33.33417138520281
0.21,0.02,-0.12505060690061937,-0.12511,-115.9999999999972,0.48719996728383874,1.133422281521014,-93.46751629727714,1.1364909939959973,-75.00482681991457
0.21,0.025,-0.1250499861742721,-0.12511,-115.99999999995863,0.6089999591050022,1.133422281521014,-93.45832706320039,1.1395597064709806,-75.2184655840631
0.21,0.03,-0.12504922752128256,-0.12511,-116.00000000001576,0.7307999509269572,1.133422281521014,-93.44709584143266,1.1395597064709806,-75.43022945368443
0.21,0.04,-0.12504729646685275,-0.12511,-116.00000000003557,0.9743999345714622,1.133422281521014,-93.41850759584054,1.1395597064709806,-75.84776126753832
0.21,0.05,-0.1250448138139615,-0.12511,-115.99999999999268,1.2179999182171235,1.133422281521014,-93.38175195302529,1.142628418945964,-76.25744495110553
0.22,0.02,-0.12505049930113482,-0.12511,-115.99999999997361,0.5103999657258815,1.133422281521014,-177.7350518138894,1.1364909939959973,-158.4206639829638
0.22,0.025,-0.12504981805270177,-0.12511,-115.99999999999876,0.6379999571579568,1.133422281521014,-177.72540710727253,1.1395597064709806,-158.64236309525836
0.22,0.03,-0.12504898543083975,-0.12511,-115.9999999999527,0.7655999485899284,1.133422281521014,-177.71361920677373,1.1395597064709806,-158.86207302695766
0.22,0.04,-0.12504686610474214,-0.12511,-116.0000000000443,1.0207999314563663,1.133422281521014,-177.6836140107971,1.1395597064709806,-159.2952115895455
0.22,0.05,-0.12504414141514392,-0.12511,-116.00000000004968,1.2759999143242486,1.133422281521014,-177.64503667970803,1.142628418945964,-159.72019106332073
0.23,0.02,-0.12505038669732044,-0.12511,-116.00000000004528,0.5335999641683613,1.133422281521014,-254.8215818050951,1.1364909939959973,-234.65105688655763
0.23,0.025,-0.12504964211224923,-0.12511,-115.99999999997523,0.6669999552105821,1.133422281521014,-254.81147901746772,1.1395597064709806,-234.88062986684804
0.23,0.03,-0.12504873208188122,-0.12511,-115.999999999977,0.8003999462534923,1.133422281521014,-254.79913125138,1.1395597064709806,-235.10809699812262
0.23,0.04,-0.12504641573054476,-0.12511,-116.00000000004522,1.0671999283412705,1.133422281521014,-254.76770099799114,1.1395597064709806,-235.55646439078077
0.23,0.05,-0.1250434377535718,-0.12511,-116.00000000005893,1.3339999104310103,1.133422281521014,-254.72729156645937,1.142628418945964,-235.99636729021904
0.25,0.02,-0.1250501464768657,-0.12511,-115.99999999997429,0.5799999610523612,1.133422281521014,-390.90171812538915,1.1364909939959973,-369.00482231825845
0.25,0.025,-0.12504926677509787,-0.12511,-116.00000000003163,0.7249999513164946,1.133422281521014,-390.89069076570195,1.1395597064709806,-369.24958543097796
0.25,0.03,-0.12504819160924674,-0.12511,-115.99999999999395,0.8699999415805147,1.133422281521014,-390.8772129926224,1.1395597064709806,-369.4920021142159
0.25,0.04,-0.12504545494851216,-0.12511,-115.99999999998347,1.1599999221106558,1.133422281521014,-390.84290648516685,1.142628418945964,-369.9698056114221
0.25,0.05,-0.1250419366485651,-0.12510000000000002,-116.00000000003007,1.449999902644378,1.133422281521014,-390.7987992814469,1.142628418945964,-370.43833254311494
