point,nucleus,Z,N,A,n_pt,n_pr,m_Ma_pred,M_free,Delta_Ma,B_obs,Delta_S,Delta_S_frac_of_B
A,²H,1,1,2,6,0,1875.7116089785798,1877.837,-2.125391021420228,-2.224,-0.09860897857977236,-0.04433856950529332
A,³H,1,2,3,9,-2,2814.5856950835623,2817.402,-2.81630491643773,-8.482,-5.6656950835622695,-0.6679668808727034
A,³He,2,1,3,9,2,2813.291031613959,2816.1090000000004,-2.8179683860412297,-7.718,-4.90003161395877,-0.6348835985953317
A,⁴He,2,2,4,12,0,3751.4232179571595,3755.674,-4.250782042840456,-28.296,-24.045217957159544,-0.8497744542394524
A,⁶Li,3,3,6,18,0,5627.1348269357395,5633.511,-6.376173064260911,-31.994,-25.61782693573909,-0.8007072243464115
A,⁷Li,3,4,7,21,-2,6565.797019896275,6573.076000000001,-7.278980103726099,-39.245,-31.9660198962739,-0.8145246501789757
A,⁹Be,4,5,9,27,-2,8441.47330520003,8450.913,-9.439694799970312,-58.165,-48.72530520002969,-0.8377083331905731
A,¹⁰B,5,5,10,30,0,9378.558044892898,9389.185000000001,-10.62695510710364,-64.751,-54.124044892896364,-0.835879675879853
A,¹²C,6,6,12,36,0,11254.269653871479,11267.022,-12.752346128521822,-92.162,-79.40965387147818,-0.8616311915049389
A,¹⁴N,7,7,14,42,0,13129.981262850059,13144.859,-14.877737149941822,-104.659,-89.78126285005818,-0.857845601907702
A,¹⁶O,8,8,16,48,0,15005.692871828638,15022.696,-17.003128171361823,-127.619,-110.61587182863818,-0.8667664832715989
A,²⁰Ne,10,10,20,60,0,18757.116089785795,18778.370000000003,-21.25391021420728,-160.645,-139.39108978579273,-0.8676964100083583
A,²⁴Mg,12,12,24,72,0,22508.539307742958,22534.044,-25.504692257043644,-198.257,-172.75230774295636,-0.8713554010348
A,²⁸Si,14,14,28,84,0,26259.962525700117,26289.718,-29.755474299883645,-236.537,-206.78152570011636,-0.8742037216169832
A,³²S,16,16,32,96,0,30011.385743657276,30045.392,-34.006256342723646,-271.781,-237.77474365727636,-0.8748762557252948
A,⁴⁰Ca,20,20,40,120,0,37514.23217957159,37556.740000000005,-42.50782042841456,-342.052,-299.54417957158546,-0.8757270227087853
A,⁵⁶Fe,26,30,56,168,-8,52522.832681068285,52582.022,-59.18931893171248,-492.258,-433.0686810682875,-0.8797595591504608
A,⁹⁰Zr,40,50,90,270,-20,84414.7330520003,84509.13,-94.39694799970312,-783.893,-689.4960520002969,-0.8795792946234969
A,¹²⁰Sn,50,70,120,360,-40,112559.35413560012,112683.15000000001,-123.79586439988634,-1020.55,-896.7541356001136,-0.878696914017063
B,²H,1,1,2,6,0,1860.5215571200763,1877.837,-17.315442879923694,-2.224,15.091442879923694,6.78572071939015
B,³H,1,2,3,9,-2,2794.334344416404,2817.402,-23.067655583596206,-8.482,14.585655583596207,1.7196009883985155
B,³He,2,1,3,9,2,2793.030049790237,2816.1090000000004,-23.078950209763207,-7.718,15.360950209763207,1.9902760054111437
B,⁴He,2,2,4,12,0,3721.0431142401526,3755.674,-34.63088575984739,-28.296,6.334885759847388,0.22387919705426168
B,⁶Li,3,3,6,18,0,5581.564671360229,5633.511,-51.94632863977131,-31.994,19.95232863977131,0.6236272000928709
B,⁷Li,3,4,7,21,-2,6513.721474935767,6573.076000000001,-59.35452506423371,-39.245,20.109525064233715,0.5124098627655426
B,⁹Be,4,5,9,27,-2,8373.966823369441,8450.913,-76.94617663055942,-58.165,18.781176630559422,0.32289481011879
B,¹⁰B,5,5,10,30,0,9302.607785600381,9389.185000000001,-86.57721439962006,-64.751,21.826214399620056,0.3370791864159635
B,¹²C,6,6,12,36,0,11163.129342720458,11267.022,-103.89265727954262,-92.162,11.730657279542612,0.12728301555459529
B,¹⁴N,7,7,14,42,0,13023.650899840533,13144.859,-121.208100159467,-104.659,16.549100159466988,0.15812400423725612
B,¹⁶O,8,8,16,48,0,14884.17245696061,15022.696,-138.52354303938955,-127.619,10.904543039389551,0.08544607808703682
B,²⁰Ne,10,10,20,60,0,18605.215571200762,18778.370000000003,-173.15442879924012,-160.645,12.509428799240112,0.07787001649127026
B,²⁴Mg,12,12,24,72,0,22326.258685440916,22534.044,-207.78531455908524,-198.257,9.528314559085231,0.048060419350061945
B,²⁸Si,14,14,28,84,0,26047.301799681067,26289.718,-242.416200318934,-236.537,5.879200318933982,0.024855309397404983
B,³²S,16,16,32,96,0,29768.34491392122,30045.392,-277.0470860787791,-271.781,5.266086078779097,0.01937621128327255
B,⁴⁰Ca,20,20,40,120,0,37210.431142401525,37556.740000000005,-346.30885759848024,-342.052,4.256857598480224,0.012445059811023538
B,⁵⁶Fe,26,30,56,168,-8,52099.701601905304,52582.022,-482.3203980946928,-492.258,-9.93760190530719,-0.02018779157536737
B,⁹⁰Zr,40,50,90,270,-20,83739.6682336944,84509.13,-769.4617663055978,-783.893,-14.43123369440218,-0.018409698382817783
B,¹²⁰Sn,50,70,120,360,-40,111673.35644368253,112683.15000000001,-1009.7935563174833,-1020.55,-10.756443682516647,-0.01053984976974832
