n_t,n_r,mass_MeV,err_vs_m_s_target,abs_err_pct,z3_uds_ok
-6,-30,1987.7786752212523,2.5656288831736416,256.5628883173642,False
-6,-29,1980.323798186954,2.5522565066584124,255.22565066584124,False
-6,-28,1973.1053098008797,2.5393081583321706,253.93081583321705,False
-6,-27,1966.1258137161062,2.526788508564273,252.67885085642732,False
-6,-26,1959.3878638633012,2.5147021385332318,251.47021385332317,False
-6,-25,1952.8939604203642,2.5030535329971553,250.30535329971553,False
-6,-24,1946.6465457641386,2.4918470730320283,249.18470730320283,False
-6,-23,1940.6480004169086,2.481087028760636,248.1087028760636,False
-6,-22,1934.9006390009831,2.4707775520959965,247.07775520959964,False
-6,-21,1929.4067062152176,2.460922669524143,246.0922669524143,False
-6,-20,1924.1683728477794,2.4515262749519198,245.15262749519198,False
-6,-19,1919.1877318398695,2.442592122646183,244.2592122646183,False
-6,-18,1914.466794415413,2.4341238202913322,243.41238202913323,False
-6,-17,1910.0074862919694,2.426124822192537,242.61248221925368,False
-6,-16,1905.8116439882199,2.4185984226521926,241.85984226521927,False
-6,-15,1901.88101124344,2.411547749547263,241.1547749547263,False
-6,-14,1898.217235564263,2.4049757581349454,240.49757581349454,False
-6,-13,1894.8218649138685,2.398885225113818,239.8885225113818,False
-6,-12,1891.6963445584183,2.3932787429670572,239.32787429670572,False
-6,-11,1888.8420140851558,2.388158714613571,238.81587146135712,False
-6,-10,1886.2601046060504,2.3835273483919703,238.35273483919704,False
-6,-9,1883.951736160235,2.379386653401121,237.9386653401121,False
-6,-8,1881.9179153277312,2.3757384352197035,237.57384352197036,False
-6,-7,1880.159533066106,2.3725842920256617,237.25842920256616,False
-6,-6,1878.6773627807452,2.369925611134704,236.9925611134704,False
-6,-5,1877.4720586383833,2.367763565975156,236.77635659751562,False
-6,-4,1876.5441541323924,2.366099113514411,236.6099113514411,False
-6,-3,1875.8940609071285,2.3649329921500706,236.49329921500706,False
-6,-2,1875.5220678473484,2.364265720076561,236.42657200765612,False
-6,-1,1875.428340437385,2.364097594135642,236.40975941356422,False
-6,0,1875.612920393392,2.3644286891567314,236.44286891567313,False
-6,1,1876.0757255705616,2.365258857790478,236.5258857790478,False
-6,2,1876.8165501457947,2.366587730836428,236.65877308364279,False
-6,3,1877.8350650748832,2.3684147180631108,236.84147180631106,False
