name,Z,A,atomic_u,m_obs_MeV,m_pred_MeV,delta_m,delta_m_over_m,B_obs_MeV,B_pred_MeV,B_per_A_obs,B_per_A_pred
1H,1,1,1.00782503207,938.2720746944523,938.2720770661962,2.3717439034953713e-06,2.527778421059508e-09,1.346554768133501e-05,1.109380377783964e-05,1.346554768133501e-05,1.109380377783964e-05
2H,1,2,2.01410177812,1875.6129290424155,1875.612920393392,-8.64902358443942e-06,-4.611305163510007e-09,2.224579637584384,2.2245882866079683,1.112289818792192,1.1122941433039841
3H,1,3,3.01604927791,2808.9211160312643,2814.4376846564114,5.516568625147102,0.0019639457276541404,8.481813168735698,2.9652445435885966,2.8272710562452326,0.9884148478628655
3He,2,3,3.01602932265,2808.3915288742623,2813.142989066853,4.751460192590457,0.0016918795487519042,7.718067965737646,2.9666077731471887,2.5726893219125486,0.9888692577157295
4He,2,4,4.00260325413,3727.379327649196,3751.225840786784,23.846513137587863,0.00639766201435353,28.2956897108038,4.4491765732159365,7.07392242770095,1.1122941433039841
6Li,3,6,6.01512288742,5601.518498113292,5626.838761180176,25.320263066884763,0.0045202498350069105,31.99402792670844,6.673764859823677,5.33233798778474,1.1122941433039462
7Li,3,7,7.01600343426,6533.832824721656,6565.451628654287,31.618803932630726,0.004839242873340228,39.24512183834395,7.626317905713222,5.606445976906278,1.0894739865304603
9Be,4,9,9.012183065,8392.7513791769,8441.029224764692,48.2778455877924,0.00575232643106451,58.164076063099856,9.886230475307457,6.462675118122206,1.0984700528119395
10B,5,10,10.012936951,9324.436723009796,9378.06460196696,53.627878957164285,0.005751326385735177,64.75082039020344,11.12294143303916,6.475082039020345,1.112294143303916
11B,5,11,11.00930516,10252.547833532075,10316.619665023874,64.07183149179946,0.006249356992243972,76.20513038792524,12.13329889612578,6.927739126175021,1.1030271723750709
12C,6,12,12.0,11174.86323534,11253.677522360353,78.81428702035191,0.007052818934830923,92.16181673999927,13.347529719647355,7.680151394999939,1.1122941433039462
13C,6,13,13.0033548443,12109.482355439988,12192.217021792068,82.73466635208024,0.006832221553625125,97.10811716001263,14.373450807932386,7.469855166154817,1.1056500621486451
14N,7,14,14.00307400443,13040.203858227358,13129.290442753747,89.08658452638883,0.00683168649009901,104.65870253264256,15.572118006253731,7.4756216094744685,1.112294143303838
16O,8,16,15.99491461957,14895.080645240894,15004.903363147136,109.82271790624145,0.007373086492239352,127.6194241991052,17.796706292863746,7.976214012444075,1.1122941433039841
19F,9,19,18.99840316273,17692.301510930472,17819.02875056305,126.72723963257886,0.007162846481803714,147.8014877095302,21.074248076951335,7.779025668922642,1.1091709514184913
20Ne,10,20,19.9924401754,18617.730126869767,18756.12920393392,138.39907706415397,0.007433724526085568,160.6449599302323,22.24588286607832,8.032247996511614,1.112294143303916
23Na,11,23,22.989769282,21409.21351372948,21570.244404954476,161.0308912249966,0.00752156967941533,186.5645022705212,25.533611045524594,8.111500098718313,1.11015700197933
24Mg,12,24,23.9850417,22335.79290244777,22507.355044720705,171.56214227293458,0.007681041054698047,198.2572017122293,26.69505943929471,8.260716738009554,1.1122941433039462
27Al,13,27,26.98153853,25126.501028562994,25321.463077451117,194.9620488881228,0.00775921998317618,224.9520047970036,29.989955908880802,8.331555733222356,1.110739107736326
28Si,14,28,27.9769265332,26053.188084213416,26258.580885507494,205.3928012940778,0.007883595690100316,236.53703730658526,31.144236012507463,8.447751332378045,1.112294143303838
