name,Z_obs,A,Z_obs_over_A,Z_pred_optimal,Z_pred_over_A,delta_Z
1H,1,1,1.0,0.64540360056725,0.64540360056725,-0.35459639943275
2H,1,2,0.5,1.2908072011345,0.64540360056725,0.2908072011345
3H,1,3,0.3333333333333333,1.9362108017017499,0.64540360056725,0.9362108017017499
3He,2,3,0.6666666666666666,1.9362108017017499,0.64540360056725,-0.06378919829825014
4He,2,4,0.5,2.581614402269,0.64540360056725,0.581614402269
6Li,3,6,0.5,3.8724216034034997,0.64540360056725,0.8724216034034997
7Li,3,7,0.42857142857142855,4.51782520397075,0.64540360056725,1.5178252039707498
9Be,4,9,0.4444444444444444,5.80863240510525,0.64540360056725,1.80863240510525
10B,5,10,0.5,6.4540360056725,0.64540360056725,1.4540360056725001
11B,5,11,0.45454545454545453,7.09943960623975,0.64540360056725,2.0994396062397502
12C,6,12,0.5,7.7448432068069994,0.64540360056725,1.7448432068069994
13C,6,13,0.46153846153846156,8.39024680737425,0.64540360056725,2.3902468073742504
14N,7,14,0.5,9.0356504079415,0.64540360056725,2.0356504079414997
16O,8,16,0.5,10.326457609076,0.64540360056725,2.326457609076
19F,9,19,0.47368421052631576,12.26266841077775,0.64540360056725,3.2626684107777493
20Ne,10,20,0.5,12.908072011345,0.64540360056725,2.9080720113450003
23Na,11,23,0.4782608695652174,14.84428281304675,0.64540360056725,3.8442828130467497
24Mg,12,24,0.5,15.489686413613999,0.64540360056725,3.489686413613999
27Al,13,27,0.48148148148148145,17.42589721531575,0.64540360056725,4.42589721531575
28Si,14,28,0.5,18.071300815883,0.64540360056725,4.071300815882999
31P,15,31,0.4838709677419355,20.00751161758475,0.64540360056725,5.0075116175847505
32S,16,32,0.5,20.652915218152,0.64540360056725,4.652915218152
35Cl,17,35,0.4857142857142857,22.58912601985375,0.64540360056725,5.589126019853751
40Ar,18,40,0.45,25.81614402269,0.64540360056725,7.8161440226900005
39K,19,39,0.48717948717948717,25.17074042212275,0.64540360056725,6.170740422122751
40Ca,20,40,0.5,25.81614402269,0.64540360056725,5.8161440226900005
45Sc,21,45,0.4666666666666667,29.04316202552625,0.64540360056725,8.04316202552625
48Ti,22,48,0.4583333333333333,30.979372827227998,0.64540360056725,8.979372827227998
51V,23,51,0.45098039215686275,32.91558362892975,0.64540360056725,9.915583628929753
52Cr,24,52,0.46153846153846156,33.560987229497,0.64540360056725,9.560987229497002
55Mn,25,55,0.45454545454545453,35.49719803119875,0.64540360056725,10.49719803119875
56Fe,26,56,0.4642857142857143,36.142601631766,0.64540360056725,10.142601631765999
59Co,27,59,0.4576271186440678,38.078812433467746,0.64540360056725,11.078812433467746
60Ni,28,60,0.4666666666666667,38.724216034035,0.64540360056725,10.724216034035003
63Cu,29,63,0.4603174603174603,40.66042683573675,0.64540360056725,11.66042683573675
64Zn,30,64,0.46875,41.305830436304,0.64540360056725,11.305830436304
70Ge,32,70,0.45714285714285713,45.1782520397075,0.64540360056725,13.178252039707502
75As,33,75,0.44,48.40527004254375,0.64540360056725,15.405270042543748
80Se,34,80,0.425,51.63228804538,0.64540360056725,17.63228804538
84Kr,36,84,0.42857142857142855,54.213902447649,0.64540360056725,18.213902447648998
88Sr,38,88,0.4318181818181818,56.795516849918,0.64540360056725,18.795516849918002
