name,Z,A,B_obs,E_Coulomb,B_non_Coulomb,B_R64_pred,ratio_R64_to_nonC,gap
1H,1,1,1.346554768133501e-05,0.0,1.346554768133501e-05,1.109380377783964e-05,0.8238657676892776,2.3717439034953713e-06
2H,1,2,2.224579637584384,0.0,2.224579637584384,2.2245882866079683,1.0000038879361468,-8.64902358443942e-06
4He,2,4,28.2956897108038,0.89454394542536,29.19023365622916,4.4491765732159365,0.15242003971648538,24.741057083013224
6Li,3,6,31.99402792670844,2.344368346715185,34.338396273423626,6.673764859823677,0.19435284067092182,27.66463141359995
9Be,4,9,58.164076063099856,4.095988779673039,62.26006484277289,9.886230475307457,0.15878927367444018,52.373834367465435
12C,6,12,92.16181673999927,9.303631949441582,101.46544868944085,13.347529719647355,0.13154753556060889,88.1179189697935
16O,8,16,127.6194241991052,15.778766456563902,143.3981906556691,17.796706292863746,0.12410690965827867,125.60148436280537
20Ne,10,20,160.6449599302323,23.54096127631207,184.18592120654435,22.24588286607832,0.12077949671914388,161.94003834046603
24Mg,12,24,198.2572017122293,32.49090931607074,230.74811102830003,26.69505943929471,0.11568917864736367,204.05305158900532
28Si,14,28,236.53703730658526,42.55432697569947,279.09136428228476,31.144236012507463,0.11159154312279929,247.9471282697773
32S,16,32,271.78038507248857,53.67263672552159,325.4530217980102,35.59341258572749,0.10936574621150164,289.8596092122827
40Ca,20,40,342.052449086601,78.88999857698313,420.9424476635841,44.49176573215664,0.10569560275782479,376.4506819314275
48Ti,22,48,418.7036723936617,90.25818134853462,508.9618537421963,53.016093164224,0.10416516046225768,455.9457605779723
52Cr,24,52,456.3506352457407,105.00169551648288,561.3523307622236,57.493803231729544,0.10242017371454122,503.85852753049403
56Fe,26,56,492.2595698268051,120.62639894111439,612.8859687679195,61.96743732678442,0.1011076129730252,550.9185314411351
60Ni,28,60,526.8462951041874,137.1080836438545,663.954378748042,66.43781059674075,0.10006381872504018,597.5165681513013
64Zn,30,64,559.0981558943386,154.425,713.5231558943385,70.90553441364318,0.09937383787463679,642.6176214806953
84Kr,36,84,732.2660601957905,204.2690010992624,936.5350612950529,91.51581486858777,0.09771744662932161,845.0192464264651
90Zr,40,90,783.893206087625,247.154645170337,1031.047851257962,98.86230475308548,0.09588527305737114,932.1855465048766
120Sn,50,120,1020.5401063812897,352.6663457099977,1373.2064520912872,129.75063866795972,0.09448735000506263,1243.4558134233275
138Ba,56,138,1158.2930875265884,423.17113511521376,1581.464222641802,148.025670937408,0.0936003918508724,1433.438551704394
158Gd,64,158,1295.8878665562079,529.5331784966713,1825.4210450528792,169.3808882831654,0.09279003808036997,1656.0401567697138
184W,74,184,1472.9374353210442,674.3318212795222,2147.269256600566,196.79676449214458,0.09164978443537256,1950.4724921084216
197Au,79,197,1559.386385096208,751.8963339299007,2311.2827190261087,210.50059130901354,0.09107522397680147,2100.782127717095
208Pb,82,208,1636.4308837362332,795.9200436230809,2432.350927359314,220.96629984196625,0.09084474503926071,2211.384627517348
232Th,90,232,1766.6870390371187,925.5393116447948,2692.2263506819136,245.04321987560252,0.09101880301169163,2447.183130806311
238U,92,238,1801.6900694178476,959.1692546303799,2760.8593240482273,251.05126252857735,0.09093229066103331,2509.80806151965
