name,Z,A,B_obs,B_magic,B_refit,E_Coulomb,B_obs_nonCoulomb,ratio_magic,ratio_refit,ratio_refit_nonC
1H,1,1,1.346554768133501e-05,0.0,0.0,0.0,1.346554768133501e-05,0.0,0.0,0.0
2H,1,2,2.224579637584384,2.22456611001121,17.327161213892623,0.0,2.224579637584384,0.9999939190429755,7.788959730256167,7.788959730256167
3H,1,3,8.481813168735698,2.9652112666535686,23.085420665424408,0.0,8.481813168735698,0.3495963902604523,2.7217553848649003,2.7217553848649003
3He,2,3,7.718067965737646,2.966574511519866,23.096375073207582,0.9845730095779013,8.702640975315546,0.3843675029410471,2.9925073445502073,2.6539501214308268
4He,2,4,28.2956897108038,4.44913222002242,34.654322427785246,0.89454394542536,29.19023365622916,0.15723710096819665,1.2247208950186363,1.1871889357209737
6Li,3,6,31.99402792670844,6.673698330033403,51.981483641678096,2.344368346715185,34.338396273423626,0.20859200177362588,1.6247245817487155,1.5138005638868297
7Li,3,7,39.24512183834395,7.626240278090336,59.395716836686006,2.2269489035282657,41.472070741872216,0.19432326671079958,1.5134547697761043,1.4321859452442824
9Be,4,9,58.164076063099856,9.886130671504361,76.99908507282271,4.095988779673039,62.26006484277289,0.16996970193043723,1.3238254655552255,1.2367331333057665
10B,5,10,64.75082039020344,11.122830550055369,86.63580606946198,6.591056143730145,71.34187653393359,0.17177899033597746,1.337987774477212,1.2143752068009295
11B,5,11,76.20513038792524,12.133176915993317,94.50203552512903,6.38494924492105,82.59007963284628,0.1592173237448568,1.2401006998355972,1.1442298632624799
12C,6,12,92.16181673999927,13.347396660066806,103.96296728335619,9.303631949441582,101.46544868944085,0.14482566785463427,1.1280481544395933,1.024614473460415
13C,6,13,97.10811716001263,14.373306651386883,111.95090532865106,9.05868488702769,106.16680204704032,0.14801344183929407,1.1528480687580505,1.0544812801185057
14N,7,14,104.65870253264256,15.571962770076425,121.29012849724859,12.372713612490692,117.03141614513325,0.14878803571274546,1.1589110657990314,1.0363894797857869
16O,8,16,127.6194241991052,17.79652888008968,138.61728971114098,15.778766456563902,143.3981906556691,0.1394500013753742,1.086177050092919,0.9666599632626598
19F,9,19,147.8014877095302,21.0740373909357,164.14379159524833,19.157535757214205,166.95902346674438,0.14258339153088817,1.1105692786924797,0.9831381867655881
20Ne,10,20,160.6449599302323,22.245661100110738,173.27161213892396,23.54096127631207,184.18592120654435,0.13847718042179458,1.078599740783498,0.9407429786374324
23Na,11,23,186.5645022705212,25.533356006435497,198.8777770090419,27.46260656821452,214.0271088387357,0.13686074090027997,1.0660000942765966,0.9292176962446917
24Mg,12,24,198.2572017122293,26.694793320133613,207.92593456671239,32.49090931607074,230.74811102830003,0.1346472818620791,1.0487686337292164,0.9010948503115216
27Al,13,27,224.9520047970036,29.989656516681862,233.58815973310266,36.92,261.8720047970036,0.13331580015810257,1.0383911001099648,0.8919936283917562
28Si,14,28,236.53703730658526,31.14392554015285,242.58025699449718,42.55432697569947,279.09136428228476,0.1316661690481307,1.02554872487085,0.869178656309628
31P,15,31,262.916403681058,34.44410719077496,268.28407585762034,47.4632069458048,310.3796106268628,0.1310078287566981,1.0204158892385955,0.8643740331904418
32S,16,32,271.78038507248857,35.59305776017936,277.23457942228197,53.67263672552159,325.4530217980102,0.13096257020419658,1.0200683884833657,0.8518420812031833
35Cl,17,35,298.2100104161909,38.89734224421409,302.9704851664319,59.03885207049376,357.2488624866847,0.13043607151191128,1.0159634974815135,0.8480656398947223
40Ar,18,40,343.8106210449114,44.04311081096239,343.0373916108001,63.52720938041273,407.3378304253241,0.12810282206264104,0.9977510018981924,0.8421446916742686
39K,19,39,333.7242644256039,43.34973570681177,337.65031273762725,71.60273078819804,405.326995213802,0.1298968649505424,1.011764347788078,0.8330318896216705
40Ca,20,40,342.052449086601,44.491322200221475,346.5432242778479,78.88999857698313,420.9424476635841,0.13007163760712365,1.0131289081637593,0.8232555927807124
45Sc,21,45,387.85149003555125,49.82785894853441,388.1019701992627,83.83720693099387,471.68869696654514,0.12847149032215163,1.000645814622727,0.8227926017629147
48Ti,22,48,418.7036723936617,53.0155608908899,412.9261633006172,90.25818134853462,508.9618537421963,0.12661833269292444,0.9862014367822106,0.811310632151572
