name,Z,A,m_obs_MeV,m_Ma_MeV,E_Coulomb_MeV,m_total_MeV,B_obs_MeV,B_pred_MeV,B_per_A_obs,B_per_A_pred,rel_err_mass,rel_err_binding
1H,1,1,938.2720746944523,938.2777412892348,0.0,938.2777412892348,1.346554768133501e-05,-0.005653129234815424,1.346554768133501e-05,-0.005653129234815424,6.039394047128688e-06,0
2H,1,2,1875.6129290424155,1860.5215571200763,0.0,1860.5215571200763,2.224579637584384,17.315951559923633,1.112289818792192,8.657975779961816,-0.008046101457641407,6.783920731525979
3H,1,3,2808.9211160312643,2794.334344416404,0.0,2794.334344416404,8.481813168735698,23.06858478359618,2.8272710562452326,7.689528261198727,-0.005193015756693869,1.719770445855599
3He,2,3,2808.3915288742623,2793.030049790237,0.9845730095779013,2794.0146227998152,7.718067965737646,22.094974040184752,2.5726893219125486,7.36499134672825,-0.00511926699914597,1.8627597137353078
4He,2,4,3727.379327649196,3721.0431142401526,0.89454394542536,3721.937658185578,28.2956897108038,33.73735917442173,7.07392242770095,8.434339793605432,-0.0014599183461828954,0.19231443089864675
6Li,3,6,5601.518498113292,5581.564671360229,2.344368346715185,5583.909039706944,31.99402792670844,49.603486333056026,5.33233798778474,8.267247722176004,-0.003143693698820921,0.5503982945406916
7Li,3,7,6533.832824721656,6513.721474935767,2.2269489035282657,6515.948423839295,39.24512183834395,57.1295227207047,5.606445976906278,8.1613603886721,-0.0027371990318902344,0.45571016331734315
9Be,4,9,8392.7513791769,8373.966823369441,4.095988779673039,8378.062812149114,58.164076063099856,72.85264309088598,6.462675118122206,8.094738121209552,-0.0017501491899580932,0.2525367550212796
10B,5,10,9324.436723009796,9302.607785600381,6.591056143730145,9309.198841744112,64.75082039020344,79.98870165588778,6.475082039020345,7.998870165588778,-0.0016341878569546197,0.23533109192836993
11B,5,11,10252.547833532075,10234.312590191967,6.38494924492105,10240.697539436887,76.20513038792524,88.0554244831128,6.927739126175021,8.005038589373891,-0.001155838947313163,0.1555052006979474
12C,6,12,11174.86323534,11163.129342720458,9.303631949441582,11172.4329746699,92.16181673999927,94.59207741009959,7.680151394999939,7.8826731175083,-0.0002174756521775349,0.02636949613261653
13C,6,13,12109.482355439988,12094.712437989114,9.05868488702769,12103.771122876142,97.10811716001263,102.81934972385898,7.469855166154817,7.9091807479891525,-0.00047163308853418275,0.05881313252563128
14N,7,14,13040.203858227358,13023.650899840533,12.372713612490692,13036.023613453024,104.65870253264256,108.83894730697648,7.4756216094744685,7.774210521926891,-0.00032056590677426443,0.03994168352154103
16O,8,16,14895.080645240894,14884.17245696061,15.778766456563902,14899.951223417174,127.6194241991052,122.74884602282509,7.976214012444075,7.671802876426568,0.0003269924005303252,-0.038164865629555594
19F,9,19,17692.301510930472,17676.065705450717,19.157535757214205,17695.223241207932,147.8014877095302,144.87975743207062,7.779025668922642,7.625250391161612,0.000165141334249504,-0.019767935510916927
20Ne,10,20,18617.730126869767,18605.215571200762,23.54096127631207,18628.756532477073,160.6449599302323,149.61855432292577,8.032247996511614,7.480927716146288,0.0005922529509326604,-0.06863835387114078
23Na,11,23,21409.21351372948,21397.029156224886,27.46260656821452,21424.4917627931,186.5645022705212,171.28625320690116,8.111500098718313,7.447228400300051,0.0007136296274415807,-0.08189258341046221
24Mg,12,24,22335.79290244777,22326.258685440916,32.49090931607074,22358.749594756988,198.2572017122293,175.30050940301226,8.260716738009554,7.304187891792178,0.0010277984045375535,-0.11579247619230859
27Al,13,27,25126.501028562994,25118.016209830996,36.92,25154.936209830994,224.9520047970036,196.5168235290039,8.331555733222356,7.278400871444588,0.0011316808988117975,-0.1264055472351073
28Si,14,28,26053.188084213416,26047.301799681067,42.55432697569947,26089.856126656767,236.53703730658526,199.86899486323455,8.447751332378045,7.138178387972663,0.0014074301511517982,-0.1550202998265501
31P,15,31,28844.21164703894,28839.017730123815,47.4632069458048,28886.48093706962,262.916403681058,220.64711365037874,8.481174312292193,7.117648827431572,0.0014654340547739842,-0.16077083604854048
32S,16,32,29773.61975380751,29768.34491392122,53.67263672552159,29822.017550646742,271.78038507248857,223.38258823325668,8.493137033515268,6.980705882289271,0.00162552612814378,-0.1780768572622463
35Cl,17,35,32564.59305766381,32560.028757289612,59.03885207049376,32619.067609360107,298.2100104161909,243.73545871989336,8.52028601189117,6.96387024913981,0.0016728153672866926,-0.1826717742314258
40Ar,18,40,37215.52621727509,37216.52367649614,63.52720938041273,37280.05088587655,343.8106210449114,279.28595244344615,8.595265526122784,6.982148811086153,0.0017338104592355195,-0.18767502994922455
39K,19,39,36284.7538210144,36281.04636623269,71.60273078819804,36352.64909702088,333.7242644256039,265.8289884191181,8.55703242116933,6.816127908182516,0.001871179182898689,-0.20344722648005562
40Ca,20,40,37214.6977245134,37210.431142401525,78.88999857698313,37289.32114097851,342.052449086601,267.4290326214905,8.551311227165025,6.685725815537262,0.0020052135588341994,-0.2181636666083841
45Sc,21,45,41865.432453804446,41865.4342131426,83.83720693099387,41949.27142007359,387.85149003555125,304.0125237664033,8.618922000790027,6.7558338614756295,0.002002582115009998,-0.21616254783876965
48Ti,22,48,44651.98320064634,44658.0297746469,90.25818134853462,44748.28795599544,418.7036723936617,322.39891704456386,8.722993174867952,6.716644105095081,0.0021567856217347995,-0.23000695169101099
51V,23,51,47442.24256084784,47450.83006342773,96.8765818291576,47547.70664525689,445.8472413921627,340.3831569831091,8.742102772395347,6.6741795486884135,0.0022229995614939345,-0.23654757642940866
52Cr,24,52,48370.01125515426,48378.849751956455,105.00169551648288,48483.85144747294,456.3506352457407,342.510442927065,8.775973754725783,6.5867392870589425,0.0023535283404868958,-0.24945772729641053
55Mn,25,55,51161.68948580246,51171.56295095984,112.018229098428,51283.58118005827,482.07533379753295,360.18363954172673,8.765006069046054,6.548793446213213,0.0023824798492948825,-0.2528478138377426
56Fe,26,56,52089.77733793319,52099.701601905304,120.62639894111439,52220.32800084642,492.2595698268051,361.70890691357636,8.790349461192948,6.45908762345672,0.0025062626408686563,-0.2652069577015257
