name,Z,A,B_obs,B_pred,B_per_A_obs,B_per_A_pred,rel_err
1H,1,1,1.346554768133501e-05,-0.005653129234815424,1.346554768133501e-05,-0.005653129234815424,0
2H,1,2,2.224579637584384,17.315951559923633,1.112289818792192,8.657975779961816,6.783920731525979
3H,1,3,8.481813168735698,23.06858478359618,2.8272710562452326,7.689528261198727,1.719770445855599
3He,2,3,7.718067965737646,23.079547049762823,2.5726893219125486,7.693182349920941,1.9903270031073146
4He,2,4,28.2956897108038,34.631903119847266,7.07392242770095,8.657975779961816,0.22392857264844077
6Li,3,6,31.99402792670844,51.9478546797709,5.33233798778474,8.657975779961816,0.6236734805249423
7Li,3,7,39.24512183834395,59.356471624232654,5.606445976906278,8.47949594631895,0.5124547674671548
9Be,4,9,58.164076063099856,76.94863187055853,6.462675118122206,8.549847985617614,0.3229580366252198
10B,5,10,64.75082039020344,86.57975779961816,6.475082039020345,8.657975779961816,0.3371221750993808
11B,5,11,76.20513038792524,94.44037372803359,6.927739126175021,8.585488520730326,0.23929154437871997
12C,6,12,92.16181673999927,103.8957093595418,7.680151394999939,8.657975779961816,0.12731837364540458
13C,6,13,97.10811716001263,111.87803461088697,7.469855166154817,8.606002662375921,0.15209766065731456
14N,7,14,104.65870253264256,121.21166091946725,7.4756216094744685,8.657975779961946,0.15816131851684187
16O,8,16,127.6194241991052,138.52761247938906,7.976214012444075,8.657975779961816,0.08547435744002008
19F,9,19,147.8014877095302,164.03729318928526,7.779025668922642,8.633541746804488,0.10984872839482382
20Ne,10,20,160.6449599302323,173.15951559923633,8.032247996511614,8.657975779961816,0.07790195020397205
23Na,11,23,186.5645022705212,198.7488597751144,8.111500098718313,8.641254772831061,0.06530908804358568
24Mg,12,24,198.2572017122293,207.7914187190836,8.260716738009554,8.657975779961816,0.048090142121007234
27Al,13,27,224.9520047970036,233.43682352900214,8.331555733222356,8.64580827885193,0.037718351252993804
28Si,14,28,236.53703730658526,242.4233218389345,8.447751332378045,8.657975779961946,0.02488525517769035
31P,15,31,262.916403681058,268.11032059618447,8.481174312292193,8.648720019231757,0.019755012781276168
32S,16,32,271.78038507248857,277.0552249587781,8.493137033515268,8.657975779961816,0.019408464245433545
35Cl,17,35,298.2100104161909,302.774310790388,8.52028601189117,8.650694594011085,0.015305657807485972
40Ar,18,40,343.8106210449114,342.8131618238622,8.595265526122784,8.570329045596555,-0.0029011879214717907
39K,19,39,333.7242644256039,337.431719207314,8.55703242116933,8.652095364290103,0.011109335391273603
40Ca,20,40,342.052449086601,346.31903119847266,8.551311227165025,8.657975779961816,0.012473473361365905
45Sc,21,45,387.85149003555125,387.849730697395,8.618922000790027,8.618882904386556,-4.536112923275562e-06
48Ti,22,48,418.7036723936617,412.6570983931015,8.722993174867952,8.597022883189615,-0.014441177374903162
51V,23,51,445.8472413921627,437.25973881226673,8.742102772395347,8.573720368867976,-0.019261087167616844
52Cr,24,52,456.3506352457407,447.5121384435479,8.775973754725783,8.606002662375921,-0.01936777582753527
55Mn,25,55,482.07533379753295,472.20186864015704,8.765006069046054,8.585488520730127,-0.020481166459188026
56Fe,26,56,492.2595698268051,482.3353058546927,8.790349461192948,8.613130461690941,-0.02016063187071021
59Co,27,59,517.3138907029715,507.10194089418655,8.768032045813078,8.594948150748925,-0.019740335591816604
