name,Z,A,B_obs,B_pred,B_per_A_obs,B_per_A_pred,rel_err
1H,1,1,1.346554768133501e-05,-0.005653129234815424,1.346554768133501e-05,-0.005653129234815424,0
2H,1,2,2.224579637584384,17.315951559923633,1.112289818792192,8.657975779961816,6.783920731525979
3H,1,3,8.481813168735698,23.06858478359618,2.8272710562452326,7.689528261198727,1.719770445855599
3He,2,3,7.718067965737646,22.094974040184752,2.5726893219125486,7.36499134672825,1.8627597137353078
4He,2,4,28.2956897108038,33.73735917442173,7.07392242770095,8.434339793605432,0.19231443089864675
6Li,3,6,31.99402792670844,49.603486333056026,5.33233798778474,8.267247722176004,0.5503982945406916
7Li,3,7,39.24512183834395,57.1295227207047,5.606445976906278,8.1613603886721,0.45571016331734315
9Be,4,9,58.164076063099856,72.85264309088598,6.462675118122206,8.094738121209552,0.2525367550212796
10B,5,10,64.75082039020344,79.98870165588778,6.475082039020345,7.998870165588778,0.23533109192836993
11B,5,11,76.20513038792524,88.0554244831128,6.927739126175021,8.005038589373891,0.1555052006979474
12C,6,12,92.16181673999927,94.59207741009959,7.680151394999939,7.8826731175083,0.02636949613261653
13C,6,13,97.10811716001263,102.81934972385898,7.469855166154817,7.9091807479891525,0.05881313252563128
14N,7,14,104.65870253264256,108.83894730697648,7.4756216094744685,7.774210521926891,0.03994168352154103
16O,8,16,127.6194241991052,122.74884602282509,7.976214012444075,7.671802876426568,-0.038164865629555594
19F,9,19,147.8014877095302,144.87975743207062,7.779025668922642,7.625250391161612,-0.019767935510916927
20Ne,10,20,160.6449599302323,149.61855432292577,8.032247996511614,7.480927716146288,-0.06863835387114078
23Na,11,23,186.5645022705212,171.28625320690116,8.111500098718313,7.447228400300051,-0.08189258341046221
24Mg,12,24,198.2572017122293,175.30050940301226,8.260716738009554,7.304187891792178,-0.11579247619230859
27Al,13,27,224.9520047970036,196.5168235290039,8.331555733222356,7.278400871444588,-0.1264055472351073
28Si,14,28,236.53703730658526,199.86899486323455,8.447751332378045,7.138178387972663,-0.1550202998265501
31P,15,31,262.916403681058,220.64711365037874,8.481174312292193,7.117648827431572,-0.16077083604854048
32S,16,32,271.78038507248857,223.38258823325668,8.493137033515268,6.980705882289271,-0.1780768572622463
35Cl,17,35,298.2100104161909,243.73545871989336,8.52028601189117,6.96387024913981,-0.1826717742314258
40Ar,18,40,343.8106210449114,279.28595244344615,8.595265526122784,6.982148811086153,-0.18767502994922455
39K,19,39,333.7242644256039,265.8289884191181,8.55703242116933,6.816127908182516,-0.20344722648005562
40Ca,20,40,342.052449086601,267.4290326214905,8.551311227165025,6.685725815537262,-0.2181636666083841
45Sc,21,45,387.85149003555125,304.0125237664033,8.618922000790027,6.7558338614756295,-0.21616254783876965
48Ti,22,48,418.7036723936617,322.39891704456386,8.722993174867952,6.716644105095081,-0.23000695169101099
51V,23,51,445.8472413921627,340.3831569831091,8.742102772395347,6.6741795486884135,-0.23654757642940866
52Cr,24,52,456.3506352457407,342.510442927065,8.775973754725783,6.5867392870589425,-0.24945772729641053
55Mn,25,55,482.07533379753295,360.18363954172673,8.765006069046054,6.548793446213213,-0.2528478138377426
56Fe,26,56,492.2595698268051,361.70890691357636,8.790349461192948,6.45908762345672,-0.2652069577015257
