n_t,abs_n_r,mass_min,mass_max,mass_avg,count_in_pair,n_strands,n_baryons,cum_baryons
1,2,334.5797892757468,335.78767892822265,335.1837341019847,2,12,4,4
1,3,363.29664341245035,364.9644448532667,364.1305441328585,2,12,4,8
1,4,400.1531783201317,402.1716374585646,401.1624078893482,2,12,4,12
1,5,443.12298564467756,445.4012856146164,444.262135629647,2,12,4,16
1,6,490.60237868930386,493.0718849825075,491.83713183590567,2,12,4,20
1,7,541.4062308715639,544.0172438216027,542.7117373465833,2,12,4,24
1,8,594.6831248316224,597.4001495415808,596.0416371866016,2,12,4,28
2,1,623.10463956266,623.7540555160443,623.4293475393522,2,12,4,32
2,3,647.9497349673912,649.8215515269653,648.8856432471782,2,12,4,36
1,9,649.8250767510077,652.622720299679,651.2238985253434,2,12,4,40
2,5,695.5627386311838,698.4670164103045,697.0148775207442,2,12,4,44
1,10,706.3954565761328,709.2553776408066,707.8254171084698,2,12,4,48
2,7,761.685883306178,765.397605382531,763.5417443443545,2,12,4,52
1,11,764.0770583196128,766.9858314567833,765.531444888198,2,12,4,56
1,12,822.6361652099323,825.5838175984937,824.109991404213,2,12,4,60
2,9,841.9693838921415,846.2860112075069,844.1276975498242,2,12,4,64
1,13,881.897992317849,884.8770046664978,883.3874984921733,2,12,4,68
3,1,932.1086140155438,932.7599172425229,932.4342656290333,2,12,4,72
2,11,932.7640104139484,937.5263880732705,935.1451992436095,2,12,4,76
3,2,938.2777412892348,939.5713435303506,938.9245424097927,2,12,4,80
1,14,941.7298852002112,944.734505655744,943.2321954279776,2,12,4,84
3,4,963.1896597236331,965.7083929260056,964.4490263248193,2,12,4,88
3,5,981.6134014577115,984.7019063568824,983.1576539072969,2,12,4,92
1,15,1002.0297319871067,1005.0555000832805,1003.5426160351936,2,12,4,96
3,7,1029.3288426994934,1033.4505458217043,1031.3896942605988,2,12,4,100
2,13,1031.2973150179887,1036.3882675088098,1033.8427912633992,2,12,4,104
3,8,1058.1305749206608,1062.712130692187,1060.4213528064238,2,12,4,108
1,16,1062.7178789194727,1065.7612910969806,1064.2395850082266,2,12,4,112
1,17,1123.7314162405771,1126.7896876683567,1125.2605519544668,2,12,4,116
3,10,1124.3563073001494,1129.7446856208833,1127.0504964605163,2,12,4,120
2,15,1135.55660445929,1140.8920855427618,1138.224345001026,2,12,4,124
3,11,1161.2887025974542,1167.026989660384,1164.1578461289191,2,12,4,128
1,18,1185.0200845551112,1188.0909772205168,1186.555530887814,2,12,4,132
4,1,1241.6526681738537,1242.3046358440631,1241.9786520089583,2,12,4,136
3,13,1241.6569730228143,1247.999107474071,1244.8280402484427,2,12,4,140
2,17,1244.1031504770465,1249.6231663210765,1246.8631583990614,2,12,4,144
1,19,1246.5433025105679,1249.6249994905884,1248.084151000578,2,12,4,148
4,3,1253.982091441042,1255.9177780507966,1254.9499347459193,2,12,4,152
4,5,1278.9175188629054,1282.079295260808,1280.4984070618566,2,12,4,156
3,14,1284.686063408889,1291.2871911427094,1287.986627275799,2,12,4,160
1,20,1308.2679804042073,1311.3589927372682,1309.8134865707377,2,12,4,164
4,7,1315.7424336024321,1320.0433214773107,1317.8928775398713,2,12,4,168
2,19,1355.9077008597274,1361.5691542799111,1358.7384275698191,2,12,4,172
4,9,1363.4938504583179,1368.8281919018361,1366.1610211800771,2,12,4,176
3,16,1375.5444976752763,1382.590388857643,1379.0674432664596,2,12,4,180
4,11,1421.07072520028,1427.3247929051222,1424.1977590527013,2,12,4,184
3,17,1423.0673932711613,1430.3037855507055,1426.6855894109335,2,12,4,188
4,13,1487.3324204537635,1494.3930898749663,1490.862755164365,2,12,4,192
3,19,1521.6468003617917,1529.2110017930743,1525.428901077433,2,12,4,196
5,1,1551.4135593156097,1552.065835217317,1551.7396972664633,2,12,4,200
5,2,1554.9976908475069,1556.2989649106878,1555.6483278790975,2,12,4,204
5,3,1561.1690825582693,1563.1128810157404,1562.1409817870049,2,12,4,208
4,15,1561.1734845853775,1568.9342072943818,1565.0538459398797,2,12,4,212
5,4,1569.897222563496,1572.4740343466974,1571.1856284550968,2,12,4,216
3,20,1572.4818039023944,1580.1869893940172,1576.3343966482057,2,12,4,220
5,6,1594.8435526446094,1598.6468985786319,1596.7452256116208,2,12,4,224
5,7,1610.9457595880838,1615.3378947075837,1613.1418271478337,2,12,4,228
5,8,1629.3752859729948,1634.3373033445632,1631.856294658779,2,12,4,232
4,17,1641.5714319334538,1649.9356301682953,1645.7535310508747,2,12,4,236
5,9,1650.0541518466382,1655.5656517972425,1652.8099018219405,2,12,4,240
5,11,1697.822241827992,1704.3673130728978,1701.0947774504448,2,12,4,244
5,12,1724.733934315255,1731.761831784203,1728.247883049729,2,12,4,248
4,19,1727.6110906207014,1736.4935409345035,1732.0523157776024,2,12,4,252
5,13,1753.5424781833283,1761.030222755938,1757.2863504696331,2,12,4,256
5,14,1784.1559911314027,1792.080675688759,1788.1183334100808,2,12,4,260
5,16,1850.4343420747407,1859.1655255672042,1854.7999338209725,2,12,4,264
6,1,1861.2830304005925,1861.9354739200317,1861.609252160312,2,12,4,268
6,5,1885.9172121469205,1889.1346378686228,1887.5259250077715,2,12,4,272
5,17,1885.9216659427634,1895.0234964297483,1890.4725811862559,2,12,4,276
6,7,1910.8694703384144,1915.3136717424677,1913.091571040441,2,12,4,280
5,18,1922.8601366446492,1932.31181538231,1927.5859760134795,2,12,4,284
5,19,1961.167759117977,1970.9493019845356,1966.0585305512564,2,12,4,288
6,11,1984.4562296141007,1991.17744434915,1987.8168369816253,2,12,4,292
6,13,2032.2333823253698,2039.9882321811106,2036.1108072532402,2,12,4,296
6,17,2147.3127619395395,2156.907119911892,2152.109940925716,2,12,4,300
6,19,2213.600163072774,2224.0009639978152,2218.8005635352947,2,12,4,304
