config,sigma_t,r_fm,E_strong_MeV,E_coulomb_MeV,E_total_MeV
pp (two protons),-0.01,0.1,846.508956921152,14.399645474109542,860.9086023952616
pp (two protons),-0.01,0.10269700752844653,809.194836130335,14.021484968898356,823.2163210992334
pp (two protons),-0.01,0.10546675355297805,773.3296359491376,13.653255636503797,786.9828915856414
pp (two protons),-0.01,0.10831119983631005,738.8692968593834,13.294696666523523,752.163993525907
pp (two protons),-0.01,0.1112323610500461,705.7705082976747,12.945554097903935,718.7160623955787
pp (two protons),-0.01,0.11423230620163467,673.9907085819261,12.60558063906398,686.5962892209901
pp (two protons),-0.01,0.11731316009981085,643.4880864294103,12.274535492742864,655.7626219221531
pp (two protons),-0.01,0.12047710485956133,614.2215838601194,11.952184185447544,626.1737680455669
pp (two protons),-0.01,0.12372638144767811,586.1509002719602,11.638298401379274,597.7891986733395
pp (two protons),-0.01,0.12706329126999646,559.23649746983,11.332655820721481,570.5691532905515
pp (two protons),-0.01,0.13049019780144022,533.4396054290353,11.03503996217455,544.4746453912098
pp (two protons),-0.01,0.13400952826002985,508.7222285747782,10.745240029625888,519.4674686044041
pp (two protons),-0.01,0.13762377532603856,485.04715236353354,10.463050762846727,495.51020312638025
pp (two protons),-0.01,0.14133549890751418,462.3779499588734,10.18827229210989,472.5662222509833
pp (two protons),-0.01,0.1451473279534173,440.6789888035462,9.92070999662555,450.5996988001717
pp (two protons),-0.01,0.14906196231566,419.91543690108006,9.66017436669473,429.5756112677748
pp (two protons),-0.01,0.15308217466136348,400.0532686336312,9.406480869482893,409.4597495031141
pp (two protons),-0.01,0.15721081243669013,381.05926995789036,9.159449818318558,390.2187197762089
pp (two protons),-0.01,0.1614507998836396,362.90104283728783,8.918906245424376,371.8199490827122
pp (two protons),-0.01,0.16580514011123854,345.54700878613835,8.684679777990498,354.23168856412883
pp (two protons),-0.01,0.17027691722259,328.9664114194245,8.456604517502504,337.423015936927
pp (two protons),-0.01,0.17486929849928992,313.12931792025597,8.23451892223838,321.3638368424944
