config,sigma_t,r_fm,E_strong_MeV,E_coulomb_MeV,E_total_MeV
pp (two protons),-116.1,0.1,2166.657190365786,14.399645474109542,2181.0568358398955
pp (two protons),-116.1,0.10133615248127867,2120.417855335494,14.209781130944165,2134.627636466438
pp (two protons),-116.1,0.10269015799708957,2074.929544960575,14.022420215302091,2088.9519651758774
pp (two protons),-116.1,0.10406225509119667,2030.1834622397776,13.837529718619088,2044.0209919583967
pp (two protons),-116.1,0.1054526854946722,1986.1709100571177,13.65507706756037,1999.825987124678
pp (two protons),-116.1,0.10686169416848425,1942.8832888229929,13.475030118281898,1956.3583189412748
pp (two protons),-116.1,0.10828952934665284,1900.3120941313357,13.297357150767438,1913.6094512821032
pp (two protons),-116.1,0.10973644257998312,1858.448914433831,13.122026863240201,1871.5709412970714
pp (two protons),-116.1,0.11120268878038247,1817.285428732376,12.949008366648252,1830.2344370990243
pp (two protons),-116.1,0.11268852626577014,1776.8134042910003,12.778271179222553,1789.591675470223
pp (two protons),-116.1,0.1141942168055866,1737.024694368584,12.609785221106824,1749.634479589691
pp (two protons),-116.1,0.11572002566691114,1697.9112359737558,12.443520809058171,1710.3547567828139
pp (two protons),-116.1,0.11726622166119585,1659.4650476434697,12.27944865121759,1671.7444962946872
pp (two protons),-116.1,0.11883307719162366,1621.6782272468292,12.117539841949451,1633.7957670887786
pp (two protons),-116.1,0.12042086830109933,1584.5429498157807,11.957765856749008,1596.5007156725299
pp (two protons),-116.1,0.12202987472088175,1548.0514654044002,11.800098547217042,1559.8515639516172
pp (two protons),-116.1,0.12366037991986606,1512.1960969785493,11.644510136100786,1523.84060711465
pp (two protons),-116.1,0.12531267115452394,1476.9692383377512,11.490973212400236,1488.4602115501514
pp (two protons),-116.1,0.12698703951951168,1442.3633520711799,11.339460726538967,1453.702812797719
pp (two protons),-116.1,0.12868377999895392,1408.370967549736,11.189945985598651,1419.5609135353345
pp (two protons),-116.1,0.13040319151841312,1374.9846789561846,11.042402648616383,1386.027081604801
pp (two protons),-116.1,0.13214557699755294,1342.1971433554384,10.896804721944038,1353.0939480773825
pp (two protons),-116.1,0.13391124340350574,1310.001078807017,10.753126554668796,1320.7542053616858
pp (two protons),-116.1,0.1357005018049528,1278.3892625218184,10.611342834094064,1289.0006053559125
pp (two protons),-116.1,0.13751366742692722,1247.354529065299,10.471428581279971,1257.825957646579
pp (two protons),-116.1,0.13935105970634942,1216.8897686091798,10.333359146642668,1227.2231277558224
pp (two protons),-116.1,0.14121300234830386,1186.9879252338121,10.197110205611672,1197.1850354394237
pp (two protons),-116.1,0.14309982338306884,1157.6419952832855,10.062657754344418,1167.70465303763
pp (two protons),-116.1,0.14501185522390705,1128.8450257753768,9.92997810549739,1138.7750038808742
pp (two protons),-116.1,0.14694943472562952,1100.5901128683538,9.799047884052932,1110.3891607524067
pp (two protons),-116.1,0.14891290324394094,1072.8704003866694,9.669844023201156,1082.5402444098706
pp (two protons),-116.1,0.15090260669557895,1045.6790784074358,9.542343760276088,1055.2214221677118
pp (two protons),-116.1,0.15291889561925612,1019.0093819095871,9.416524632745443,1028.4259065423325
pp (two protons),-116.1,0.1549621252374167,992.8545894874799,9.292364474253253,1002.1469539617332
pp (two protons),-116.1,0.15703265551881856,967.2080221306467,9.169841410714673,976.3778635413613
pp (two protons),-116.1,0.15913085124195103,942.0630420712662,9.048933856462286,951.1119759277285
pp (two protons),-116.1,0.1612570820593002,917.4130517008277,8.929620510443232,926.342672211271
pp (two protons),-116.1,0.16341172256247308,893.2514925573207,8.811880352466446,902.0633729097872
pp (two protons),-116.1,0.16559515234819178,869.5718443841399,8.695692639499407,878.2675370236393
