sigma_pS_tube,signature_ok,alpha_ratio_electron,alpha_ratio_muon,alpha_ratio_R64 proton,alpha_ratio_R64 neutron,alpha_ratio_R64 deuteron,alpha_ratio_R64 pp,alpha_ratio_R64 nn,alpha_ratio_π⁰,alpha_ratio_π±,alpha_ratio_K±,alpha_ratio_ρ
-0.5,0,0.590921162087448,0.5909211620874478,0.021210341036269387,0.02639487091656986,0.09492726658907648,0.08484136414507755,0.10557948366627944,2.3636846483497918,9.454738593399167,5.337711202627666,5.337711202627666
-0.4975,0,0.5907370994912641,0.5907370994912635,0.021687286901397512,0.026929476477336414,0.09695007621650374,0.08674914760559005,0.10771790590934566,2.362948397965055,9.45179359186022,5.336061677758109,5.336061677758109
-0.495,0,0.5905500753724643,0.5905500753724637,0.022177415713653875,0.02747826019490624,0.09902760313164442,0.0887096628546155,0.10991304077962497,2.3622003014898563,9.448801205959427,5.334385610359617,5.334385610359617
-0.4925,0,0.5903600249771804,0.5903600249771804,0.022681166581792478,0.02804168478625277,0.10116165087283577,0.09072466632716991,0.11216673914501107,2.3614400999087217,9.445760399634887,5.332682420021449,5.332682420021449
-0.49,0,0.590166881748804,0.5901668817488035,0.023198995859046227,0.028620230931565262,0.10335409339047102,0.0927959834361849,0.11448092372626105,2.3606675269952153,9.442670107980863,5.330951510172401,5.330951510172401
-0.4875,0,0.5899705772666815,0.5899705772666809,0.023731377926937736,0.029214398084918013,0.1056068782358387,0.09492551170775095,0.11685759233967205,2.3598823090667245,9.439529236266898,5.329192267531181,5.329192267531181
-0.485,0,0.5897710411823417,0.5897710411823415,0.02427880601970999,0.029824705326753312,0.10792202991482433,0.09711522407883996,0.11929882130701325,2.3590841647293663,9.436336658917467,5.327404061534636,5.327404061534636
-0.4825,0,0.589568201153132,0.5895682011531316,0.024841793091747666,0.030451692260610556,0.11030165341607985,0.09936717236699066,0.12180676904244223,2.3582728046125268,9.433091218450112,5.325586243742763,5.325586243742763
-0.48,0,0.5893619827731428,0.5893619827731421,0.02542087273051455,0.031095919956692235,0.11274793792389355,0.1016834909220582,0.12438367982676894,2.3574479310925702,9.429791724370283,5.3237381472194,5.3237381472194
-0.4775,0,0.5891523095012922,0.5891523095012922,0.02601660011769737,0.03175797194502626,0.11526316072665937,0.10406640047078948,0.12703188778010505,2.3566092380051686,9.426436952020675,5.321859085887427,5.321859085887427
