variant,m_med_MeV,g_sq,pn_bound_states,B_2H_MeV,a_t_fm,nn_bound_states,pp_bound_states
V1 — Pure Yukawa (m=m_π),140.0,0.05,0,,-0.5505479617537666,0,0
V1 — Pure Yukawa (m=m_π),140.0,0.1,0,,-1.4178135751358854,0,0
V1 — Pure Yukawa (m=m_π),140.0,0.2,0,,-7.281483601245278,0,0
V1 — Pure Yukawa (m=m_π),140.0,0.3,1,0.3175410934721073,12.440701716033779,1,0
V1 — Pure Yukawa (m=m_π),140.0,0.4,1,3.756572275600572,4.305971967483497,1,1
V1 — Pure Yukawa (m=m_π),140.0,0.5,1,11.012683874519027,2.4440263451460296,1,1
V1 — Pure Yukawa (m=m_π),140.0,0.7,1,37.23552766911171,-0.06571850587934763,1,1
V1 — Pure Yukawa (m=m_π),140.0,1.0,0,,12042.440179870435,0,0
V1 — Pure Yukawa (m=m_π),140.0,1.5,1,9.76634153723568,3.337849847480694,1,1
V1 — Pure Yukawa (m=m_π),140.0,2.0,1,41.03118663367606,-2.8055583491791625,1,1
"V2 — Pure Yukawa (m=R64(0,4)≈254)",254.0,0.1,0,,-0.3330272828106546,0,0
"V2 — Pure Yukawa (m=R64(0,4)≈254)",254.0,0.2,0,,-0.8918498120828005,0,0
"V2 — Pure Yukawa (m=R64(0,4)≈254)",254.0,0.3,0,,-2.0344791423294617,0,0
"V2 — Pure Yukawa (m=R64(0,4)≈254)",254.0,0.5,1,0.07429454485619455,19.044007085244118,1,0
"V2 — Pure Yukawa (m=R64(0,4)≈254)",254.0,0.7,1,8.80618516906672,2.7706933653109367,1,1
"V2 — Pure Yukawa (m=R64(0,4)≈254)",254.0,1.0,1,48.487797104894476,1.0865515828040277,1,1
"V2 — Pure Yukawa (m=R64(0,4)≈254)",254.0,1.5,0,,-1.3355597459791537,0,0
"V2 — Pure Yukawa (m=R64(0,4)≈254)",254.0,2.0,1,0.582264059151875,9.842836782168567,1,1
"V2 — Pure Yukawa (m=R64(0,4)≈254)",254.0,3.0,1,46.66341370727599,1.4094457441318082,1,1
"V2 — Pure Yukawa (m=R64(0,4)≈254)",254.0,5.0,1,7.937772041139831,3.86446968690256,1,1
V3 — Hybrid 1/r² hard core + Yukawa(m_π),140.0,0.05,0,,12.554600328754534,0,0
V3 — Hybrid 1/r² hard core + Yukawa(m_π),140.0,0.1,0,,12.568582023885908,0,0
V3 — Hybrid 1/r² hard core + Yukawa(m_π),140.0,0.2,0,,12.60473004468596,0,0
V3 — Hybrid 1/r² hard core + Yukawa(m_π),140.0,0.3,0,,12.658341170439256,0,0
V3 — Hybrid 1/r² hard core + Yukawa(m_π),140.0,0.5,0,,12.91570886919606,0,0
V3 — Hybrid 1/r² hard core + Yukawa(m_π),140.0,0.7,0,,16.932457028021542,0,0
V3 — Hybrid 1/r² hard core + Yukawa(m_π),140.0,1.0,1,5.0978396016864425,12.45548101129015,1,1
V3 — Hybrid 1/r² hard core + Yukawa(m_π),140.0,1.5,0,,13.23952805364523,0,1
V3 — Hybrid 1/r² hard core + Yukawa(m_π),140.0,2.0,1,0.8359603691248035,13.5681010627869,1,1
V3 — Hybrid 1/r² hard core + Yukawa(m_π),140.0,3.0,1,44.708786739405824,14.034894727035576,1,1
