sigma_aS,signature_ok,alpha_ratio_electron,alpha_ratio_muon,alpha_ratio_proton,alpha_ratio_neutron,alpha_ratio_Λ,alpha_ratio_Σ⁻,alpha_ratio_π⁰,alpha_ratio_π±,alpha_ratio_K±,alpha_ratio_ρ
-0.5,0,7.611369460957341,7.611369460957347,7.611369460957374,7.611369460957287,7.611369460957419,7.611369460957352,30.44547784382937,121.78191137531748,68.50232514861611,68.50232514861611
-0.4975,0,8.21453226822463,8.214532268224625,8.214532268224643,8.214532268224598,8.214532268224671,8.214532268224636,32.85812907289851,131.43251629159403,73.93079041402169,73.93079041402169
-0.495,0,8.888651757363421,8.888651757363416,8.888651757363426,8.88865175736339,8.888651757363476,8.888651757363451,35.55460702945368,142.2184281178147,79.99786581627082,79.99786581627082
-0.4925,0,9.645113221116144,9.645113221116139,9.645113221116175,9.64511322111605,9.645113221116288,9.6451132211162,38.58045288446457,154.32181153785828,86.80601899004536,86.80601899004536
-0.49,0,10.49766169172749,10.497661691727487,10.497661691727503,10.497661691727467,10.49766169172752,10.49766169172749,41.990646766909954,167.96258706763984,94.47895522554744,94.47895522554744
-0.4875,0,11.463011241607596,11.463011241607589,11.463011241607614,11.463011241607516,11.46301124160773,11.463011241607656,45.852044966430356,183.40817986572154,103.16710117446843,103.16710117446843
-0.485,0,12.561645412313919,12.561645412313919,12.561645412313995,12.561645412313798,12.561645412314093,12.561645412313936,50.246581649255674,200.9863265970227,113.05480871082543,113.05480871082543
-0.4825,0,13.818880301195136,13.818880301195136,13.81888030119522,13.818880301194946,13.818880301195437,13.81888030119523,55.275521204780546,221.10208481912218,124.36992271075644,124.36992271075644
-0.48,0,15.266293361880683,15.266293337732844,15.26629334981438,15.266293349753528,15.266293361941521,15.266293361941488,61.065173399227035,244.26069364535587,137.39664018434587,137.39664018484746
-0.4775,0,16.943668577115233,16.943668577115233,16.943668577115243,16.943668577115215,16.943668577115258,16.943668577115233,67.77467430846093,271.0986972338437,152.49301719403707,152.49301719403707
-0.475,0,18.90168249869113,18.90168249869113,18.90168249869122,18.901682498690867,18.90168249869157,18.90168249869131,75.60672999476452,302.4269199790581,170.1151424882205,170.1151424882205
-0.4725,0,21.205670511633542,21.20567040899506,21.205670460346614,21.205670460088097,21.205670511892126,21.205670511892066,84.8226818412572,339.2907275709518,190.85103429620506,190.8510342983371
