sigma_aS,sigma_at,sigma_eff_full_schur,sigma_eff_leading_order,ratio_to_phase7c_sigma_t
-0.3,0.05636353457417957,-0.09596986864786333,-0.025627362853900913,0.0008266138557094172
-0.2,0.06967889372069352,-0.04080330798321697,-0.01708490856926728,0.00035144968116465955
-0.1,0.08431072392982138,-0.016718212614408527,-0.00854245428463364,0.0001439983859983508
-0.05,0.08967290807086441,-0.007992567363986302,-0.00427122714231682,6.884209615836609e-05
-0.025,0.09118127588946898,-0.003952660951426733,-0.00213561357115841,3.40453139657772e-05
-0.01,0.09161744463161835,-0.0015762369523807406,-0.0008542454284633639,1.3576545670807413e-05
0.0,0.09170123627630092,0.0,0.0,-0.0
0.01,0.09161744463161835,0.0015762369523807406,0.0008542454284633639,-1.3576545670807413e-05
0.025,0.09118127588946898,0.003952660951426733,0.00213561357115841,-3.40453139657772e-05
0.05,0.08967290807086441,0.007992567363986302,0.00427122714231682,-6.884209615836609e-05
0.1,0.08431072392982138,0.016718212614408527,0.00854245428463364,-0.0001439983859983508
0.2,0.06967889372069352,0.04080330798321697,0.01708490856926728,-0.00035144968116465955
0.3,0.05636353457417957,0.09596986864786333,0.025627362853900913,-0.0008266138557094172
