sigma_pS_tube,sigma_aS,sigma_eff,config,r_fm,V_MeV
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.1,2491.9711182990304
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.10174634027476069,2430.900323310171
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.10352317759307386,2371.07471049613
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.1053310445370937,2312.474357583409
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.10717048298967109,2255.0796384570613
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.10904204429677526,2198.871215755107
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.11094628943275221,2143.8300335882286
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.11288378916846889,2089.9373103883836
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.1148551242423938,2037.174531890206
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.11686088553466514,1985.523444249243
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.11890167424419897,1934.9660473012761
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.12097810206889013,1885.4845879671132
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.12309079138896024,1837.0615538073996
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.1252403754535073,1789.6796667320552
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.12742749857031338,1743.3218768690615
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.12965281629896683,1697.9713565973336
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.13191699564735718,1653.6114947484223
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.13422071527160126,1610.2258909817867
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.13656466567946107,1567.7983503382586
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.13894954943731375,1526.3128779762576
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.14137608138073607,1485.753674095142
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.14384498882876628,1446.1051290498883
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.14635701180190802,1407.3518186610575
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.14891290324394094,1369.4784997237387
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.1515134292476053,1332.470105718812
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.15415936928422727,1296.3117427295463
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.15685151643735473,1260.9886855660982
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.1595906776404731,1226.486374100068
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.16237767391887217,1192.790409810769
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.165213340635737,1159.8865525443418
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.16809852774253642,1127.760717486309
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.17103410003378405,1096.3989723475572
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.1740209374062485,1065.7875347631577
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.1770599351226899,1035.9127699027806
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.18015200408020252,1006.7611882908056
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.18329807108324356,978.3194438336043
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.1864990791214297,950.5743320507534
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.18975598765218504,923.5127885063118
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.193069772888325,897.1218874355807
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.19644142809066276,871.3888405621367
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.19987196386572506,846.300996099272
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.20336240846866735,821.8458379293372
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.20691380811147897,798.0109849538801
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.2105272272765707,774.7841906069164
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.21420374903583841,752.1533425231007
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.21794447537529857,730.1064623520895
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.22175052752539323,708.6317057099216
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.2256230462970634,687.7173622578191
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.22956319242369097,667.3518558984917
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.23357214690901226,647.5237450796783
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.23765111138110748,628.2217231944476
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.24180130845257206,609.4346190675753
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.24602398208697762,591.1513975171927
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.25032039797173256,573.3611599808339
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.2546918438974541,556.0531451949985
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.25913963014396585,539.2167299174041
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.26366508987303583,522.8414296812168
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.2682695795279726,506.916899570718
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.27295447924020066,491.43293500807636
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.2777211932429355,476.3794725412033
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.28257115029208285,461.7465906229661
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.287505804094488,447.52451037242486
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.29252663374366455,433.7035963091723
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.29763514416313175,420.2743570522996
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.3028328665574946,407.2274459760172
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.30812135887140035,394.55366181446357
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.3135022062565115,382.2439492087726
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.31897702154663216,370.2893991900439
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.32454744574113303,358.68124959242846
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.33021514849681755,347.41088539113275
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.33598182862837817,336.4698389607313
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.3418492146175929,325.84979024977224
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.34781906513141303,315.5425668682617
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.353893169549099,305.54014408518674
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.36007334849856193,295.8346447338047
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.36636145440207163,286.418339023008
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.372759372031494,277.28364425359837
-0.06683417085427143,0.12156601005025139,-0.5368001322453104,pp (R64),0.37926901907322497,268.42312443882224
